,2018-12-13
1 hr,82.65715000000002
1 min,82.5
1.5 hr,82.5796
10 day,84.75613
10 min,82.66080000000001
100 day,83.69213900000001
125 day,84.0251536
15 min,82.693
150 day,83.86836133333333
175 day,84.39674285714285
2 day,82.39500000000001
2 hr,82.52858333333339
2.5 hr,82.5090133333334
20 day,83.69167999999999
20 min,82.69395
200 day,84.52698749999999
25 min,82.68596000000001
3 hr,82.47312222222229
3.5 hr,82.45583809523818
30 day,82.38853999999998
30 min,82.69830000000002
4 hr,82.4351333333334
4.5 hr,82.44262962962968
40 day,81.1862525
45 min,82.68271111111112
5 day,82.882
5 hr,82.44477000000002
5 min,82.60499999999999
5.5 hr,82.43673030303033
50 day,81.49256599999998
50 min,82.68104000000001
55 min,82.67016363636364
6 hr,82.46769722222226
6.5 hr,82.48702820512825
60 day,81.85986166666665
70 day,82.32713428571428
80 day,83.08608999999998
90 day,83.70615444444444
Tomorrow,80.33
