,2019-01-03,2019-01-07,2019-01-10
1 hr,125.97151666666667,129.02763333333334,130.23035000000002
1 min,125.93,128.76,130.48
1.5 hr,126.14185555555551,129.10225555555562,130.18273333333332
10 day,123.9,123.40299999999999,126.548
10 min,126.125,128.85160000000002,130.46020000000001
100 day,155.00759999999994,154.06789999999992,152.7326999999999
125 day,159.27031999999997,158.47383999999997,157.27352
15 min,126.05946666666667,128.84133333333335,130.44813333333335
150 day,161.9858,161.43753333333333,160.571
175 day,161.5622285714286,161.26937142857145,160.86742857142858
2 day,125.57,128.755,130.89499999999998
2 hr,126.16083333333327,129.28773333333336,130.31841666666665
2.5 hr,126.19867333333326,129.4172466666667,130.27514666666661
20 day,132.428,130.89600000000002,129.3295
20 min,125.9681,128.84580000000003,130.4661
200 day,160.477,160.22455,159.92545
25 min,125.93368000000002,128.86884000000003,130.44004
3 hr,126.30311666666661,129.52682777777775,130.20295
3.5 hr,126.30249999999995,129.59345714285715,130.19636666666668
30 day,137.665,136.62133333333335,134.66133333333332
30 min,125.90543333333335,128.87170000000003,130.4556
4 hr,126.3174166666666,129.63167083333332,130.19824583333337
4.5 hr,126.47261851851837,129.68761851851852,130.16932962962966
40 day,140.30449999999996,138.57774999999998,137.62024999999997
45 min,125.93002222222223,128.9808666666667,130.34600000000003
5 day,123.61999999999998,126.522,129.476
5 hr,126.51302666666653,129.6918566666667,130.13218666666666
5 min,126.21200000000002,128.842,130.5564
5.5 hr,126.37398181818166,129.61943333333338,130.11357878787882
50 day,143.66079999999994,142.49299999999997,141.08099999999996
50 min,125.94072,129.00348000000002,130.30808000000002
55 min,125.95392727272728,129.01880000000003,130.2648
6 hr,126.2821472222221,129.501625,130.03063611111116
6.5 hr,126.20862051282036,129.4507897435897,130.00028461538463
60 day,146.1871666666666,145.01249999999993,143.5736666666666
70 day,148.89614285714276,147.90557142857133,146.34742857142848
80 day,150.78412499999996,149.85562499999997,148.55274999999995
90 day,152.90622222222217,152.0285555555555,150.65922222222216
Tomorrow,128.75,128.08,128.85
