,2018-12-18,2018-12-20,2018-12-21,2019-01-07,2019-01-17,2019-01-22,2019-01-31,2019-02-07,2019-02-12,2019-02-13,2019-02-14
1 hr,93.5489666666667,92.52675,91.63193333333335,93.36286666666665,99.80324999999996,103.45973333333332,106.8381666666667,108.56954999999999,111.28259999999999,110.9994833333333,112.27369999999996
1 min,93.58,92.43,90.86,93.23,100.02,103.81,107.06,108.89,111.5,111.07,112.13
1.5 hr,93.62513333333338,92.52690000000003,91.95915555555558,93.32857777777774,99.86944444444438,103.47135555555555,106.8010111111111,108.56875555555555,111.25145555555552,110.8638888888889,112.22306666666665
10 day,97.42430999999999,95.45503,94.55818,92.07714000000001,96.36784999999999,98.69327000000001,104.00553,106.93162000000002,108.63678,109.07138,109.60399
10 min,93.8565,92.34549999999999,91.1605,93.28099999999999,99.81819999999998,103.55500000000002,107.08600000000001,108.81699999999998,111.39099999999999,111.19699999999997,112.22700000000002
100 day,113.760162,113.247849,112.963027,110.40065599999997,108.40425899999997,108.03369799999997,106.88561399999998,106.07819099999998,105.69503999999998,105.59039399999996,105.52282599999995
125 day,115.2670968,114.7009168,114.4400768,112.34135999999997,110.81780559999999,110.56036719999999,109.80538479999998,109.29387119999998,109.04659919999997,108.96702319999997,108.89783759999996
15 min,93.85166666666666,92.39413333333333,91.302,93.31666666666666,99.80213333333332,103.54599999999999,107.05046666666667,108.75666666666666,111.37066666666664,111.16366666666663,112.24633333333334
150 day,117.23331466666663,116.79805733333332,116.56207999999998,114.49703266666664,112.87532533333331,112.55012266666665,111.53908799999998,111.12406266666665,110.88952866666662,110.80735133333329,110.74833399999996
175 day,117.32047942857137,117.08369542857139,116.96273599999996,115.61701999999997,114.73384685714282,114.54752114285711,113.74336628571425,113.25445028571427,112.94465257142852,112.85553828571422,112.7762268571428
2 day,93.40095,91.93945,91.4207,93.07675,98.19944999999998,104.70384999999999,106.75395,108.625,110.56,111.28,111.59
2 hr,93.72987500000005,92.39130833333336,92.17103333333336,93.4076916666667,99.79224999999995,103.53049999999995,106.75906666666661,108.52325000000002,111.25085,110.82635000000002,112.19419999999998
2.5 hr,93.81774000000004,92.40994666666667,92.35124000000003,93.55426,99.71714666666661,103.59433333333328,106.71938666666662,108.50478666666665,111.26484666666666,110.82430000000001,112.21106
