,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-14,2019-01-16,2019-01-17,2019-01-18,2019-01-23,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-04,2019-02-05,2019-02-06,2019-02-07,2019-02-08,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15
1 hr,21.001999999999985,21.864466666666672,22.755366666666653,22.18035,21.333433333333332,21.019183333333327,20.170399999999997,20.023183333333332,20.88545000000001,20.913683333333335,21.20541666666666,20.33265,22.291466666666658,22.686700000000016,22.960633333333345,23.759383333333332,23.460900000000013,22.853633333333335,22.04433333333334,22.39864999999999,22.115533333333325,23.254316666666647,21.93836666666669,22.02175,23.559399999999993,23.85258333333335,23.573100000000007,24.542599999999993,24.746566666666663,24.67075,24.339133333333322,25.304816666666664,25.201933333333333,23.848000000000003,23.99453333333333,24.372666666666667,24.724616666666666,24.673400000000008,24.285533333333326,23.968666666666675
1 min,20.92,21.89,22.71,22.17,21.36,21.025,20.17,19.91,21.12,20.92,21.27,20.36,22.28,22.76,22.95,23.69,23.4,22.87,22.01,22.32,22.13,23.25,21.97,22.1,23.62,23.75,23.52,24.63,24.84,24.63,24.3,25.42,25.12,23.98,23.99,24.28,24.68,24.61,24.33,23.96
1.5 hr,21.002066666666657,21.885988888888903,22.735255555555554,22.181177777777794,21.402933333333326,21.04143333333333,20.321911111111103,20.044777777777774,20.83811111111111,20.9502,21.257333333333328,20.382155555555567,22.29803333333331,22.67561111111113,22.95563333333335,23.759777777777767,23.443222222222225,22.879011111111105,22.062444444444452,22.383299999999977,22.15391111111112,23.273788888888873,21.91845555555557,21.994222222222227,23.56147777777777,23.890922222222233,23.562233333333335,24.56007777777776,24.753877777777774,24.682544444444446,24.33184444444444,25.29824444444444,25.202277777777777,23.844933333333312,24.01204444444444,24.37927777777778,24.753822222222222,24.670277777777795,24.261911111111107,23.97301111111112
10 day,21.146,21.250999999999998,21.383999999999997,21.503999999999998,21.516,21.419,21.290999999999997,21.159,21.117,20.874000000000002,20.866,20.796999999999997,21.006999999999998,21.291999999999994,21.479,21.873,22.103,22.221000000000004,22.254,22.491999999999997,22.671,22.77,22.564,22.405,22.428,22.511999999999997,22.659999999999997,22.898999999999994,23.151,23.4,23.503,23.877,24.191,24.379,24.415,24.471,24.587,24.583999999999996,24.532000000000004,24.465
10 min,20.933999999999997,21.893,22.746699999999997,22.1255,21.285,21.0432,20.192600000000002,19.8965,21.0516,20.85,21.247999999999998,20.32,22.272500000000008,22.7145,22.9445,23.7485,23.4645,22.881,22.000500000000002,22.330499999999997,22.106,23.2225,21.938799999999997,22.052500000000002,23.5862,23.7241,23.526500000000002,24.5732,24.831599999999998,24.6519,24.2871,25.358499999999992,25.173000000000002,23.932000000000002,23.9693,24.317800000000002,24.6672,24.609999999999996,24.3328,23.946000000000005
100 day,26.994800000000005,26.858600000000006,26.729100000000006,26.597700000000003,26.442000000000004,26.286000000000005,26.125600000000006,25.97310000000001,25.50810000000001,25.065800000000003,24.918500000000005,24.761800000000004,24.626600000000003,24.5035,24.3943,24.307600000000008,24.221900000000005,24.12850000000001,24.018500000000007,23.812900000000003,23.720400000000005,23.639000000000006,23.427200000000013,23.328700000000012,23.255000000000013,23.17920000000001,23.120100000000015,23.10350000000001,23.07950000000001,23.05630000000001,23.033900000000006,23.017200000000006,22.992000000000004,22.9542,22.923000000000002,22.9085,22.897799999999997,22.874699999999997,22.848699999999997,22.823400000000007
125 day,29.512400000000003,29.337520000000005,29.170480000000005,28.99776,28.83344,28.66832,28.50312,28.33584,27.894960000000005,27.47632000000001,27.339440000000007,27.193920000000006,27.056400000000004,26.923280000000002,26.798160000000003,26.68408000000001,26.563120000000005,26.44000000000001,26.31200000000001,26.064480000000007,25.946560000000005,25.848560000000006,25.63000000000001,25.51144000000001,25.40736000000001,25.30744000000001,25.214320000000015,25.124560000000013,25.03312000000001,24.939840000000007,24.844800000000006,24.760960000000008,24.669840000000004,24.573680000000003,24.477440000000005,24.385360000000006,24.30224,24.228160000000003,24.16392,24.099840000000007
15 min,20.9564,21.897333333333332,22.750466666666664,22.110933333333328,21.261466666666664,21.051933333333334,20.178733333333334,19.91146666666667,21.016733333333335,20.846000000000004,21.231333333333332,20.320333333333334,22.282600000000006,22.706666666666667,22.95266666666667,23.749666666666663,23.471333333333337,22.876333333333335,22.015333333333334,22.345666666666666,22.110000000000003,23.226666666666667,21.9372,22.047000000000008,23.57613333333334,23.739399999999996,23.547,24.561800000000005,24.80906666666666,24.659600000000005,24.3064,25.349999999999987,25.180799999999998,23.920666666666662,23.975533333333335,24.335533333333334,24.670800000000003,24.617,24.332533333333327,23.96266666666667
150 day,30.847466666666666,30.7458,30.65153333333333,30.552999999999997,30.447533333333332,30.347,30.238599999999998,30.1316,29.82213333333333,29.5158,29.41406666666667,29.311066666666665,29.225,29.136133333333333,29.034733333333335,28.933533333333337,28.820200000000003,28.709400000000006,28.590200000000003,28.346666666666668,28.21926666666667,28.08266666666667,27.791333333333345,27.659400000000005,27.53906666666667,27.42506666666667,27.30973333333334,27.212800000000005,27.11533333333334,27.023600000000005,26.926000000000005,26.83580000000001,26.744600000000005,26.648600000000005,26.551600000000008,26.450400000000005,26.352266666666672,26.25906666666667,26.16826666666667,26.071200000000008
175 day,31.931028571428566,31.83074285714286,31.730857142857147,31.633371428571433,31.52640000000001,31.414057142857153,31.298114285714295,31.17988571428572,30.848057142857144,30.54988571428572,30.460000000000004,30.371314285714288,30.29354285714286,30.215028571428576,30.13611428571429,30.062857142857148,29.982457142857143,29.90131428571429,29.81468571428572,29.632914285714286,29.548342857142863,29.469028571428577,29.29674285714287,29.21062857142858,29.139257142857154,29.066628571428577,28.995542857142866,28.932285714285722,28.86697142857144,28.799942857142867,28.7289142857143,28.664457142857156,28.597257142857156,28.525542857142874,28.458057142857164,28.395771428571447,28.330571428571442,28.25314285714287,28.17005714285716,28.076114285714304
