,2018-12-21,2019-01-02,2019-01-18,2019-01-29,2019-02-12
1 hr,123.87888333333332,123.75036666666666,130.72533333333334,131.12703333333332,132.8334
1 min,123.46,124.25,130.87,131.14,132.71
1.5 hr,124.1412888888889,123.87212222222225,130.72407777777784,131.1104222222222,132.81017777777782
10 day,130.298,125.38600000000001,127.46000000000001,130.61599999999999,133.367
10 min,123.56230000000001,123.987,130.65080000000003,131.1171,132.85950000000003
100 day,146.97365599999995,146.165844,143.91113099999995,142.350283,139.68807700000002
125 day,144.3317592,144.10851840000004,143.3581304,143.0951744,142.6861328
15 min,123.62853333333334,123.91579999999999,130.66126666666668,131.09606666666664,132.87813333333335
150 day,141.39582266666667,141.54544733333339,141.4997653333334,141.50531400000008,141.70096800000007
175 day,138.43415028571434,138.5619674285715,139.02151142857147,139.3503274285715,140.00252857142866
2 day,124.78,125.35499999999999,130.185,131.76,132.07
2 hr,124.355625,123.99144166666669,130.73227500000004,131.20242499999998,132.84788333333336
2.5 hr,124.55450666666668,124.16686000000001,130.69577333333334,131.18160666666665,132.88125333333335
20 day,133.888925,129.9915,125.90600000000003,127.876,131.99150000000003
20 min,123.60440000000001,123.85334999999998,130.68290000000002,131.11659999999998,132.89960000000002
200 day,136.21869900000007,136.25856800000008,136.6276845000001,137.0002165000001,137.65034000000009
25 min,123.55564,123.82503999999999,130.68456,131.13647999999995,132.91508
3 hr,124.65578888888884,124.28448888888889,130.67714444444442,131.1264944444444,132.92286111111116
3.5 hr,124.72721428571421,124.32720476190474,130.6669095238095,131.10064285714284,132.99472380952386
30 day,135.27560333333332,132.34062666666665,128.04133333333334,127.3596666666667,129.70633333333336
30 min,123.58729999999998,123.79019999999998,130.6851333333333,131.17006666666663,132.9262333333333
4 hr,124.80791249999994,124.30847916666663,130.65241666666662,131.0808958333333,133.01951666666668
4.5 hr,124.96349999999994,124.35978888888884,130.6306814814815,131.0163999999999,133.01314444444446
40 day,138.58446999999998,135.042315,130.4154475,129.62750250000005,128.86150000000004
45 min,123.68991111111107,123.77475555555554,130.72964444444443,131.1876444444444,132.90935555555555
5 day,126.78399999999999,125.524,129.132,131.482,132.128
5 hr,125.0991099999999,124.44907999999988,130.56343333333348,130.96475999999987,132.98390666666663
5 min,123.58099999999999,124.076,130.6716,131.154,132.755
5.5 hr,125.30642121212114,124.53858787878775,130.50590909090923,130.91628484848468,132.9279151515151
50 day,141.120716,137.959666,132.46854800000003,131.012986,130.37540200000004
50 min,123.74351999999999,123.76067999999998,130.73056,131.17267999999999,132.88081999999997
55 min,123.80745454545455,123.74501818181818,130.72850909090909,131.15279999999998,132.85507272727273
6 hr,125.46166944444445,124.65443888888878,130.40932222222233,130.88162499999987,132.86141666666666
6.5 hr,125.54525384615388,124.71781282051273,130.37227948717958,130.92489999999987,132.78859999999995
60 day,143.76234666666667,140.37797166666667,135.19665500000002,133.4526066666667,131.40532166666668
70 day,146.05400571428572,142.99239714285716,137.57714999999996,135.88192714285717,133.44037714285713
80 day,147.62366374999996,145.15305999999998,140.14331499999997,138.0688225,135.56756125
90 day,147.8248544444444,146.49720888888885,142.3726011111111,140.39041888888892,137.5463977777778
Tomorrow,121.07,121.23,129.53,133.06,133.53
