,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-10,2019-01-16,2019-01-17,2019-01-18,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-05,2019-02-06,2019-02-07,2019-02-08,2019-02-12,2019-02-13,2019-02-14
1 hr,93.6951833333333,92.57378333333334,89.96731666666665,88.79288333333334,90.02035,86.94286666666666,86.29893333333334,85.28846666666666,84.58838333333334,89.10035,85.94861666666667,90.82626666666665,92.66783333333335,91.17531666666669,93.72158333333336,91.5063,92.41436666666665,95.74041666666663,92.96605,91.79501666666667,98.12355,101.49403333333332,101.84276666666663,101.30365000000002,105.96858333333329,106.75278333333335,106.51008333333334,107.03406666666669,107.90731666666666,105.2694333333333,105.2979,107.23208333333334,108.07823333333333,107.35576666666665
1 min,93.54,92.67,89.49,88.97,90.02,86.92,85.89,85.82,86.08,89.59,85.8,91.31,92.6,91.13,93.71,90.93,92.95,95.74,93.24,91.86,98.29,101.37,101.68,101.0,105.98,106.52,106.96,106.79,107.79,105.47,105.61,107.2,107.87,107.14
1.5 hr,93.73513333333332,92.48302222222225,90.06469999999997,89.0240222222222,90.22857777777779,87.60257777777778,86.28580000000001,85.50233333333334,84.32282222222223,88.98681111111114,86.0573666666667,90.857,92.68966666666667,91.19826666666665,93.6472111111111,91.65525555555551,92.12129999999999,95.74639999999998,93.03468888888888,91.75267777777778,98.04732222222225,101.5489222222222,101.7684444444444,101.13465555555557,105.89884444444439,106.90252222222225,106.52985555555553,107.06387777777779,107.88321111111112,105.18728888888889,105.29346666666665,107.29328888888885,108.1398333333333,107.32311111111107
10 day,95.06944999999999,94.46866000000001,93.75565000000002,92.80034,91.69508,90.80332000000001,89.84403,89.19656,87.43589,86.51136,86.28891000000002,86.72188000000001,87.38722,87.92943,89.90657999999999,91.15880999999999,91.86487,92.30479,92.36537000000001,92.43687000000001,92.91453,93.67719000000001,94.43687,95.28691999999998,96.62355999999998,98.17371,99.56795000000001,102.03766000000002,103.62355000000002,104.33755000000001,104.75563,105.76357,105.95224999999998,106.08333999999999
10 min,93.65450000000001,92.70700000000001,89.726,88.7445,90.1605,87.15200000000002,85.83200000000002,85.14549999999998,85.4195,89.14399999999999,85.925,91.109,92.533,91.0685,93.78249999999998,91.13899999999998,92.6815,95.60749999999999,92.978,91.8424,98.23500000000001,101.27849999999998,101.72029999999998,101.28450000000001,105.80849999999998,106.72850000000001,106.66199999999999,106.83899999999998,107.96200000000002,105.58500000000001,105.31450000000002,107.1423,107.78099999999999,107.36999999999998
100 day,100.74049400000001,100.61431400000004,100.48591500000003,100.34706100000002,100.21120100000003,100.02185500000003,99.83460900000001,99.536257,98.895908,98.057502,97.51324499999998,97.30202,97.08491399999997,96.85399999999998,96.49677899999998,95.73184299999997,95.53239499999997,95.34597899999997,95.11444399999999,94.870586,94.69688499999998,94.553771,94.41885600000003,94.257587,94.139567,94.14117100000001,94.17718200000002,94.21905599999998,94.27621499999998,94.29772599999998,94.31737599999995,94.39324999999995,94.45543799999992,94.5032459999999
125 day,101.33836399999997,101.19122959999999,101.025096,100.8659424,100.7217104,100.54878240000001,100.39695040000001,100.26223759999999,99.98443599999999,99.6885616,99.48732079999999,99.39161999999999,99.29771279999999,99.1913448,99.0515168,98.6620568,98.5508848,98.47432800000001,98.37759440000002,98.29346560000002,98.25666240000001,98.23830160000001,98.20392480000004,98.17400880000001,98.0966776,98.02959200000002,97.9518256,97.7882176,97.71971039999998,97.63253519999999,97.55727439999998,97.44436079999998,97.39269759999996,97.36136559999994
15 min,93.66366666666667,92.76466666666667,89.74466666666666,88.66833333333332,90.20253333333334,87.03600000000003,85.93066666666668,85.07566666666665,85.26433333333334,89.16799999999998,85.94533333333334,91.07333333333332,92.55866666666665,91.11359999999999,93.79213333333331,91.18199999999999,92.67333333333336,95.64879999999998,93.00466666666667,91.84893333333333,98.20353333333334,101.3294,101.75819999999999,101.33133333333333,105.82299999999995,106.69766666666669,106.65266666666668,106.88333333333334,107.95266666666667,105.57466666666666,105.27033333333335,107.10819999999998,107.75399999999998,107.4313333333333
150 day,102.96420266666665,102.85809599999999,102.73093733333334,102.58428266666665,102.453912,102.287884,102.117776,101.97126333333334,101.610388,101.148464,100.83312199999997,100.69882933333332,100.55611466666664,100.40105933333331,100.10349133333331,99.57636599999998,99.45455933333331,99.3502473333333,99.23114399999999,99.10819133333334,99.03746333333332,98.99254266666667,98.94601933333335,98.91939333333333,98.94159133333334,98.96475933333333,99.01627933333333,99.09862799999999,99.13522533333331,99.17068466666666,99.19499933333331,99.22845199999999,99.25070199999998,99.29128666666664
175 day,102.81222971428566,102.73433371428567,102.66422114285712,102.59242971428566,102.50021714285711,102.40124685714281,102.28259999999997,102.17114571428567,101.90137085714284,101.68017085714287,101.5689965714286,101.5391462857143,101.504564,101.4541422857143,101.38288457142859,101.15746457142858,101.0909834285714,101.02783999999997,100.93989885714284,100.84418457142854,100.77153771428569,100.72431085714283,100.66564399999999,100.60546628571426,100.59513428571427,100.57668628571426,100.54826057142854,100.49307828571423,100.46561828571421,100.42862685714279,100.39030342857136,100.31697657142851,100.2791205714285,100.2307525714285
2 day,92.48750000000001,92.46270000000001,90.46170000000001,88.60470000000001,88.85795,87.8649,85.8192,85.18860000000001,83.05855,88.44085000000001,87.7457,87.93934999999999,91.31075,91.22635,92.9443,91.10220000000001,91.30080000000001,93.66925,93.81325000000001,91.88675,94.4091,99.14590000000001,100.82910000000001,100.6305,102.76554999999999,105.53614999999999,106.02275,106.1618,106.55405,105.90855,104.8063,105.6702,106.79235,107.13499999999999
2 hr,93.83759166666667,92.4578,90.28655833333332,89.09655833333332,90.46973333333337,88.07273333333336,86.04076666666667,85.64304999999997,84.19516666666664,88.87984166666669,86.09253333333335,90.84455000000001,92.73183333333336,91.17567499999998,93.49400833333333,91.73959166666666,91.8796166666667,95.82262499999999,93.14909999999999,91.78350833333337,97.94355000000003,101.63916666666665,101.66617499999998,101.07320000000001,105.71912499999999,107.06152499999999,106.53844999999995,107.07311666666669,107.93301666666675,105.14843333333334,105.28236666666666,107.34043333333334,108.1269583333333,107.33084166666661
2.5 hr,93.95905333333332,92.56288,90.37790666666663,89.16636666666665,90.67012000000004,88.60506,85.98575999999998,85.85951999999997,84.06461999999998,88.87514000000002,86.12733333333335,90.80477333333333,92.79361333333335,91.09912666666666,93.30269999999999,91.77358666666662,91.73090666666667,95.90405999999997,93.17390666666665,91.78109333333335,97.82771333333335,101.69872666666666,101.64517999999998,101.01883333333326,105.45916666666666,107.17010000000002,106.60196666666666,107.01651333333334,108.02576000000006,105.19834,105.19149333333334,107.34844000000001,108.11209999999998,107.3539733333333
20 day,94.38629500000002,94.387235,94.28495000000001,94.01186000000001,93.67025000000001,93.40262500000001,92.976605,92.526255,91.3912,90.133505,88.991995,88.76259999999999,88.615625,88.56299499999997,88.671235,88.93289999999999,89.07688999999998,89.51333499999998,89.876295,90.18315,91.03022000000001,91.791885,92.456235,93.06994,93.88870499999999,94.66626,95.71641,97.201515,98.03020999999998,98.62604,99.21640999999998,100.525245,101.28790499999998,102.12852499999997
20 min,93.68075000000002,92.77680000000001,89.723,88.6305,90.18615,86.88925000000003,86.03410000000001,85.04124999999999,85.1894,89.21599999999998,85.94250000000002,91.01804999999999,92.54024999999999,91.13320000000002,93.79119999999998,91.21699999999997,92.68165000000002,95.68874999999998,93.05799999999999,91.83079999999998,98.16369999999999,101.3598,101.80115,101.3885,105.82699999999997,106.69275000000002,106.64500000000001,106.9162,107.93875,105.57449999999999,105.26075000000003,107.10344999999998,107.80049999999999,107.44899999999998
