,2019-02-04
1 hr,17.083166666666674
1 min,17.07
1.5 hr,17.118944444444452
10 day,20.250999999999998
10 min,17.11
100 day,22.1646
125 day,21.472960000000004
15 min,17.106999999999996
150 day,20.490599999999997
175 day,20.151999999999997
2 day,17.2
2 hr,17.156375000000004
2.5 hr,17.162500000000012
20 day,21.865000000000002
20 min,17.10975
200 day,20.108949999999997
25 min,17.109399999999997
3 hr,17.18126111111113
3.5 hr,17.17460476190477
30 day,22.767
30 min,17.104833333333332
4 hr,17.16282083333334
4.5 hr,17.150062962962984
40 day,22.603500000000004
45 min,17.09066666666667
5 day,17.747999999999998
5 hr,17.143380000000025
5 min,17.089000000000002
5.5 hr,17.143318181818195
50 day,22.118000000000002
50 min,17.087600000000005
55 min,17.085363636363642
6 hr,17.15591666666668
6.5 hr,17.155997435897447
60 day,21.531166666666667
70 day,21.304714285714283
80 day,21.215625000000003
90 day,21.541
Tomorrow,16.7
