,2018-12-20
1 hr,8.936366666666668
1 min,8.87
1.5 hr,8.935933333333338
10 day,9.672999999999998
10 min,8.875499999999999
100 day,14.505050000000004
125 day,15.228040000000005
15 min,8.876666666666667
150 day,15.735100000000015
175 day,15.7479142857143
2 day,8.885
2 hr,8.896633333333334
2.5 hr,8.88823333333332
20 day,10.0315
20 min,8.8895
200 day,15.586125000000013
25 min,8.9032
3 hr,8.877399999999982
3.5 hr,8.867047619047595
30 day,10.360000000000003
30 min,8.910666666666664
4 hr,8.853212499999978
4.5 hr,8.845448148148131
40 day,10.496500000000005
45 min,8.92988888888889
5 day,9.212
5 hr,8.860449999999986
5 min,8.886
5.5 hr,8.880436363636356
50 day,10.896100000000004
50 min,8.934040000000001
55 min,8.935490909090909
6 hr,8.889886111111105
6.5 hr,8.894766666666655
60 day,11.772583333333335
70 day,12.732071428571434
80 day,13.636562500000002
90 day,14.126611111111114
Tomorrow,8.2
