,2019-01-16
1 hr,1.5706666666666667
1 min,1.59
1.5 hr,1.5810777777777778
10 day,1.2871299999999999
10 min,1.5875
100 day,1.4069309600000002
125 day,1.5139183679999997
15 min,1.576
150 day,1.6832653066666665
175 day,1.805470834285713
2 day,2.2
2 hr,1.6046
2.5 hr,1.6645733333333335
20 day,1.0111998
20 min,1.57335
200 day,1.8763369799999996
25 min,1.57336
3 hr,1.7881055555555554
3.5 hr,1.87772380952381
30 day,1.0350498666666665
30 min,1.5732666666666666
4 hr,1.9262583333333336
4.5 hr,1.9573407407407415
40 day,1.0715898999999998
45 min,1.5794222222222223
5 day,1.52026
5 hr,1.9751266666666671
5 min,1.596
5.5 hr,1.9925696969696962
50 day,1.12439392
50 min,1.5785199999999997
55 min,1.575509090909091
6 hr,2.0127611111111094
6.5 hr,2.036820512820512
60 day,1.1631166
70 day,1.2278142285714286
80 day,1.2899624500000002
90 day,1.3539566222222226
Tomorrow,1.44
