,2018-12-20,2018-12-21,2018-12-31,2019-01-07,2019-01-09,2019-01-14,2019-01-15,2019-01-30
1 hr,38.61178333333333,38.400216666666665,37.44023333333334,39.29361666666667,40.874399999999994,39.2197,39.639433333333365,42.589866666666644
1 min,38.57,38.36,37.5,39.26,40.75,39.115,39.71,42.62
1.5 hr,38.61607777777778,38.47011111111111,37.45354444444445,39.259388888888864,40.88636666666665,39.230000000000004,39.62432222222225,42.61381111111108
10 day,39.8793,39.52264999999999,37.82976000000001,37.67421,38.302,38.928,39.147000000000006,41.528
10 min,38.5037,38.271,37.427,39.3197,40.7916,39.1232,39.62000000000001,42.584999999999994
100 day,44.46988100000002,44.301124000000016,43.55113700000002,43.01297600000001,42.872685000000004,42.63736499999999,42.540751,41.78383199999999
125 day,46.99898,46.828251200000004,46.04577920000001,45.42070640000001,45.14779680000001,44.720921600000004,44.57419440000001,43.40126480000001
15 min,38.510466666666666,38.28066666666667,37.4446,39.3222,40.78779999999999,39.151466666666664,39.62400000000001,42.583000000000006
150 day,49.35891533333333,49.218768,48.533266,47.95573266666666,47.65775066666666,47.20794533333332,47.051005999999994,45.65718066666666
175 day,50.56490628571427,50.449142857142846,49.86587771428571,49.45203771428572,49.26312285714286,48.97594171428572,48.875720571428566,47.87349085714285
2 day,37.434,37.1827,37.745000000000005,38.82,40.08,39.68,39.394999999999996,42.335
2 hr,38.55410833333333,38.48372500000001,37.476358333333344,39.262525,40.89124166666665,39.22160833333335,39.645808333333356,42.60630833333333
2.5 hr,38.559553333333334,38.50238,37.51580666666667,39.26845333333334,40.89465333333334,39.236273333333365,39.67078000000003,42.530459999999984
20 day,40.72888999999999,40.513839999999995,39.658690000000014,38.776755,38.7311,38.537955,38.48838,40.3375
20 min,38.54735,38.27535,37.46335,39.31015,40.791349999999994,39.18344999999999,39.624500000000005,42.5749
200 day,51.88931,51.756991500000005,51.08483650000001,50.54792850000002,50.343966500000015,50.05010650000001,49.9516845,49.118228499999994
25 min,38.58928,38.2564,37.46828,39.30731999999999,40.79588,39.19584,39.62292,42.57432000000001
3 hr,38.57235555555556,38.501016666666665,37.553944444444454,39.27373333333335,40.888950000000015,39.24712777777779,39.68022222222225,42.47875
3.5 hr,38.58284285714285,38.50159999999999,37.584233333333344,39.26668571428573,40.86391428571428,39.25025714285715,39.689342857142876,42.43438095238092
30 day,40.81298,40.58423333333334,40.15653666666666,39.710663333333336,39.66669666666667,39.5302,39.48812666666666,39.50158666666667
30 min,38.617733333333334,38.2662,37.46973333333333,39.30109999999999,40.80743333333332,39.2032,39.62710000000002,42.572433333333336
4 hr,38.57491249999999,38.52368749999999,37.60957916666669,39.245558333333356,40.83802916666666,39.24677916666667,39.715149999999994,42.405599999999964
4.5 hr,38.57157777777777,38.572229629629625,37.61948148148151,39.21424074074077,40.80775185185187,39.24118888888889,39.7288962962963,42.38284074074071
40 day,40.784710000000004,40.75378250000001,40.54851000000001,40.028287500000005,39.892857500000005,39.9359475,39.904152499999995,39.998095
45 min,38.63297777777779,38.3256,37.44842222222223,39.303399999999996,40.85068888888889,39.21217777777778,39.63253333333336,42.574555555555534
5 day,38.7214,38.00037999999999,37.65914,37.774,38.8,40.082,40.134,42.202
5 hr,38.59137,38.62347333333334,37.62363333333336,39.17878333333335,40.77241333333333,39.22959999999999,39.73559333333333,42.36824666666664
5 min,38.525999999999996,38.312,37.452999999999996,39.325,40.7924,39.141999999999996,39.64,42.616
5.5 hr,38.624990909090904,38.68242424242425,37.647275757575784,39.13428484848486,40.74568484848484,39.224954545454544,39.74759090909089,42.35954242424244
50 day,40.869042000000015,40.79597200000001,40.37388200000001,40.16261000000001,40.203500000000005,40.280886,40.268208,40.228922
50 min,38.62958000000001,38.3475,37.439879999999995,39.30196,40.861940000000004,39.214760000000005,39.63720000000003,42.57341999999998
55 min,38.61789090909092,38.37514545454546,37.43752727272728,39.299127272727276,40.86876363636364,39.21723636363636,39.639545454545484,42.57930909090907
6 hr,38.6567361111111,38.73680000000002,37.69106944444448,39.08274444444446,40.72628888888889,39.21037499999999,39.75771388888887,42.352505555555574
6.5 hr,38.68066923076923,38.78937948717951,37.74413589743592,39.04114871794874,40.687230769230766,39.205543589743584,39.76018974358973,42.36404871794873
60 day,41.63099500000001,41.45218666666668,40.69772166666666,40.33656999999999,40.31442333333333,40.200424999999996,40.169401666666666,40.47817333333333
70 day,42.356268571428586,42.23738571428573,41.61776285714286,41.06573999999999,40.847514285714276,40.56671142857141,40.47618999999998,40.36348714285714
80 day,42.98310375000001,42.81831000000001,42.145415,41.77101125,41.616187499999995,41.40213874999999,41.30891749999999,40.60766624999998
90 day,43.60617222222224,43.48589222222224,42.917834444444445,42.39322666666666,42.165609999999994,41.88395222222221,41.812257777777766,41.33325999999999
Tomorrow,37.0764,36.8057,37.53,39.43,40.89,39.69,40.5,43.79
