,2019-02-04
1 hr,155.5078333333333
1 min,155.65
1.5 hr,155.60022222222221
10 day,161.166
10 min,155.39849999999998
100 day,167.214737
125 day,163.87162640000003
15 min,155.33399999999997
150 day,160.23401733333338
175 day,156.06871828571434
2 day,156.22500000000002
2 hr,155.65747499999998
2.5 hr,155.7846466666667
20 day,167.85750000000002
20 min,155.286
200 day,152.13754850000007
25 min,155.259
3 hr,155.90245555555552
3.5 hr,155.96217619047616
30 day,170.41066666666666
30 min,155.27333333333328
4 hr,156.01731249999995
4.5 hr,156.0811074074073
40 day,173.28275
45 min,155.41544444444443
5 day,157.032
5 hr,156.1497366666666
5 min,155.527
5.5 hr,156.24921212121208
50 day,174.92279799999997
50 min,155.4549
55 min,155.4829090909091
6 hr,156.28354166666657
6.5 hr,156.335846153846
60 day,175.63671499999998
70 day,174.28702285714286
80 day,171.10841625000003
90 day,168.45549555555561
Tomorrow,156.52
