,2018-12-21,2019-01-03,2019-01-08,2019-01-09,2019-01-15,2019-01-16,2019-02-04
1 hr,21.039316666666668,21.458683333333344,20.830583333333326,20.999683333333326,21.937133333333342,22.255533333333336,26.021083333333312
1 min,20.84,21.38,20.76,20.9,21.9,22.25,25.85
1.5 hr,21.109177777777784,21.435588888888887,20.883022222222227,20.977200000000007,21.913622222222223,22.273966666666656,26.05185555555553
10 day,22.848000000000003,21.274,21.305999999999997,21.369,21.366000000000003,21.457,23.625
10 min,20.863999999999997,21.437499999999996,20.797,20.9145,21.96,22.216,25.877099999999995
100 day,26.02330000000001,25.517200000000006,25.3417,25.282799999999998,25.05839999999999,25.00949999999999,24.59959999999999
125 day,26.48864000000001,26.093920000000004,25.91296,25.848560000000003,25.600319999999993,25.548799999999993,25.100799999999992
15 min,20.890666666666668,21.458333333333332,20.799333333333333,20.9348,21.968000000000004,22.219,25.8934
150 day,26.939000000000007,26.580000000000005,26.433200000000003,26.384666666666668,26.167199999999998,26.11473333333333,25.64826666666666
175 day,27.5161142857143,27.077428571428584,26.904285714285724,26.851542857142864,26.642057142857148,26.581257142857144,26.144
2 day,21.4,21.375,21.22,20.835,21.66,22.095,25.295
2 hr,21.14934166666669,21.428483333333325,20.95924166666667,20.957000000000004,21.911283333333337,22.29164166666666,26.074533333333306
2.5 hr,21.195506666666677,21.427519999999983,21.024760000000004,20.945260000000008,21.893793333333342,22.309393333333333,26.09186666666664
20 day,23.737000000000002,22.4215,22.076999999999998,21.940499999999997,21.474499999999995,21.445999999999994,22.539
20 min,20.907400000000003,21.469,20.8185,20.952599999999997,21.96635,22.229,25.9093
200 day,28.090700000000016,27.669500000000017,27.515450000000016,27.459100000000014,27.23905000000001,27.19550000000001,26.71120000000001
25 min,20.91976,21.4862,20.84004,20.96328,21.96308,22.233999999999995,25.932999999999996
3 hr,21.215705555555562,21.42671111111109,21.056972222222218,20.94316111111111,21.879105555555572,22.319461111111103,26.102855555555525
3.5 hr,21.237938095238107,21.42399047619046,21.069547619047622,20.941295238095236,21.88304285714287,22.32557619047619,26.109976190476164
30 day,23.884333333333334,23.092000000000002,22.92666666666667,22.807333333333336,22.298666666666666,22.213333333333328,22.14
30 min,20.94146666666666,21.498500000000003,20.84803333333333,20.97323333333333,21.958899999999996,22.231833333333334,25.950166666666657
4 hr,21.257904166666677,21.415804166666646,21.092979166666662,20.937054166666666,21.904500000000002,22.326970833333338,26.11494999999998
4.5 hr,21.299274074074077,21.409585185185165,21.111622222222213,20.94843333333334,21.913388888888896,22.332740740740753,26.107948148148132
40 day,24.212750000000003,23.554000000000006,23.23975,23.1245,22.8175,22.756249999999998,22.443000000000005
45 min,20.987866666666662,21.483377777777786,20.829266666666665,20.998688888888886,21.949399999999994,22.24053333333333,25.997533333333323
5 day,22.146,21.29,21.592,21.502000000000002,21.14,21.412,24.458000000000002
5 hr,21.33166333333334,21.39912666666666,21.12475999999998,20.939943333333332,21.915333333333336,22.334616666666676,26.098046666666658
5 min,20.844,21.43,20.791,20.897,21.946,22.232,25.877999999999997
5.5 hr,21.374557575757585,21.384569696969695,21.125093939393924,20.938827272727277,21.90785757575758,22.328557575757586,26.076015151515136
50 day,24.4828,23.828400000000002,23.631400000000003,23.5698,23.292799999999993,23.21859999999999,22.852800000000002
50 min,21.00368,21.475020000000015,20.824699999999993,20.999519999999993,21.94426,22.24414,26.009199999999982
55 min,21.022163636363636,21.46910909090911,20.820636363636357,20.998745454545446,21.940600000000007,22.24758181818182,26.01772727272725
6 hr,21.437613888888894,21.371163888888884,21.136724999999988,20.967627777777786,21.901300000000006,22.323472222222236,26.04007777777777
6.5 hr,21.489735897435907,21.362600000000008,21.149284615384605,20.99260512820513,21.881725641025646,22.307487179487197,25.98818717948718
60 day,24.971333333333337,24.179,23.953333333333333,23.887166666666662,23.568999999999996,23.51016666666666,23.168333333333333
70 day,25.483714285714292,24.748714285714286,24.447714285714287,24.331285714285716,23.933142857142855,23.865428571428566,23.414571428571424
80 day,25.665875000000007,25.177500000000002,24.961500000000004,24.87375,24.521749999999997,24.435499999999998,23.713499999999996
90 day,25.790111111111116,25.354111111111116,25.181444444444445,25.11022222222222,24.867333333333324,24.822444444444436,24.19555555555555
Tomorrow,20.28,22.77,20.91,20.56,22.27,21.96,25.99
