,2018-12-20,2019-01-17
1 hr,90.15068333333336,105.25146666666667
1 min,89.61,104.38
1.5 hr,90.02468888888892,105.50502222222225
10 day,97.984,98.11699999999999
10 min,89.8009,104.497
100 day,96.2109,96.50099999999996
125 day,94.36792,95.58671999999996
15 min,89.86646666666667,104.66699999999999
150 day,91.9116,94.06266666666663
175 day,89.27914285714286,91.52525714285713
2 day,90.455,104.785
2 hr,89.77397500000004,105.6346416666667
2.5 hr,89.75238000000003,105.76180000000001
20 day,99.87100000000001,94.79249999999999
20 min,89.9711,104.797
200 day,86.22059999999999,89.14205
25 min,90.10044000000002,104.87688
3 hr,89.78190000000001,105.8876666666666
3.5 hr,89.80329047619041,105.92932380952372
30 day,98.55566666666665,96.81566666666666
30 min,90.14526666666669,104.92490000000001
4 hr,89.72126249999992,105.96117916666658
4.5 hr,89.5846555555555,106.00741851851842
40 day,96.698,97.56924999999998
45 min,90.2512888888889,105.09117777777777
5 day,94.002,101.58
5 hr,89.52141999999999,106.02112666666659
5 min,89.78380000000001,104.33899999999998
5.5 hr,89.52110606060604,106.08995454545453
50 day,95.69739999999997,97.23959999999997
50 min,90.23516,105.11236000000001
55 min,90.19020000000002,105.17932727272728
6 hr,89.56995833333333,106.11789444444445
6.5 hr,89.68326923076928,106.0699025641026
60 day,96.30283333333331,96.08883333333331
70 day,96.48242857142857,95.69757142857141
80 day,96.70275000000001,96.19287499999999
90 day,96.69255555555556,96.236
Tomorrow,89.1,103.19
