,2018-12-11,2018-12-12,2018-12-17,2018-12-20,2019-01-03,2019-01-04,2019-01-16,2019-01-29,2019-02-04,2019-02-06,2019-02-07,2019-02-08,2019-02-11,2019-02-12,2019-02-13
1 hr,44.39751666666667,44.991333333333344,42.831966666666666,40.917666666666676,39.20725000000001,41.651833333333336,45.79221666666665,44.64271666666665,49.697650000000024,46.777466666666655,42.58166666666667,42.21543333333334,43.82173333333334,44.46041666666667,45.725066666666656
1 min,44.12,44.83,42.79,40.83,39.01,41.8,45.69,44.34,49.65,46.75,42.705,42.31,44.26,44.45,45.54
1.5 hr,44.505700000000004,45.008933333333346,42.896522222222224,40.93384444444444,39.32441111111112,41.70016666666667,45.84546666666666,44.686455555555554,49.73193333333335,46.70238888888889,42.64691111111112,42.29996666666667,43.64113333333335,44.43093333333333,45.83085555555556
10 day,44.29799999999999,44.50299999999999,44.211,42.926,40.403,40.410000000000004,43.900999999999996,46.44100000000001,47.509,47.776,47.27300000000001,46.602000000000004,46.29600000000001,46.30400000000001,46.172000000000004
10 min,44.275999999999996,44.935500000000005,42.8134,40.751999999999995,39.076,41.729499999999994,45.6718,44.371500000000005,49.537,46.81830000000001,42.641000000000005,42.2898,44.187,44.491499999999995,45.5775
100 day,55.79870000000001,55.70330000000002,55.39380000000001,55.041000000000004,53.82629999999999,53.65819999999999,52.415299999999995,50.77089999999999,50.0845,49.8045,49.63109999999999,49.44439999999999,49.277399999999986,49.11779999999999,48.97049999999999
125 day,56.120960000000004,56.00744000000001,55.68864,55.3088,54.25584,54.12656,53.28424,52.787119999999994,52.6372,52.47759999999999,52.36727999999999,52.23831999999999,52.123519999999985,52.012639999999976,51.89999999999997
15 min,44.32966666666667,44.949000000000005,42.78966666666667,40.761799999999994,39.104866666666666,41.699999999999996,45.675866666666664,44.39686666666667,49.52033333333334,46.84453333333333,42.591,42.2682,44.161199999999994,44.469333333333324,45.599000000000004
150 day,57.06913333333334,56.94386666666668,56.538533333333326,56.104,54.91420000000001,54.80113333333333,53.96853333333333,53.38593333333333,53.188333333333325,53.03633333333333,52.954066666666655,52.86093333333332,52.76959999999999,52.69053333333332,52.61199999999998
175 day,57.28025714285715,57.18060000000002,56.90174285714287,56.53757142857145,55.65131428571429,55.597542857142855,55.11531428571427,54.34222857142856,54.02142857142856,53.84057142857142,53.72491428571427,53.62451428571427,53.54165714285714,53.445314285714275,53.35914285714285
2 day,43.785,44.515,43.144999999999996,41.275,40.8,40.4,45.8,45.835,49.78,47.0,44.730000000000004,42.519999999999996,43.29,44.345,44.980000000000004
