,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-03,2019-01-04,2019-01-07,2019-01-09,2019-01-10,2019-01-11,2019-01-14,2019-01-16,2019-01-17,2019-01-18,2019-01-22,2019-01-25,2019-01-30,2019-02-01,2019-02-04,2019-02-13,2019-02-14,2019-02-15
1 hr,25.393749999999997,25.93011666666668,25.27241666666666,24.59036666666666,24.48988333333332,24.42851666666666,23.860849999999992,23.703749999999992,24.476216666666662,23.598583333333345,22.98746666666667,23.833933333333317,24.203250000000022,25.68491666666669,26.03298333333333,26.241316666666673,26.734999999999996,26.89093333333334,26.990233333333347,26.210116666666682,25.88286666666666,26.10335000000001,26.555716666666648,26.38921666666665,27.047183333333336,26.78696666666667,26.506033333333338,27.06218333333333
1 min,25.3,25.84,25.23,24.59,24.54,24.54,23.85,23.57,24.75,23.73,22.9,23.84,24.18,25.77,26.2,26.32,26.68,26.82,26.89,26.24,25.9,26.06,26.57,26.41,27.17,26.75,26.46,27.16
1.5 hr,25.38825555555555,25.939133333333363,25.27891111111111,24.574355555555545,24.533477777777765,24.448399999999996,23.83928888888888,23.74763333333331,24.405344444444445,23.536455555555577,23.050622222222223,23.85626666666665,24.205466666666688,25.64257777777778,26.017333333333326,26.25744444444445,26.73119999999998,26.8971777777778,27.037677777777784,26.186666666666692,25.896577777777782,26.117366666666683,26.55998888888889,26.401199999999992,27.00551111111112,26.749188888888902,26.518700000000017,27.048577777777762
10 day,26.913,26.734,26.454,26.135999999999996,25.807,25.435,24.95,24.744,24.514999999999997,24.127000000000002,23.878000000000004,23.828,23.861,24.174,24.317999999999998,24.541,24.809999999999995,25.414999999999996,25.814,26.056,26.229000000000003,26.363,26.314000000000004,26.207000000000004,26.299,26.637,26.661,26.733000000000004
10 min,25.320999999999998,25.887000000000008,25.276000000000003,24.572499999999998,24.476999999999997,24.581,23.788,23.6065,24.6875,23.644000000000002,22.9205,23.837,24.203,25.7431,26.145,26.2905,26.665499999999998,26.825999999999993,26.9201,26.2555,25.857,26.072999999999997,26.552999999999997,26.4135,27.128999999999998,26.785500000000003,26.467000000000002,27.1255
100 day,30.614399999999986,30.534899999999983,30.444999999999986,30.354399999999988,30.262899999999988,30.159999999999986,29.96689999999999,29.86739999999999,29.689499999999995,29.398199999999996,29.185100000000002,29.085900000000002,28.9958,28.835700000000003,28.7656,28.697200000000002,28.6314,28.502599999999997,28.439599999999995,28.365999999999996,28.284499999999998,28.0344,27.797800000000002,27.6544,27.594,27.17260000000001,27.107000000000014,27.054600000000008
125 day,31.038479999999996,30.979919999999996,30.914159999999995,30.846559999999993,30.780319999999993,30.714639999999992,30.579359999999994,30.508959999999995,30.387839999999997,30.198559999999997,30.060319999999997,29.990719999999992,29.91935999999999,29.79799999999999,29.74495999999999,29.68783999999999,29.634319999999985,29.52327999999999,29.464959999999984,29.404719999999983,29.338159999999988,29.14559999999999,28.970719999999993,28.8604,28.810239999999997,28.41656000000001,28.36288000000001,28.31448000000001
15 min,25.333333333333336,25.91400000000001,25.282333333333334,24.546,24.453866666666663,24.565999999999995,23.809666666666665,23.628999999999998,24.658333333333335,23.659666666666666,22.928333333333335,23.836666666666666,24.215333333333334,25.7394,26.122266666666665,26.272333333333336,26.67533333333333,26.82266666666666,26.937400000000004,26.25166666666667,25.863666666666667,26.071666666666662,26.561666666666667,26.40999999999999,27.11733333333333,26.799866666666667,26.473666666666666,27.12033333333334
150 day,31.07459999999999,31.04546666666666,31.011799999999997,30.973933333333328,30.933599999999988,30.895133333333323,30.808599999999995,30.762533333333334,30.680733333333333,30.555266666666668,30.454066666666666,30.401133333333327,30.34939999999999,30.253533333333333,30.210399999999996,30.16873333333333,30.129133333333325,30.049333333333326,30.00993333333332,29.963933333333323,29.913599999999995,29.776866666666653,29.65479999999999,29.58053333333332,29.54973333333332,29.284399999999994,29.2436,29.2058
175 day,31.711257142857132,31.640399999999993,31.56325714285714,31.485657142857136,31.40817142857142,31.33057142857142,31.169599999999992,31.08605714285714,30.92028571428571,30.66697142857143,30.499942857142855,30.421314285714285,30.385599999999993,30.31662857142857,30.29331428571428,30.270742857142846,30.25022857142856,30.208571428571414,30.187828571428554,30.16525714285713,30.140228571428562,30.065542857142844,29.99417142857142,29.946914285714275,29.93205714285713,29.747714285714274,29.713257142857135,29.68177142857142
2 day,25.47,25.57,25.53,24.915,24.575000000000003,24.55,24.085,23.705,24.325,23.845,23.305,23.369999999999997,24.0,25.3,25.985,26.255000000000003,26.485,26.740000000000002,26.86,26.575,26.075,26.159999999999997,26.42,26.325,26.8,26.725,26.605,26.805
