,2019-02-01
1 hr,3.0526000000000004
1 min,3.11
1.5 hr,3.0592333333333337
10 day,2.884
10 min,3.0892999999999997
100 day,3.672200000000001
125 day,3.8204000000000007
15 min,3.0848
150 day,3.9644666666666692
175 day,4.117200000000002
2 day,3.115
2 hr,3.0576750000000024
2.5 hr,3.05700666666667
20 day,2.8015000000000003
20 min,3.07535
200 day,4.240800000000003
25 min,3.0702799999999995
3 hr,3.059266666666668
3.5 hr,3.0574904761904724
30 day,2.648
30 min,3.0659333333333336
4 hr,3.0560749999999928
4.5 hr,3.051229629629622
40 day,2.7132499999999995
45 min,3.0576000000000016
5 day,2.982
5 hr,3.0444966666666606
5 min,3.1016000000000004
5.5 hr,3.0370545454545423
50 day,2.8436000000000003
50 min,3.056020000000001
55 min,3.054472727272728
6 hr,3.0328277777777766
6.5 hr,3.0326846153846128
60 day,2.977
70 day,3.119
80 day,3.3386250000000004
90 day,3.527222222222223
Tomorrow,3.1
