,2019-01-08,2019-01-09,2019-01-15,2019-01-18
1 hr,232.41294999999997,232.4722333333332,233.23726666666659,233.30395000000027
1 min,232.25,232.41,233.59,233.51
1.5 hr,232.42441111111108,232.47455555555555,233.17966666666658,233.30984444444468
10 day,155.204,165.504,203.92400000000004,232.859
10 min,232.31079999999997,232.446,233.52800000000002,233.349
100 day,156.6752,157.42680000000001,160.38459999999998,162.58609999999996
125 day,159.41143999999994,159.82215999999994,161.5754399999999,162.92879999999994
15 min,232.3195333333333,232.45333333333332,233.512,233.33466666666666
150 day,162.68339999999998,163.01686666666663,164.49733333333327,165.5709333333333
175 day,160.8171428571428,161.42565714285712,163.94171428571423,165.79457142857137
2 day,232.47,232.345,233.1,233.375
2 hr,232.46136666666663,232.47147499999997,233.14208333333318,233.32009166666683
2.5 hr,232.50480000000005,232.47597333333334,233.13608666666653,233.32082666666673
20 day,145.77849999999998,150.62949999999998,169.40700000000007,183.79900000000004
20 min,232.34065,232.45669999999996,233.49049999999997,233.33135000000001
200 day,156.07375,156.67950000000002,159.03644999999997,160.8192
25 min,232.35532,232.46187999999995,233.43619999999999,233.32588000000007
3 hr,232.53827222222225,232.48047777777768,233.1305166666666,233.32659444444454
3.5 hr,232.5677714285714,232.4859666666665,233.14849047619043,233.3345809523809
30 day,144.37633333333332,147.01433333333335,158.85666666666668,168.31300000000002
30 min,232.36593333333332,232.4661666666666,233.38583333333332,233.32256666666677
4 hr,232.58294999999995,232.47765416666655,233.18884583333323,233.34070416666657
4.5 hr,232.56292222222223,232.47274814814804,233.21968518518509,233.35250370370363
40 day,147.29475000000005,148.75900000000007,156.27150000000006,162.31600000000003
45 min,232.3929111111111,232.47024444444432,233.29411111111105,233.31171111111132
5 day,175.11999999999998,193.64600000000002,232.728,233.24200000000002
5 hr,232.53319333333332,232.46940999999995,233.21916666666652,233.36549333333338
5 min,232.302,232.44,233.54000000000002,233.35999999999999
5.5 hr,232.50638181818172,232.47369090909086,233.21192424242406,233.36863939393933
50 day,150.08660000000006,151.67860000000007,158.22080000000008,162.05280000000005
50 min,232.39672,232.47045999999983,233.27337999999992,233.30874000000026
55 min,232.4049272727273,232.4703454545453,233.2533818181817,233.30558181818205
6 hr,232.48364166666647,232.47965277777774,233.20075277777767,233.3722944444444
6.5 hr,232.46920769230752,232.48276153846157,233.1718999999999,233.3724051282051
60 day,152.00550000000004,153.2201666666667,157.73033333333333,161.2421666666667
70 day,154.05771428571433,154.88671428571433,158.5807142857143,161.6422857142857
80 day,155.02937500000002,155.86712500000004,159.59762500000002,162.32737500000002
90 day,156.23422222222223,156.98644444444446,159.87877777777777,162.23644444444443
Tomorrow,232.4,232.53,233.26,233.78
