,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-14,2019-01-16,2019-01-17,2019-01-18,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-05,2019-02-06,2019-02-07,2019-02-08,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15
1 hr,139.37656666666666,138.87606666666667,138.66949999999997,135.84190000000004,135.57266666666663,137.97843333333327,131.19745000000003,129.09170000000003,127.76936666666668,129.14984999999996,135.7367666666667,138.01133333333337,132.00680000000003,137.69128333333336,139.69511666666668,136.36423333333335,144.03450000000004,144.9470833333333,144.57021666666665,140.34281666666672,139.16321666666664,141.06273333333328,147.59638333333334,139.21743333333336,139.35546666666667,160.77393333333342,165.66265000000004,166.34645,165.44745,171.5735166666667,168.98516666666666,172.66751666666661,173.53418333333337,177.42358333333328,174.8232833333333,175.0036833333334,175.75830000000002,179.51319999999998,181.88084999999998,181.97398333333334,181.35920000000002
1 min,138.32,138.45,138.76,135.37,135.63,137.93,131.09,128.31,127.15,130.83,136.18,138.3,131.62,138.06,139.28,136.99,144.0,144.57,144.1,140.49,138.75,141.78,147.55,139.93,139.33,161.18,165.48,166.04,164.99,170.88,169.56,172.76,173.68,177.1,175.71,175.33,175.95,179.25,181.01,181.33,181.09
1.5 hr,139.37551111111108,138.97443333333337,138.50145555555557,135.76354444444448,135.78907777777778,138.22112222222216,132.44802222222225,129.0901,128.1026,128.67453333333327,135.5017222222223,138.31432222222227,132.15639999999996,137.72870000000003,139.73669999999998,136.41312222222226,144.0845,144.9173666666666,144.6842777777778,140.2079333333334,139.32537777777776,140.7228888888889,147.62193333333335,139.1866444444445,139.3066111111111,160.51070000000004,165.50041111111113,166.2019,165.39520000000002,171.7383777777778,169.25560000000002,172.86402222222216,173.61112222222224,177.37462222222223,174.74044444444436,175.0031777777778,175.69458888888892,179.6276666666666,182.00768888888888,181.81913333333333,181.3879333333333
10 day,147.56905999999998,146.83136,145.42845,143.79479,141.77401,139.575,137.718,135.97599999999997,134.88899999999998,132.69,131.919,132.181,131.551,132.245,133.343,134.32,136.392,137.76500000000001,138.848,139.349,139.777,140.79000000000002,141.739,141.79900000000004,142.03900000000002,143.759,145.85100000000003,148.046,150.502,153.595,156.67799999999997,159.77899999999997,165.72,169.497,170.949,171.93,172.916,174.342,175.35,176.525,177.35700000000003
10 min,138.4708,138.5025,138.93089999999998,135.74089999999998,135.45549999999997,138.29919999999998,131.3682,128.2935,127.28299999999999,130.309,135.5785,137.9982,131.8844,137.95210000000003,139.392,136.5335,143.66249999999997,144.7525,144.1935,140.38100000000003,138.8385,141.43800000000002,147.262,139.45700000000002,139.29630000000003,161.1368,165.39299999999997,166.132,165.2865,170.9667,169.589,172.33339999999998,173.50009999999997,177.3738,175.44400000000002,174.99450000000004,175.96300000000002,179.436,181.0684,181.9092,181.22899999999998
100 day,156.49614000000003,156.12686800000003,155.78998900000002,155.433512,155.08595400000002,154.71690600000002,154.153904,153.58430399999997,152.975587,151.833974,150.34439899999998,149.85319699999997,149.34983899999995,148.97380599999994,148.60957999999994,148.23615499999994,147.97150099999993,147.69814699999995,147.46339399999997,147.178328,146.53866899999997,146.25220699999997,146.02670299999997,145.68761199999994,145.36333799999997,145.27275599999993,145.22655299999994,145.17993499999997,145.13376199999996,145.14619999999996,145.26339799999994,145.41713199999995,145.76946399999997,146.04703599999996,146.28349599999996,146.51237899999995,146.76096899999993,147.02746499999995,147.31612899999996,147.58723599999996,147.85197099999996
125 day,159.53048880000006,159.20855840000007,158.91088640000004,158.61931360000005,158.33692800000006,158.06315200000006,157.72298160000003,157.3709832,157.0389008,156.35964400000003,155.52100639999998,155.3077128,155.00499919999996,154.73762879999998,154.45516479999998,154.15871279999996,153.9751591999999,153.7799111999999,153.57727439999996,153.34519759999992,152.74596399999996,152.47371199999995,152.25109439999994,151.99063119999994,151.73712959999995,151.66324319999993,151.58848479999997,151.41760319999995,151.25536319999995,151.11854959999994,151.00525999999994,150.91109919999994,150.72221039999997,150.67207919999996,150.57847759999996,150.52515119999993,150.5272047999999,150.55550399999993,150.60940399999996,150.69632079999997,150.76979759999998
15 min,138.62033333333332,138.5863333333333,139.03059999999996,135.72893333333334,135.26006666666666,138.40846666666664,131.16533333333334,128.45066666666665,127.36666666666666,130.13066666666666,135.66566666666665,137.96346666666665,131.92493333333334,137.92673333333332,139.46966666666668,136.54333333333335,143.81126666666665,144.9153333333333,144.26233333333332,140.33733333333336,138.832,141.41140000000001,147.32299999999998,139.4296666666667,139.30280000000002,161.22053333333332,165.54366666666667,166.20306666666661,165.32566666666665,171.03979999999999,169.36826666666667,172.2639333333333,173.48539999999997,177.3532,175.36766666666665,174.95086666666668,175.94366666666667,179.39346666666668,181.06746666666672,182.00546666666668,181.27226666666667
150 day,165.49933200000004,165.1161433333334,164.7069646666667,164.2912746666667,163.86143200000006,163.45862266666674,162.9795446666667,162.50514666666666,162.07435599999997,161.13381066666665,159.84538066666664,159.45752999999996,159.0150753333333,158.63935866666665,158.2424113333333,157.8172393333333,157.45004933333328,157.1013226666666,156.82041266666664,156.52022999999997,155.9414373333333,155.6727406666666,155.46513199999995,155.2246053333333,155.00802799999997,154.94283999999996,154.89842666666667,154.84788466666666,154.799086,154.81415066666662,154.80101533333328,154.8363033333333,154.8885213333333,154.93130533333326,155.00302733333328,155.04189933333328,155.0714906666666,155.10250399999993,155.14932733333328,155.24523266666662,155.32599266666662
175 day,169.17597828571434,168.8366000000001,168.53627142857147,168.24106857142863,167.9337908571429,167.59984971428577,167.2231262857143,166.80142,166.38592342857143,165.50669885714288,164.53485142857147,164.24960857142858,163.96011085714287,163.7025908571429,163.43118971428575,163.16390514285715,162.94935314285715,162.70817942857144,162.46925428571433,162.20980514285714,161.6222874285714,161.33999885714283,161.0635514285714,160.71928399999996,160.38560685714282,160.1629988571428,159.97521942857142,159.76423828571427,159.56721142857137,159.44807657142852,159.29667428571423,159.1460662857142,158.84269428571423,158.7221548571428,158.60353999999995,158.47383599999995,158.36813599999994,158.25623828571423,158.14369085714281,158.04227085714282,157.95204799999996
2 day,138.055,138.37,138.605,137.065,135.525,136.805,134.525,129.715,127.735,127.06,135.795,137.235,134.965,134.845,138.675,138.11,140.465,144.285,144.34,142.27,139.375,140.255,144.655,143.72,139.61,150.265,163.345,165.775,165.525,167.96,170.255,171.175,173.425,175.39499999999998,176.41,175.51,175.61,177.58499999999998,180.13,181.17000000000002,181.21
2 hr,139.04531666666662,139.1071416666667,138.4143333333333,135.908375,135.8632333333333,138.5540583333333,133.19323333333332,128.66969166666664,128.30732500000002,128.3180083333333,135.2941583333334,138.38372500000006,132.22057499999997,137.62637500000008,139.83778333333328,136.28851666666668,144.08010833333338,144.77528333333333,144.8552833333334,140.1644416666667,139.34749166666668,140.33233333333334,147.74240000000003,139.27654166666673,139.35045833333334,160.2738833333333,165.497675,165.97045000000008,165.45395,171.72599999999997,169.5194666666667,172.9099249999999,173.63527499999998,177.6108916666667,174.6745833333333,175.03930833333334,175.72773333333328,179.64172499999995,182.03263333333328,181.8232833333333,181.40745
2.5 hr,138.85322,139.26003333333335,138.5692733333333,136.00355333333331,135.9674866666667,138.8095266666666,134.05897999999996,128.54645333333335,128.55098666666674,127.97135999999996,135.23352666666676,138.50347333333335,132.29591333333332,137.54947333333345,139.94977999999992,136.10672666666662,144.11203333333336,144.56085999999996,144.92978666666673,140.28736000000004,139.3990333333334,140.11958,147.82156000000012,139.3544533333334,139.30131999999995,159.99897333333328,165.64308000000003,165.8931200000001,165.52596666666668,171.43447999999992,169.68697999999998,172.95174666666654,173.51999999999995,177.93210000000005,174.74635333333327,174.81553333333335,175.78591999999995,179.57435333333325,182.08458,181.8759466666667,181.48834666666673
20 day,145.61299,145.4388,145.228465,144.90872,144.422725,143.969775,143.38787000000002,142.679865,141.861225,140.12953,137.85689499999998,136.977505,135.56300000000002,134.98150000000004,134.65949999999998,134.60449999999997,134.91349999999997,135.22749999999996,135.5105,135.594,135.97899999999998,136.1705,136.99200000000002,137.57100000000003,138.17950000000005,140.07550000000003,141.80800000000005,143.44700000000003,144.9255,146.66350000000003,148.2275,150.28449999999998,153.7595,155.768,157.354,158.89050000000003,160.48099999999997,162.42199999999997,164.4725,166.6015,168.568
20 min,138.72990000000001,138.63099999999997,139.08544999999998,135.6487,135.2148,138.34259999999998,130.91575000000003,128.63969999999998,127.3522,130.03365,135.76500000000001,137.92385,131.89870000000002,137.88825,139.47825,136.51950000000002,143.82425,145.018,144.31225,140.35855,138.85,141.38275000000002,147.39899999999997,139.49025,139.28410000000002,161.12105,165.62065,166.25629999999995,165.47824999999997,171.05059999999997,169.1924,172.23444999999998,173.47084999999998,177.31904999999998,175.34125,174.94910000000002,175.85354999999998,179.3481,181.16035000000005,182.07945000000004,181.30419999999998
