,2019-02-14
1 hr,11.48321666666667
1 min,11.52
1.5 hr,11.437611111111112
10 day,8.546000000000001
10 min,11.499
100 day,7.100649999999999
125 day,7.223
15 min,11.501000000000001
150 day,7.225633333333335
175 day,7.102714285714289
2 day,11.05
2 hr,11.399183333333337
2.5 hr,11.377466666666669
20 day,8.035
20 min,11.49775
200 day,6.911525000000006
25 min,11.497959999999999
3 hr,11.342633333333337
3.5 hr,11.310495238095239
30 day,7.739000000000001
30 min,11.491966666666665
4 hr,11.295129166666664
4.5 hr,11.267225925925924
40 day,7.48925
45 min,11.480599999999999
5 day,9.236
5 hr,11.241289999999994
5 min,11.491
5.5 hr,11.216978787878777
50 day,7.3298000000000005
50 min,11.478840000000002
55 min,11.479127272727277
6 hr,11.191236111111097
6.5 hr,11.156061538461518
60 day,7.058166666666667
70 day,6.893714285714285
80 day,6.872062499999998
90 day,6.997611111111111
Tomorrow,11.08
