,2018-12-13
1 hr,34.97998333333332
1 min,34.89
1.5 hr,34.97071111111111
10 day,36.484390000000005
10 min,34.9365
100 day,41.640243999999996
125 day,41.315444799999995
15 min,34.962333333333326
150 day,41.49854800000001
175 day,41.49027314285714
2 day,35.3057
2 hr,34.99565833333334
2.5 hr,35.04409333333333
20 day,37.615865
20 min,34.97824999999999
200 day,41.70196999999999
25 min,34.980599999999995
3 hr,35.08652222222223
3.5 hr,35.132685714285714
30 day,38.35842333333333
30 min,34.99833333333333
4 hr,35.16895416666667
4.5 hr,35.20714444444443
40 day,38.38632
45 min,35.009266666666655
5 day,35.513419999999996
5 hr,35.242103333333326
5 min,34.902
5.5 hr,35.28197272727271
50 day,39.07182799999999
50 min,34.99709999999999
55 min,34.98681818181817
6 hr,35.30928333333332
6.5 hr,35.35805641025639
60 day,39.79148666666666
70 day,40.614362857142844
80 day,41.186933749999994
90 day,41.43740222222222
Tomorrow,33.4423
