,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-14,2019-01-16,2019-01-17,2019-01-18,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-28,2019-01-30,2019-01-31,2019-02-01,2019-02-04,2019-02-05,2019-02-06,2019-02-07,2019-02-08,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15
1 hr,117.35404999999997,122.71488333333335,119.31336666666667,119.10265000000003,118.60403333333333,119.02293333333338,115.00369999999998,115.09430000000002,121.5059833333333,121.58126666666666,123.31391666666669,124.62045000000003,128.55336666666668,134.24129999999997,136.12236666666666,136.7356,131.30816666666666,131.66033333333337,139.89781666666667,142.33364999999998,145.11554999999998,151.47481666666664,149.11391666666668,149.40383333333335,148.46300000000005,152.2461,149.5619833333334,148.8609,147.35381666666666,146.1867333333334,146.4966333333333,147.4690833333333,145.52148333333338,146.83071666666672,148.60368333333338,149.85369999999998,156.8768,155.2124,155.15981666666661,151.06691666666663
1 min,116.86,122.65,120.23,119.18,118.89,119.11,115.63,113.74,122.64,121.72,123.36,124.36,128.54,134.1,135.84,136.0,131.62,132.14,139.73,142.25,145.14,152.07,149.47,149.84,148.44,151.89,149.66,148.59,147.82,146.05,146.65,146.85,145.74,147.63,148.56,149.79,157.37,155.31,154.851,151.06
1.5 hr,117.38568888888886,122.58928888888889,119.14329999999998,119.15986666666673,118.78308888888886,119.05998888888892,115.53823333333332,115.24467777777782,121.08348888888887,121.62483333333334,123.54128888888893,124.71763333333335,128.61716666666666,134.06132222222217,136.09240000000003,136.64657777777782,131.26191111111115,131.44670000000005,139.86742222222225,142.30397777777773,145.25728888888887,151.29853333333335,149.1374777777778,149.2866666666666,148.3930888888889,152.24111111111117,149.56678888888888,149.2218333333333,147.3107333333333,146.3098888888889,146.46992222222218,147.46791111111105,145.48914444444452,146.63922222222226,148.62140000000008,149.8457222222222,156.6983222222223,155.25391111111114,155.21944444444438,151.10632222222225
10 day,126.44500000000001,126.43299999999999,125.554,124.52000000000001,123.152,121.083,119.292,117.636,118.042,118.48000000000002,118.928,119.444,120.728,122.63700000000001,124.849,127.123,128.018,128.9,130.73299999999998,134.57399999999998,136.652,139.004,140.541,141.94,143.183,145.21100000000004,146.965,148.63499999999996,149.19199999999995,149.29,148.747,148.489,148.07999999999998,148.0,147.673,147.682,148.519,149.185,149.88899999999998,150.38599999999997
10 min,116.67049999999999,122.7181,119.87660000000001,119.1384,118.50719999999998,119.75230000000002,115.7977,114.23549999999997,122.3634,121.1253,123.45110000000003,124.45010000000002,128.5761,134.10460000000003,135.978,136.0942,131.545,132.1275,139.6361,142.22140000000002,145.12439999999998,151.7502,149.07640000000004,149.727,148.4,152.0947,149.5574,148.4691,147.5898,146.192,146.5555,147.0997,145.70930000000004,147.26560000000003,148.404,149.7557,157.2078,155.06220000000002,154.981,150.9382
100 day,138.87980000000005,138.84180000000003,138.79010000000002,138.75150000000002,138.68990000000002,138.637,138.59410000000003,138.49370000000002,138.4035,138.28730000000002,138.24900000000002,138.211,138.19130000000004,138.23290000000003,138.29680000000005,138.39230000000003,138.41370000000003,138.4334,138.46400000000003,138.5868,138.6762,138.80929999999998,138.9224,139.03410000000002,139.13139999999999,139.2803,139.228,139.1033,139.07139999999998,139.02439999999996,138.94969999999998,138.8863,138.8138,138.74409999999997,138.6932,138.63729999999998,138.62609999999995,138.62669999999997,138.61549999999997,138.55649999999997
125 day,136.42656000000005,136.40072000000004,136.33536,136.25080000000003,136.17696000000004,136.10440000000006,136.00840000000005,135.84608000000006,135.72808,135.65672000000004,135.64168000000006,135.64040000000006,135.64048000000005,135.70104000000006,135.76888000000002,135.85160000000008,135.89872000000003,135.9524,136.05216000000004,136.25304,136.39184,136.5968,136.7896,137.00456000000003,137.19176000000004,137.41096000000005,137.64856000000006,138.11872000000002,138.33680000000004,138.51064000000005,138.67512000000002,138.83976000000004,139.0012,139.1648,139.32847999999998,139.48263999999998,139.70167999999995,139.90807999999998,140.13527999999994,140.30823999999993
15 min,116.72913333333332,122.81786666666667,119.76526666666668,119.11959999999999,118.37946666666666,119.6298,115.65546666666668,114.48099999999997,122.28760000000003,121.20353333333335,123.38606666666666,124.51273333333334,128.5870666666667,134.0398,136.03833333333336,136.23593333333332,131.53879999999998,132.16613333333333,139.6888,142.19333333333333,145.1789333333333,151.69546666666668,149.10160000000002,149.72066666666666,148.43453333333335,152.14173333333335,149.53326666666672,148.51506666666668,147.46553333333333,146.18333333333334,146.52366666666663,147.18113333333335,145.73326666666668,147.26040000000003,148.406,149.75913333333335,157.13006666666666,155.00013333333334,155.02566666666664,151.0076
150 day,132.04200000000006,132.1999333333334,132.34853333333336,132.48573333333337,132.6200666666667,132.7550666666667,132.8488,133.00833333333335,133.20366666666666,133.52693333333332,133.64473333333333,133.7696,133.92626666666666,134.00566666666668,134.0782,134.1578666666667,134.20733333333334,134.2704,134.38846666666666,134.62873333333334,134.76213333333334,134.93673333333334,135.0774,135.21180000000004,135.34733333333338,135.50480000000005,135.65140000000008,135.9748666666667,136.11500000000004,136.2632666666667,136.40793333333338,136.55486666666673,136.69006666666672,136.83940000000007,137.0000666666667,137.14173333333338,137.347,137.53293333333338,137.72753333333333,137.89666666666668
175 day,126.77017142857149,126.96680000000003,127.1321142857143,127.30074285714286,127.46777142857145,127.62885714285719,127.76960000000003,128.02685714285718,128.2986285714286,128.75434285714286,128.90697142857147,129.06388571428573,129.2393142857143,129.44320000000005,129.6528571428572,129.85971428571435,130.04205714285717,130.22731428571433,130.45514285714287,130.97348571428574,131.2417142857143,131.54520000000002,131.8398285714286,132.1330285714286,132.41708571428575,132.71960000000004,132.99417142857146,133.52411428571432,133.7759428571429,134.0230285714286,134.25942857142857,134.4907428571429,134.7169142857143,134.95662857142858,135.2022857142857,135.45794285714285,135.6586857142857,135.83177142857144,136.0077714285714,136.1614857142857
