,2019-01-23
1 hr,104.56008333333337
1 min,104.58
1.5 hr,104.55878888888893
10 day,104.42913999999999
10 min,104.57060000000001
100 day,102.59458200000009
125 day,102.58295040000007
15 min,104.56906666666667
150 day,102.54049733333336
175 day,102.41688400000005
2 day,104.3474
2 hr,104.55850833333334
2.5 hr,104.55700666666667
20 day,104.36331499999999
20 min,104.56864999999998
200 day,102.32129600000003
25 min,104.56728
3 hr,104.56145555555554
3.5 hr,104.56413809523822
30 day,104.07107666666668
30 min,104.56506666666665
4 hr,104.5706041666668
4.5 hr,104.57372592592606
40 day,103.69153500000002
45 min,104.56117777777779
5 day,104.41022000000001
5 hr,104.5725400000001
5 min,104.57660000000001
5.5 hr,104.5696939393941
50 day,103.29906400000006
50 min,104.56066000000004
55 min,104.56027272727275
6 hr,104.56538055555569
6.5 hr,104.56439743589755
60 day,103.00208500000004
70 day,102.78758000000003
80 day,102.65509625000001
90 day,102.59376555555562
Tomorrow,104.47200000000001
