,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-15,2019-01-16,2019-01-17,2019-01-18,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-01-31,2019-02-01,2019-02-05,2019-02-07,2019-02-12,2019-02-13,2019-02-14,2019-02-15
1 hr,55.60455,56.36565000000001,56.387500000000024,55.618733333333324,54.36451666666669,53.69991666666665,52.285916666666644,52.39278333333333,52.026250000000005,52.598199999999984,52.51559999999998,52.14874999999999,50.94791666666668,53.12186666666665,53.62636666666666,54.06801666666668,55.31491666666668,55.61783333333337,55.230216666666635,55.19401666666666,56.23841666666669,56.38398333333336,57.10958333333334,55.42875,56.03388333333332,56.80145000000002,57.7905166666667,57.28850000000003,57.38638333333335,59.07486666666666,58.929533333333346,60.21254999999998,58.567833333333326,59.232933333333364,59.51933333333333,59.28406666666665,58.6754
1 min,55.5,56.09,56.31,55.57,54.416,53.66,52.55,52.44,52.115,52.95,52.62,52.34,51.0,53.07,53.571,53.99,55.2,55.65,55.27,55.27,56.09,56.44,57.15,55.68,56.09,56.78,57.85,57.4,57.35,59.29,58.96,60.19,58.7,59.17,59.511,59.22,58.79
1.5 hr,55.57145555555557,56.34801111111113,56.379055555555574,55.61624444444445,54.432644444444485,53.72549999999999,52.49188888888888,52.38745555555555,52.079866666666646,52.451866666666646,52.516599999999976,52.188800000000015,50.96726666666669,53.15173333333334,53.61183333333335,54.06589999999999,55.343188888888896,55.588055555555606,55.23738888888889,55.17466666666667,56.268544444444444,56.38515555555556,57.117911111111134,55.41627777777777,56.00963333333333,56.79420000000001,57.772866666666694,57.300277777777794,57.372700000000016,59.08235555555555,58.92762222222221,60.20686666666665,58.55464444444442,59.25743333333338,59.49699999999999,59.29986666666665,58.687088888888866
10 day,56.05984000000001,56.0539,55.922180000000004,55.82215000000001,55.52405,55.08443,54.64672999999999,54.307010000000005,54.030330000000006,53.54970000000001,52.712540000000004,52.551,52.29299999999999,52.350999999999985,52.467,52.660000000000004,53.016999999999996,53.287,53.55,53.999,54.37449999999999,54.919500000000006,55.3275,55.53649999999999,55.74550000000001,55.90749999999999,56.1265,56.33749999999999,56.6125,57.26500000000001,57.515,58.165000000000006,58.70400000000001,59.133,59.226,59.215999999999994,59.201
10 min,55.540499999999994,56.2115,56.370000000000005,55.636,54.316599999999994,53.745000000000005,52.4745,52.346500000000006,52.00500000000001,52.8745,52.49749999999999,52.273,50.999500000000005,53.13100000000001,53.6246,53.99870000000001,55.235400000000006,55.6495,55.2855,55.19,56.1077,56.352999999999994,57.07299999999998,55.574,56.0135,56.7565,57.833500000000015,57.313999999999986,57.323,59.2361,58.967,60.15039999999999,58.668000000000006,59.18499999999999,59.5216,59.2726,58.7359
100 day,57.48071799999998,57.405944999999974,57.336717999999976,57.24708999999998,57.13349499999998,57.02822899999998,56.91661899999998,56.81074599999997,56.69929199999998,56.511686999999995,56.25762699999998,56.16640299999997,56.05563999999997,55.97072699999997,55.899925999999965,55.841642999999976,55.817445999999975,55.79170799999998,55.75434699999997,55.65301899999998,55.60548499999999,55.572792,55.53808699999999,55.47640099999999,55.42247899999998,55.37051,55.34864699999999,55.320997,55.300575,55.324703,55.341076,55.408424000000004,55.44299100000001,55.492412000000016,55.499034,55.496318,55.48405499999999
125 day,58.919871199999974,58.80871119999997,58.70189839999996,58.594267999999964,58.48802159999997,58.37908959999997,58.27181599999997,58.159783999999966,58.05897439999997,57.880446399999975,57.624194399999965,57.53941039999996,57.44770959999996,57.36488399999996,57.275363199999966,57.19458879999997,57.13355679999997,57.06614159999997,56.996559199999965,56.85853039999997,56.79950799999998,56.75315039999998,56.70597519999997,56.649415999999974,56.586075199999975,56.51819599999999,56.46806319999998,56.41797519999999,56.372876799999986,56.313663199999986,56.295149599999995,56.27558239999999,56.23676239999999,56.1775008,56.17495439999999,56.187676799999984,56.192286399999986
15 min,55.566,56.25633333333334,56.394666666666666,55.614,54.287733333333335,53.77533333333334,52.44433333333333,52.34100000000001,51.997333333333344,52.833999999999996,52.51099999999999,52.24166666666666,51.00633333333334,53.12866666666667,53.63106666666666,54.01846666666667,55.23693333333334,55.651999999999994,55.28533333333333,55.18999999999999,56.11946666666666,56.36566666666666,57.08319999999999,55.55133333333333,56.020666666666656,56.75000000000001,57.83000000000003,57.29259999999999,57.342666666666666,59.19573333333334,58.96946666666667,60.15326666666665,58.66933333333332,59.18233333333331,59.49826666666667,59.284400000000005,58.735266666666675
150 day,60.588893333333324,60.50841933333333,60.421708666666646,60.330241999999984,60.22756933333333,60.131004666666655,60.01757799999998,59.91032266666665,59.80283599999998,59.586131999999985,59.27604066666663,59.178175333333286,59.06947199999995,58.97088799999995,58.868868666666614,58.76176133333328,58.66153733333329,58.558397999999954,58.458247333333276,58.25617399999996,58.160601333333304,58.07370599999997,57.99160866666664,57.901616666666655,57.81889266666664,57.749518,57.68714133333332,57.63041333333333,57.57005333333332,57.49509133333332,57.47187199999999,57.4205733333333,57.36920866666665,57.27743599999998,57.24685733333331,57.222730666666635,57.187551333333296
175 day,61.4197417142857,61.356171999999994,61.29300342857141,61.23454628571427,61.16496285714285,61.08196799999999,60.99313885714285,60.90340285714285,60.81876457142857,60.65442571428572,60.4175617142857,60.34224057142855,60.25920628571426,60.19047942857139,60.121230285714255,60.05252171428569,59.99134685714283,59.93195485714283,59.871406285714244,59.74614285714283,59.687208571428556,59.625177142857126,59.56523028571427,59.490065714285706,59.41763828571426,59.34605942857143,59.28763257142856,59.218409714285706,59.15476228571427,59.046142285714275,58.99225599999999,58.89487885714283,58.79817885714284,58.64300171428569,58.58268114285711,58.5196891428571,58.44928399999996
