,2018-12-17,2019-02-04
1 hr,17.987683333333322,24.288200000000007
1 min,18.0,24.38
1.5 hr,18.068233333333332,24.310622222222214
10 day,20.822000000000003,21.656
10 min,17.9595,24.3362
100 day,30.063200000000005,23.935699999999994
125 day,31.69800000000001,26.917759999999994
15 min,17.93566666666667,24.349800000000002
150 day,32.126066666666674,28.963866666666664
175 day,31.814114285714265,29.881599999999985
2 day,18.53,24.04
2 hr,18.120016666666665,24.333799999999993
2.5 hr,18.200186666666667,24.337859999999996
20 day,20.949500000000004,20.686999999999998
20 min,17.9261,24.35335
200 day,31.932324999999977,29.938149999999972
25 min,17.920479999999998,24.350880000000004
3 hr,18.286627777777774,24.348744444444446
3.5 hr,18.35729523809524,24.34699523809525
30 day,21.848333333333333,19.875999999999994
30 min,17.922366666666665,24.341066666666666
4 hr,18.45075416666667,24.343966666666688
4.5 hr,18.520459259259262,24.341737037037053
40 day,22.661749999999998,19.9625
45 min,17.954355555555548,24.307044444444443
5 day,20.126,22.918
5 hr,18.563933333333342,24.331793333333334
5 min,17.982999999999997,24.376399999999997
5.5 hr,18.56368181818183,24.314736363636364
50 day,23.594799999999996,20.238400000000002
50 min,17.96511999999999,24.30204
55 min,17.976745454545448,24.29221818181819
6 hr,18.555600000000005,24.301977777777765
6.5 hr,18.564961538461542,24.28265128205128
60 day,24.8125,20.636166666666668
70 day,26.142857142857142,21.238
80 day,27.760875,21.96725
90 day,29.047111111111114,22.842777777777776
Tomorrow,18.69,24.39
