,2019-02-05
1 hr,63.92181666666666
1 min,63.87
1.5 hr,63.91132222222222
10 day,64.212
10 min,63.840999999999994
100 day,63.17719999999999
125 day,65.53696
15 min,63.86666666666667
150 day,69.57646666666665
175 day,73.15354285714284
2 day,63.644999999999996
2 hr,63.8466
2.5 hr,63.75854666666666
20 day,62.66200000000001
20 min,63.8965
200 day,75.28359999999999
25 min,63.90836000000001
3 hr,63.716205555555554
3.5 hr,63.724771428571444
30 day,60.512333333333345
30 min,63.91213333333335
4 hr,63.732975
4.5 hr,63.7481111111111
40 day,59.99550000000001
45 min,63.8972
5 day,64.374
5 hr,63.75964666666668
5 min,63.83
5.5 hr,63.79334848484847
50 day,58.9896
50 min,63.903279999999995
55 min,63.9138909090909
6 hr,63.86383888888886
6.5 hr,63.9255102564102
60 day,58.9645
70 day,59.911857142857144
80 day,60.879375
90 day,62.02188888888888
Tomorrow,64.07
