,2019-02-04,2019-02-06,2019-02-11
1 hr,11.273899999999996,25.414749999999987,21.212766666666653
1 min,11.35,25.58,21.37
1.5 hr,11.279599999999988,25.31647777777777,21.142199999999992
10 day,11.49,12.868,16.086999999999996
10 min,11.331,25.530399999999997,21.2513
100 day,16.565300000000008,16.495800000000003,16.46680000000001
125 day,17.43152,17.41256,17.442000000000004
15 min,11.3206,25.42693333333333,21.265266666666662
150 day,18.058200000000003,18.025533333333332,18.03273333333334
175 day,18.684971428571426,18.640514285714286,18.637885714285716
2 day,11.39,18.355,21.905
2 hr,11.268583333333329,25.291241666666675,21.095933333333328
2.5 hr,11.259466666666665,25.268220000000007,21.13623999999999
20 day,12.496500000000003,12.916,14.150499999999997
20 min,11.310699999999999,25.450449999999996,21.263349999999996
200 day,19.113550000000004,19.06125,19.048500000000004
25 min,11.300759999999999,25.47616,21.260679999999997
3 hr,11.265972222222214,25.256500000000017,21.214388888888884
3.5 hr,11.290133333333316,25.242633333333345,21.286228571428566
30 day,12.497000000000005,12.911666666666667,13.906333333333333
30 min,11.30613333333333,25.480299999999996,21.266233333333325
4 hr,11.287662499999982,25.26069166666667,21.321433333333328
4.5 hr,11.2645148148148,25.31605185185185,21.35385925925925
40 day,12.941250000000002,13.033749999999998,13.652000000000001
45 min,11.299533333333333,25.51388888888889,21.247488888888874
5 day,11.496,14.244,20.678
5 hr,11.214726666666655,25.37825666666666,21.40565666666665
5 min,11.352,25.579,21.274
5.5 hr,11.196257575757565,25.550566666666654,21.4864121212121
50 day,13.727200000000005,13.783,14.103600000000002
50 min,11.287279999999996,25.4807,21.232219999999987
55 min,11.276618181818177,25.442818181818176,21.21694545454544
6 hr,11.139061111111102,25.722199999999976,21.581766666666645
6.5 hr,11.069256410256404,25.936274358974334,21.61855128205127
60 day,14.287833333333337,14.343166666666667,14.584000000000003
70 day,14.705571428571433,14.722857142857142,14.933428571428573
80 day,15.24637500000001,15.218500000000002,15.350250000000006
90 day,15.889666666666676,15.82866666666667,15.859111111111117
Tomorrow,11.11,22.87,20.99
