,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-16,2019-01-22,2019-01-23,2019-01-24,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-04,2019-02-05,2019-02-08
1 hr,15.390916666666664,15.068849999999996,15.09868333333333,14.680366666666666,13.951683333333335,14.07973333333333,13.758199999999993,13.277216666666671,12.807449999999994,13.429249999999994,13.464783333333337,14.042733333333327,14.2531,14.934083333333332,15.41548333333334,15.761916666666659,16.133499999999998,15.569216666666676,15.934216666666673,15.764199999999997,15.501383333333324,15.28848333333332,15.416433333333332,15.415916666666662,14.738250000000004,13.403666666666672,13.874783333333335,13.599066666666662,13.56366666666665,13.861850000000006,12.901083333333332
1 min,15.39,15.06,15.1,14.69,14.04,14.06,13.74,13.32,12.69,13.57,13.54,14.1,14.15,15.0,15.38,15.69,16.08,15.55,15.98,15.78,15.47,15.34,15.41,15.46,14.73,13.27,13.87,13.61,13.57,13.84,12.84
1.5 hr,15.38763333333333,15.08348888888889,15.07042222222222,14.678566666666676,13.964988888888893,14.07816666666666,13.827355555555547,13.235388888888888,12.851499999999998,13.406577777777773,13.478188888888893,14.071022222222219,14.29018888888889,14.909522222222211,15.421700000000012,15.755833333333326,16.16402222222223,15.587711111111124,15.960633333333337,15.77243333333333,15.524922222222207,15.266966666666661,15.400722222222225,15.394322222222213,14.733000000000011,13.354922222222225,13.908755555555556,13.58682222222221,13.554844444444425,13.853511111111114,12.906133333333328
10 day,16.458000000000002,16.305,16.098,15.858,15.565000000000003,15.226999999999999,14.958999999999998,14.659,14.363,13.895,13.406999999999996,13.411999999999997,13.422999999999998,13.548999999999998,13.755,14.053999999999998,14.394000000000002,14.591,14.886000000000001,15.550999999999998,15.85,15.816000000000003,15.749,15.637,15.524000000000001,15.247,15.054999999999998,14.831000000000003,14.567999999999998,14.405000000000001,13.831
10 min,15.3767,15.072,15.1375,14.666,14.013499999999999,14.113499999999998,13.743500000000001,13.325,12.7015,13.552499999999998,13.4792,14.0595,14.187000000000001,14.974,15.3703,15.669999999999998,16.0505,15.522300000000001,15.966299999999999,15.7786,15.4595,15.3167,15.425,15.444000000000003,14.709500000000002,13.2833,13.866999999999999,13.622300000000001,13.5688,13.852,12.881499999999999
100 day,17.608500000000006,17.560000000000006,17.508500000000005,17.453700000000005,17.3897,17.324600000000004,17.259100000000004,17.188400000000005,17.111200000000004,16.972600000000003,16.7633,16.702,16.6398,16.5873,16.539499999999997,16.4928,16.4533,16.407799999999998,16.3642,16.224500000000003,16.081300000000002,16.029700000000002,15.984100000000002,15.9482,15.933300000000001,15.906200000000002,15.884500000000001,15.853699999999998,15.8157,15.781799999999999,15.663499999999999
125 day,17.959120000000006,17.928720000000006,17.905520000000003,17.880400000000005,17.84696000000001,17.809360000000012,17.76592000000001,17.714560000000013,17.66568000000001,17.57376000000001,17.437040000000003,17.395680000000002,17.348000000000003,17.304080000000006,17.261760000000006,17.22312,17.192480000000003,17.15952,17.1292,17.036559999999998,16.93392,16.89528,16.855040000000002,16.771519999999995,16.726160000000004,16.669120000000003,16.61992,16.567919999999997,16.514640000000004,16.4632,16.29496
15 min,15.3768,15.072333333333336,15.142666666666665,14.657933333333334,14.003000000000002,14.125666666666664,13.728333333333332,13.331666666666669,12.716733333333334,13.527666666666665,13.477133333333335,14.060666666666666,14.199000000000003,14.972000000000003,15.368866666666666,15.704666666666665,16.063999999999997,15.521866666666666,15.957866666666666,15.779066666666669,15.464333333333334,15.305133333333334,15.415999999999999,15.451,14.711000000000002,13.290733333333332,13.876000000000003,13.6294,13.568866666666663,13.856666666666667,12.886333333333335
150 day,18.186333333333337,18.16293333333334,18.139266666666668,18.1122,18.08013333333334,18.048066666666674,18.01333333333334,17.976400000000005,17.934600000000003,17.857400000000005,17.746000000000002,17.715066666666672,17.681466666666672,17.65906666666667,17.637133333333338,17.61486666666667,17.592800000000004,17.567133333333334,17.5392,17.4356,17.360533333333336,17.343933333333336,17.325200000000006,17.275133333333333,17.241666666666674,17.20486666666667,17.171933333333335,17.136333333333337,17.102800000000002,17.06726666666667,16.942599999999995
175 day,18.273771428571436,18.246800000000004,18.22051428571429,18.194057142857147,18.167657142857152,18.138342857142867,18.109142857142867,18.07634285714287,18.044400000000007,17.982514285714295,17.892000000000007,17.866742857142864,17.841428571428576,17.818571428571435,17.799771428571432,17.779142857142862,17.764628571428577,17.744857142857146,17.72931428571429,17.68497142857143,17.63874285714286,17.61925714285714,17.599600000000002,17.557314285714284,17.533657142857145,17.5012,17.471657142857143,17.441942857142855,17.411942857142858,17.382971428571427,17.286342857142856
