,2018-12-13,2018-12-17,2018-12-19,2018-12-20,2019-01-11,2019-01-14,2019-01-15,2019-01-16,2019-01-18,2019-01-22,2019-01-23,2019-01-24,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-04,2019-02-05,2019-02-07,2019-02-08,2019-02-14
1 hr,0.2728850000000001,0.23977500000000004,0.23788499999999985,0.22062833333333345,0.18603000000000008,0.17856000000000005,0.184135,0.18386833333333333,0.1932916666666667,0.18333999999999992,0.1966466666666666,0.19460000000000002,0.23221166666666673,0.2321633333333333,0.24974166666666664,0.20731833333333335,2.830683333333333,2.9339666666666675,2.7275499999999986,1.9210500000000015,0.9573866666666667,0.9115849999999999
1 min,0.2729,0.2477,0.2378,0.2272,0.1899,0.1783,0.1869,0.185,0.1923,0.1835,0.1951,0.195,0.2355,0.234,0.247,0.2077,2.995,2.92,2.74,1.925,0.9899,0.9172
1.5 hr,0.27297555555555547,0.24189111111111117,0.23810000000000003,0.21857444444444457,0.18579333333333337,0.17883222222222228,0.18187999999999996,0.18421999999999994,0.1935599999999999,0.1834888888888888,0.19626333333333323,0.19484444444444454,0.230978888888889,0.23217888888888896,0.25001444444444443,0.20773777777777785,2.856433333333333,2.9440111111111107,2.721455555555554,1.9310666666666676,0.9708055555555553,0.9112399999999993
10 day,5.736879999999999,5.5693899999999985,5.335539999999999,5.213939999999999,4.7688299999999995,4.6121300000000005,4.49253,4.355930000000001,4.1144,4.001399999999999,3.9235999999999995,3.8394,3.8616000000000006,3.9844,4.1046000000000005,4.15,4.0889999999999995,3.9944,3.9034,3.5602000000000005,3.2671900000000003,1.7801300000000002
10 min,0.27284,0.2476,0.23712999999999998,0.22654000000000005,0.18933000000000003,0.17855,0.18696000000000002,0.18420999999999998,0.19280999999999998,0.18333000000000002,0.19562,0.19451999999999997,0.23684,0.23313000000000006,0.24739,0.20698,2.9365000000000006,2.9229000000000007,2.7318000000000007,1.9091999999999998,0.96983,0.9135900000000001
100 day,5.047937000000002,5.042288000000002,5.036976000000002,5.0338160000000025,4.972658999999999,4.962439,4.955639,4.947278999999999,4.933358999999999,4.926119,4.9217189999999995,4.914339000000001,4.915493000000001,4.922613000000001,4.931993,4.935093,4.926993,4.919093000000001,4.911593000000001,4.888413000000001,4.866912000000002,4.788146000000001
125 day,5.451931199999999,5.4031720000000005,5.3575904,5.3355424000000005,5.0329552,5.013131200000001,4.9955152,4.9782512,4.9472592,4.933243200000001,4.9220112,4.908731200000001,4.895535200000001,4.895055200000002,4.892815200000001,4.883472000000001,4.8673920000000015,4.851360000000002,4.8331680000000015,4.7870560000000015,4.754111200000002,4.6140256000000015
15 min,0.27286,0.24572666666666662,0.23735999999999993,0.22523333333333337,0.1883666666666667,0.17841999999999997,0.18686666666666668,0.18400666666666662,0.19260000000000002,0.18324,0.19560666666666662,0.1944066666666667,0.23741333333333334,0.23257333333333335,0.24818,0.20638666666666663,2.8990000000000005,2.9228000000000005,2.732533333333334,1.9092,0.9672933333333334,0.9125733333333333
150 day,6.218315999999998,6.112456666666666,6.011031999999998,5.9584986666666655,5.475007333333331,5.436820666666665,5.405060666666665,5.372927333333331,5.316620666666665,5.289020666666667,5.259100666666666,5.231727333333334,5.1862873333333335,5.169620666666667,5.153220666666667,5.132020666666668,5.1026206666666685,5.047207333333335,5.012380666666668,4.942500666666668,4.902740000000002,4.748684666666668
175 day,7.403596571428573,7.27151142857143,7.140976,7.076656,6.284897714285714,6.234223428571427,6.183834857142856,6.132303428571426,6.026006285714284,5.969194857142855,5.918749142857141,5.864177714285713,5.770851999999999,5.7272862857142846,5.68612057142857,5.6435377142857135,5.599457714285714,5.554943428571429,5.510371999999999,5.432920571428571,5.386337142857142,5.200356571428571
