,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-11,2019-01-14,2019-01-16,2019-01-17,2019-01-18,2019-01-23,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-04,2019-02-05,2019-02-06,2019-02-07,2019-02-08,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15
1 hr,266.29913333333326,276.51460000000003,276.15008333333327,268.18916666666667,262.85551666666674,270.12595,267.35045,260.74705000000006,245.60108333333338,248.98415000000003,266.76403333333343,267.19483333333324,272.05230000000006,295.6626500000001,315.4705833333334,319.3453166666667,338.4643,333.6234166666667,351.65226666666666,352.6703,339.3125166666667,320.7708166666667,326.80711666666656,338.10331666666673,335.1505166666667,329.13038333333327,340.08743333333337,340.1284499999999,339.61869999999993,350.81206666666674,358.01206666666656,351.89306666666664,343.54470000000003,346.9662333333334,345.9578,358.45043333333336,352.9131833333332,359.64381666666657,356.22595
1 min,265.45,274.88,276.12,266.71,263.02,270.95,266.56,260.71,246.39,253.54,267.62,267.82,271.24,297.62,315.301,320.25,337.59,332.92,351.26,353.378,339.03,322.1,326.74,338.04,335.73,328.975,340.63,339.59,339.84,351.34,355.81,352.21,344.71,347.71,345.74,359.98,352.01,359.118,356.88
1.5 hr,266.1231555555555,276.6488222222221,275.75512222222216,268.9952888888889,263.33776666666677,270.3215111111111,269.19162222222224,260.2170777777778,246.10813333333329,247.60613333333336,266.95386666666667,267.68458888888875,272.633288888889,295.91156666666666,314.5498555555556,319.34593333333333,338.33581111111107,333.5550111111111,352.36067777777777,352.9401111111111,339.30499999999995,320.51405555555544,326.9983888888888,338.01342222222223,334.5821555555556,329.09978888888884,339.76893333333334,340.5713444444444,340.34106666666656,350.47244444444453,357.7442666666666,351.39311111111107,343.7478555555557,346.9186777777779,345.9130666666667,358.11523333333326,353.81971111111096,359.2795444444443,356.29333333333335
10 day,277.283,278.108,277.44500000000005,275.254,272.921,270.985,270.129,267.899,266.024,261.277,257.4335,257.9195,257.9455,261.0255,266.50149999999996,273.8895,297.7989999999999,305.48499999999996,322.556,330.755,334.908,336.062,336.733,338.072,337.879,337.475,336.077,334.88800000000003,333.554,334.77799999999996,337.843,340.863,342.66700000000003,343.61899999999997,344.626,347.733,348.844,350.801,352.50300000000004
10 min,265.5996,275.73609999999996,276.10659999999996,266.6459,262.30219999999997,272.26120000000003,267.7939,259.63890000000004,245.6911,252.7108,266.1611,267.7424,272.2039,296.7463,316.1096,320.0388,338.08299999999997,332.8258,351.04449999999997,353.52340000000004,338.84520000000003,322.07980000000003,326.7864,337.84000000000003,335.0523999999999,328.80980000000005,340.6175,339.56280000000004,339.3238,350.89300000000003,355.9445,352.41769999999997,343.87610000000006,346.94360000000006,346.08450000000005,359.4668,351.10630000000003,359.7223,356.33700000000005
100 day,331.49890000000005,330.6372,329.7708,328.86600000000004,327.8653,326.94380000000007,326.05940000000004,325.3156000000001,324.40500000000003,322.4517,319.78635,318.98685,318.20525,317.72225,317.46254999999996,317.29035,317.45625,317.50835,317.74405,317.88425,317.68705,316.82784999999996,316.41414999999995,316.08484999999996,315.76464999999996,315.41765,315.4124499999999,315.34284999999994,315.2545499999999,315.28385,315.28264999999993,315.10504999999995,314.87064999999996,314.7007499999999,314.65455,314.5777499999999,314.42584999999997,314.36294999999996,314.31975
125 day,344.8938400000002,343.94992000000013,343.0222400000002,342.0337600000002,340.8963200000001,339.7297600000001,338.54040000000015,337.3363200000001,336.23160000000007,333.81376000000006,330.56796,329.58508000000006,328.56756,327.68212,326.85308000000003,326.0902000000001,324.12428000000006,323.58396,323.19532,323.1069999999999,322.9313999999999,322.34875999999997,322.0591599999999,321.85883999999993,321.70243999999997,321.6539599999999,321.6796399999999,321.6885999999999,321.65139999999997,321.71739999999994,321.75652,321.7594,321.7362,321.72188,321.72076,321.87003999999996,321.98428,322.24564000000004,322.52108
15 min,265.7538,275.9886666666667,276.2017333333333,266.29466666666667,262.2458666666667,272.28180000000003,267.60766666666666,260.0806,245.43886666666666,252.07053333333337,266.3145333333333,267.5331333333333,272.31066666666663,296.5573333333333,316.10600000000005,319.9691333333333,338.0561333333333,333.0551333333333,350.99973333333327,353.37160000000006,339.11426666666665,322.05486666666667,326.7588666666667,337.7804,335.1643333333333,328.8418666666667,340.51013333333333,339.515,339.2669333333333,350.83700000000005,356.4223333333333,352.59813333333324,343.7138666666667,346.89106666666675,346.1623333333334,359.3038,351.1385333333334,359.7222,356.34833333333336
150 day,345.17413333333354,344.80466666666683,344.44746666666686,344.05000000000024,343.61180000000024,343.2438666666669,342.83440000000024,342.4034666666669,341.8848666666669,340.71226666666684,338.9389666666668,338.39183333333347,337.84290000000004,337.4827,337.1854333333334,336.9085000000001,336.1589000000001,335.97470000000004,335.84636666666677,335.6681000000001,335.30963333333335,334.40810000000005,333.8860333333334,333.36129999999997,332.8294333333333,332.2815,331.9893666666666,331.59009999999995,331.25316666666663,330.9593,330.72183333333334,330.41523333333333,330.10983333333337,329.7710333333334,329.3542333333334,328.96090000000004,328.5351666666667,328.1379666666667,327.76043333333337
175 day,340.46022857142873,340.3798857142859,340.27731428571445,340.15154285714306,339.99651428571445,339.8414857142859,339.63062857142876,339.35251428571445,338.9796000000002,338.08651428571443,336.8540285714287,336.56242857142877,336.357742857143,336.310942857143,336.3187142857144,336.367342857143,336.61357142857156,336.73500000000007,337.0760285714287,337.2263142857144,337.2766000000001,337.2256857142859,337.2150571428573,337.28317142857156,337.3258571428573,337.3468857142858,337.44105714285723,337.4849428571429,337.5319714285715,337.56980000000004,337.60705714285723,337.6122000000001,337.58351428571433,337.54940000000005,337.5158571428572,337.5160857142858,337.4587142857144,337.4202571428572,337.35980000000006
