,2018-12-20,2019-01-03
1 hr,90.72106666666667,79.91238333333334
1 min,90.73,79.31
1.5 hr,90.57416666666667,79.93575555555556
10 day,94.98329,88.96900000000001
10 min,90.59,79.18589999999999
100 day,108.60132300000005,107.57615000000004
125 day,105.20203440000002,105.50305680000002
15 min,90.596,79.23306666666664
150 day,103.69515466666668,103.178364
175 day,102.47543200000004,102.13030114285716
2 day,91.80000000000001,85.235
2 hr,90.24108333333335,80.24281666666667
2.5 hr,90.29818000000004,80.47657333333333
20 day,93.31281500000001,92.307265
20 min,90.6865,79.32729999999997
200 day,103.39952600000002,101.97018200000002
25 min,90.77,79.44163999999996
3 hr,90.32092777777784,80.62001111111111
3.5 hr,90.33822380952388,80.78549523809522
30 day,92.57010333333332,91.54329333333332
30 min,90.77263333333333,79.53836666666665
4 hr,90.34555833333341,80.97829999999999
4.5 hr,90.42450000000004,81.24410000000002
40 day,96.22775750000001,92.01577499999999
45 min,90.80240000000002,79.80195555555552
5 day,93.97200000000001,89.48999999999998
5 hr,90.63596333333335,81.50666333333332
5 min,90.68,79.4118
5.5 hr,90.88521212121213,81.678996969697
50 day,99.62680400000004,95.53146799999999
50 min,90.77498000000001,79.87735999999998
55 min,90.74534545454544,79.89903636363637
6 hr,91.18108611111109,81.78604722222225
6.5 hr,91.41319230769223,82.06050256410256
60 day,102.83141833333336,98.67726666666667
70 day,105.35114285714288,101.70321000000001
80 day,107.80875000000003,104.19548125000001
90 day,109.10368111111114,106.42019222222223
Tomorrow,86.11,83.07
