,2018-12-12,2018-12-13,2018-12-17,2018-12-18,2018-12-20,2018-12-21,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-10,2019-01-11,2019-01-16,2019-01-18,2019-01-24,2019-01-28,2019-01-30,2019-01-31,2019-02-15
1 hr,23.137900000000005,22.232750000000006,22.141999999999996,21.761433333333336,21.58938333333334,21.77846666666668,22.60746666666666,23.029133333333338,23.702650000000002,24.42638333333335,25.188599999999997,25.15701666666666,26.23825,26.439133333333327,27.48503333333333,31.68915,31.855166666666683,32.139649999999996,31.567950000000007,30.274499999999996,32.94598333333333
1 min,23.03,22.28,22.15,21.83,21.64,21.67,22.83,23.19,23.65,24.46,24.98,25.37,26.19,26.35,27.45,32.07,31.8,32.125,31.59,30.34,32.91
1.5 hr,23.13766666666667,22.239111111111114,22.162555555555556,21.71832222222222,21.54193333333335,21.830944444444462,22.565700000000003,23.076966666666674,23.763766666666672,24.43891111111112,25.197877777777784,25.138255555555553,26.24149999999999,26.4876111111111,27.49654444444445,31.582888888888895,31.81507777777779,32.08849999999999,31.581455555555557,30.297011111111104,32.985966666666684
10 day,24.632759999999998,24.18949,23.21569,22.72085,22.154609999999998,21.944379999999995,21.82339,21.928500000000003,22.10799,22.43226,22.76347,23.12939,23.953459999999996,24.34715,25.57941,26.774549999999998,28.716159999999995,29.881999999999998,30.936,31.225,31.831
10 min,23.0375,22.244,22.14,21.874,21.593500000000002,21.6505,22.7035,23.128999999999998,23.692500000000003,24.455,25.005499999999998,25.288999999999998,26.202500000000004,26.368000000000002,27.457099999999997,32.086,31.817499999999995,32.085,31.5315,30.301499999999997,32.907500000000006
100 day,34.120442,33.925116,33.556529,33.37025200000001,32.991044,32.802588,31.887900999999996,31.714517999999998,31.547077999999996,31.38836,31.245153999999992,31.102263999999995,30.830956999999998,30.690194,30.277637000000006,30.072078,29.820715000000003,29.662468000000004,29.497769,29.404626000000004,28.617069000000004
125 day,36.1786896,35.980351199999994,35.5777472,35.3763896,34.973452,34.7819792,33.884644800000004,33.7130072,33.54541199999999,33.38157119999999,33.21203679999999,33.050151199999995,32.767939199999994,32.6517784,32.2885184,32.1007968,31.883296,31.748493600000003,31.6130256,31.5307792,30.807005600000004
15 min,23.042733333333334,22.240000000000002,22.128,21.84733333333333,21.610666666666667,21.646866666666664,22.701666666666664,23.104,23.712333333333333,24.457,25.030999999999995,25.268666666666665,26.19586666666667,26.373666666666665,27.453599999999994,32.03766666666666,31.82479999999999,32.08133333333333,31.513666666666666,30.2894,32.925
150 day,38.09710666666666,37.92815866666666,37.588662,37.41516933333334,37.05732733333334,36.88323400000001,36.03170066666668,35.87603533333335,35.71797800000001,35.568482666666675,35.42098533333334,35.27239933333334,34.97800066666668,34.82758266666668,34.39475733333336,34.15261066666668,33.84651666666669,33.64852733333334,33.460778666666684,33.36061600000001,32.42514933333332
175 day,39.257159428571434,39.11198171428572,38.84125714285715,38.70291714285715,38.419340571428584,38.28201314285715,37.61003142857144,37.4755942857143,37.34264114285715,37.215512571428576,37.09037657142858,36.966047428571436,36.73396057142858,36.618272571428584,36.284424000000016,36.08640800000001,35.817476571428585,35.63503485714287,35.45059714285716,35.35071600000002,34.368457714285725
2 day,22.535400000000003,22.466,21.8611,21.80655,21.23635,21.47435,22.5205,22.82295,23.22955,23.854300000000002,24.51375,24.96,25.82275,26.055799999999998,26.994999999999997,29.830000000000002,31.695,31.885,31.73,30.965,32.364999999999995
2 hr,23.142616666666658,22.244508333333332,22.157733333333333,21.720099999999988,21.50112500000001,21.874708333333356,22.560725000000005,23.11161666666667,23.789383333333337,24.41886666666668,25.213574999999995,25.141224999999995,26.21986666666665,26.519458333333333,27.491366666666654,31.582191666666674,31.800750000000008,32.06906666666665,31.59984166666667,30.311891666666664,32.986691666666665
2.5 hr,23.15234666666666,22.292853333333333,22.15645999999999,21.730519999999984,21.512400000000014,21.931853333333347,22.575606666666676,23.11663333333334,23.808126666666666,24.427193333333324,25.207520000000002,25.14828666666665,26.14849333333332,26.520886666666662,27.501193333333333,31.62636000000001,31.77406000000001,32.04458666666665,31.603706666666675,30.298899999999993,32.98015333333332
20 day,25.469224999999998,25.266924999999997,24.867784999999998,24.638714999999998,24.117105,23.874149999999993,22.76547,22.572094999999997,22.41442,22.4283,22.459040000000005,22.536885000000005,22.860665,23.026270000000004,23.753954999999998,24.603405,26.154324999999993,27.11457499999999,28.035525,28.402205,31.682999999999993
20 min,23.056549999999998,22.2425,22.136000000000003,21.81115,21.641000000000002,21.647650000000002,22.710749999999997,23.07525,23.7111,24.454000000000004,25.052999999999994,25.259949999999996,26.20625,26.370749999999997,27.457699999999996,32.00615,31.826099999999997,32.09734999999999,31.500400000000003,30.276050000000005,32.9333
200 day,40.488810000000015,40.35537500000001,40.07732650000001,39.93027050000001,39.62392600000001,39.474755500000015,38.75093300000002,38.61184200000002,38.47957800000002,38.35299250000001,38.22849650000001,38.122751000000015,37.918443500000016,37.81951500000002,37.52445750000002,37.35279150000002,37.13489550000002,36.99839700000002,36.85360850000002,36.77794650000002,35.98111550000001
25 min,23.072239999999997,22.239600000000006,22.143599999999996,21.785320000000002,21.652760000000004,21.645880000000002,22.703919999999993,23.056600000000003,23.704,24.448800000000006,25.077599999999997,25.25636,26.209000000000007,26.371199999999998,27.464559999999995,31.960839999999994,31.827080000000006,32.126479999999994,31.50288,30.270640000000004,32.92943999999999
3 hr,23.161099999999994,22.334905555555558,22.166166666666655,21.769144444444436,21.511683333333355,21.952794444444464,22.58853888888889,23.11925,23.82060555555555,24.448233333333327,25.197705555555554,25.147349999999975,26.125144444444434,26.51865000000001,27.497911111111105,31.644888888888904,31.782522222222223,31.991266666666657,31.611183333333333,30.28617222222221,32.96116666666666
3.5 hr,23.14789523809523,22.382642857142855,22.184361904761904,21.813123809523816,21.514757142857164,21.97707619047621,22.590047619047635,23.106995238095248,23.835223809523793,24.4546619047619,25.175709523809527,25.142004761904747,26.142157142857133,26.52296666666667,27.49504285714284,31.654685714285726,31.81112857142856,31.953061904761896,31.617047619047614,30.28124761904761,32.94629523809523
30 day,25.907366666666658,25.772169999999996,25.419143333333327,25.227093333333325,24.832746666666658,24.65193333333332,23.99181666666666,23.88802333333333,23.79514,23.720103333333334,23.665893333333333,23.62589666666667,23.57730333333333,23.561766666666667,23.574533333333328,23.877049999999993,24.68820666666666,25.311513333333327,25.964813333333336,26.244303333333335,29.78671333333333
30 min,23.08886666666666,22.241233333333337,22.14583333333333,21.77026666666667,21.64563333333334,21.670399999999997,22.700099999999996,23.037833333333342,23.701633333333337,24.444933333333335,25.096366666666665,25.244466666666668,26.214166666666674,26.37433333333333,27.470466666666663,31.904533333333333,31.832566666666672,32.14106666666667,31.505733333333332,30.270533333333333,32.923199999999994
