,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-08,2019-01-09,2019-01-11,2019-01-17,2019-01-18,2019-01-22,2019-01-24,2019-01-28,2019-01-30,2019-01-31,2019-02-05
1 hr,34.872333333333344,34.791616666666656,34.64573333333335,34.57621666666667,34.33293333333333,33.965983333333334,33.97248333333334,33.68208333333335,33.60279999999997,33.61996666666665,34.190083333333355,34.52665000000001,35.16301666666668,35.121850000000016,35.31036666666668,35.422416666666685,35.50818333333333,35.438200000000016,35.67445,35.78073333333332,36.09509999999998,36.180050000000016,35.875216666666674
1 min,34.815,34.753,34.66,34.57,34.36,34.02,33.97,33.78,33.63,33.625,34.225,34.54,35.15,35.11,35.35,35.44,35.515,35.44,35.68,35.79,36.1,36.16,35.86
1.5 hr,34.89619999999998,34.800788888888874,34.639277777777785,34.576122222222224,34.33273333333334,33.94965555555559,33.99345555555558,33.66212222222224,33.6087222222222,33.60988888888887,34.183800000000026,34.533977777777785,35.15402222222223,35.1282777777778,35.29070000000001,35.41490000000002,35.50397777777774,35.44060000000001,35.66406666666667,35.7813,36.08769999999999,36.17954444444444,35.88004444444446
10 day,34.511129999999994,34.47228,34.41961,34.3669,34.30132,34.22692000000001,34.162369999999996,34.09371,34.007169999999995,33.80725000000001,33.659870000000005,33.704420000000006,34.15331,34.322520000000004,34.65993,35.07498,35.12674,35.16058,35.24617,35.343709999999994,35.46612999999999,35.54875,35.71955
10 min,34.814800000000005,34.7669,34.657999999999994,34.5735,34.343,34.0195,33.967600000000004,33.734,33.6208,33.64379999999999,34.2044,34.526799999999994,35.167500000000004,35.103,35.31570000000001,35.4317,35.5275,35.4405,35.668800000000005,35.78399999999999,36.094,36.168,35.868700000000004
100 day,35.76219600000001,35.740782,35.718863,35.695959,35.670499,35.64421600000001,35.618885000000006,35.59185300000001,35.563235000000006,35.50495200000001,35.425528000000014,35.40581400000001,35.347074,35.333614000000004,35.307655,35.25377,35.240502,35.22653699999999,35.19926099999999,35.17587199999999,35.16219899999998,35.15852299999999,35.14630299999999
125 day,35.8740088,35.859986400000004,35.8447888,35.829188,35.811698400000004,35.7938576,35.7757728,35.7556336,35.73468800000001,35.690585600000006,35.6294376,35.6120928,35.5516016,35.538328799999995,35.516273599999984,35.480813600000005,35.4717288,35.46247279999999,35.445652,35.43294639999999,35.42465519999999,35.42248079999999,35.41056639999999
15 min,34.81453333333334,34.7712,34.66446666666666,34.57413333333333,34.344666666666676,34.010000000000005,33.967733333333335,33.73233333333334,33.61753333333334,33.63993333333333,34.20473333333334,34.5208,35.17273333333333,35.10633333333333,35.321733333333334,35.43053333333333,35.53353333333334,35.4534,35.66733333333334,35.78459999999999,36.09753333333334,36.17373333333333,35.86686666666667
150 day,35.833512,35.826649333333336,35.81874533333334,35.81005733333333,35.79986066666666,35.79019866666666,35.780013999999994,35.76856533333333,35.75599666666667,35.72965733333333,35.69459200000001,35.68653666666667,35.662015999999994,35.655281333333335,35.64336733333332,35.620887999999994,35.615908,35.61014266666666,35.60079266666666,35.59467599999999,35.59062933333332,35.589707999999995,35.58336733333332
175 day,35.772297142857155,35.76641771428573,35.759484000000015,35.752260000000014,35.74368914285715,35.73426628571429,35.72455942857143,35.713986857142864,35.70305371428572,35.678904,35.64854228571429,35.64246285714285,35.63117714285714,35.628935428571424,35.626494857142845,35.62233657142857,35.622201714285715,35.62134057142857,35.62077542857142,35.62418228571428,35.6294737142857,35.63325657142856,35.64061257142856
2 day,34.35765000000001,34.35765000000001,34.2786,34.18475,34.0415,33.8967,33.82585,33.70145,33.532250000000005,33.358050000000006,33.90545,34.22895,34.9705,34.980450000000005,35.124750000000006,35.214299999999994,35.29895,35.29895,35.4084,35.612449999999995,35.796549999999996,35.9608,35.86
2 hr,34.90863333333331,34.81068333333333,34.64061666666668,34.583083333333335,34.32723333333334,33.94298333333335,34.00042500000002,33.641908333333355,33.621158333333305,33.60170833333332,34.17970833333335,34.53170833333335,35.14377500000001,35.13380000000002,35.27340833333333,35.40176666666667,35.50409999999999,35.44360833333334,35.64465833333333,35.777716666666684,36.08115,36.17849166666668,35.890866666666696
2.5 hr,34.910833333333315,34.82321999999999,34.64536666666667,34.58872666666664,34.33133333333334,33.94042666666669,34.01490666666669,33.63700666666667,33.62591333333331,33.59647999999997,34.177780000000006,34.527580000000036,35.1336266666667,35.13646666666668,35.257633333333295,35.39563333333332,35.50387333333333,35.44905333333337,35.62042666666669,35.782073333333365,36.06647333333337,36.18097999999998,35.89956000000006
20 day,34.76724,34.716345000000004,34.661985,34.607605,34.55023,34.484320000000004,34.426249999999996,34.371995,34.301429999999996,34.15919000000001,34.01338500000001,34.00287,34.080239999999996,34.11112,34.18783,34.41956,34.496199999999995,34.57931,34.784344999999995,35.001819999999995,35.190929999999994,35.271055000000004,35.440065
20 min,34.81340000000001,34.7784,34.66134999999999,34.57365000000001,34.343350000000015,34.0039,33.96630000000001,33.72850000000001,33.60915,33.63695,34.206,34.5161,35.17254999999999,35.10875,35.32425000000001,35.431,35.52365,35.453550000000014,35.66985,35.78434999999999,36.100100000000005,36.179800000000014,35.8685
200 day,35.74119850000001,35.73608700000001,35.73024550000001,35.72413800000001,35.717279000000005,35.709249500000006,35.700545000000005,35.69056100000001,35.67978550000001,35.657568500000004,35.62890100000001,35.62237450000001,35.606757,35.60415450000001,35.6008835,35.59517050000001,35.59505500000001,35.5941625,35.594011,35.5951385,35.598963999999995,35.60170449999999,35.606821499999995
25 min,34.81544000000001,34.780919999999995,34.65851999999999,34.57380000000001,34.341000000000015,34.0006,33.96624000000001,33.72384000000001,33.600880000000004,33.63536,34.20356000000001,34.517599999999995,35.17327999999999,35.110200000000006,35.32304000000001,35.432399999999994,35.51932,35.45,35.67087999999999,35.78459999999998,36.101800000000004,36.18224000000001,35.8694
3 hr,34.90921666666667,34.82764444444444,34.651905555555544,34.59020000000002,34.33705000000002,33.942888888888895,34.02066111111113,33.64300555555556,33.62427777777776,33.59079999999999,34.174261111111136,34.52133333333335,35.11945555555559,35.13931666666664,35.24714444444437,35.39266111111111,35.503916666666676,35.4505388888889,35.60583333333335,35.772488888888894,36.057422222222286,36.18158333333332,35.903300000000065
3.5 hr,34.90128095238096,34.83073809523809,34.65972857142856,34.590547619047655,34.34786190476193,33.94722380952383,34.02641428571431,33.65932857142858,33.6218095238095,33.589542857142845,34.16763809523812,34.50390476190477,35.10782857142859,35.140485714285695,35.241738095238034,35.39155714285714,35.501028571428535,35.45222857142857,35.59745714285716,35.76300476190476,36.05163333333342,36.18342380952378,35.90562380952387
30 day,34.97918,34.94414666666667,34.90647333333333,34.86486,34.815463333333334,34.76726,34.7174,34.65762666666667,34.590586666666674,34.44724333333333,34.29169333333334,34.26829333333333,34.25205666666667,34.257396666666665,34.28264666666666,34.355346666666655,34.384923333333326,34.41744333333334,34.48947,34.57312333333333,34.68057666666666,34.74884333333333,34.95939
30 min,34.82283333333335,34.783033333333314,34.65639999999999,34.57390000000001,34.33730000000001,33.99353333333333,33.96636666666669,33.71686666666667,33.601066666666675,33.63113333333333,34.20063333333334,34.51853333333333,35.17356666666665,35.11133333333334,35.32026666666668,35.43853333333333,35.51599999999999,35.449,35.66849999999999,35.78446666666665,36.1012,36.182900000000004,35.870099999999994
4 hr,34.888166666666685,34.833795833333326,34.665629166666655,34.58995833333337,34.36446666666668,33.952249999999985,34.0281541666667,33.67448750000001,33.619883333333306,33.59287499999998,34.15990416666669,34.486595833333325,35.099925000000006,35.14107083333332,35.238587499999944,35.39000833333333,35.5011458333333,35.45300833333332,35.59402916666668,35.75454583333332,36.04863750000011,36.1845,35.90838750000007
4.5 hr,34.8760518518519,34.83882592592594,34.670637037036975,34.59132592592599,34.37864814814815,33.953066666666665,34.02537407407411,33.691914814814815,33.62289259259257,33.588629629629615,34.150318518518525,34.47449999999997,35.09067037037039,35.144088888888874,35.238822222222154,35.381800000000034,35.50150740740738,35.456462962962924,35.5928037037037,35.75078148148145,36.04547407407421,36.187348148148125,35.91108518518525
40 day,35.0686025,35.047715,35.022642499999996,34.994857499999995,34.960175,34.920010000000005,34.8778675,34.83344000000001,34.78871250000001,34.686197500000006,34.56361250000001,34.53770250000001,34.4812675,34.467325,34.45208749999999,34.45193999999999,34.461225,34.4756525,34.50459,34.547912499999995,34.6021575,34.6369625,34.74297
45 min,34.85106666666668,34.7847111111111,34.6494,34.573822222222226,34.33253333333334,33.977866666666664,33.973600000000005,33.6984888888889,33.6018222222222,33.62566666666665,34.19260000000002,34.52164444444445,35.17077777777778,35.11573333333334,35.316622222222236,35.4298888888889,35.51233333333334,35.442733333333344,35.670311111111104,35.78553333333332,36.09813333333331,36.18053333333335,35.87153333333333
5 day,34.35566,34.33196,34.320100000000004,34.282560000000004,34.2055,34.09818,33.992779999999996,33.86732,33.73178,33.51632000000001,33.58796,33.8149,34.71866,34.83014000000001,35.02722000000001,35.19838,35.226259999999996,35.24418,35.33575999999999,35.46115999999999,35.664199999999994,35.761739999999996,35.89832
5 hr,34.86809666666671,34.84675666666667,34.67415333333327,34.59361666666675,34.39277333333337,33.954026666666635,34.02379000000005,33.71186000000001,33.623873333333314,33.58195000000002,34.14341666666667,34.463046666666635,35.08626666666668,35.14451333333333,35.24188666666663,35.37206000000001,35.5017533333333,35.45906333333328,35.58701333333335,35.749546666666625,36.04172000000014,36.189703333333306,35.913210000000085
5 min,34.8148,34.760799999999996,34.659,34.573,34.344,34.02,33.9666,33.741,33.629599999999996,33.6416,34.21,34.533,35.162,35.0984,35.3214,35.4308,35.526,35.428,35.6706,35.7872,36.09499999999999,36.158,35.871
5.5 hr,34.86399696969699,34.8540181818182,34.677806060605995,34.59618181818188,34.404027272727326,33.95975151515151,34.024330303030354,33.728757575757555,33.628112121212105,33.57699696969701,34.13815454545453,34.444369696969666,35.08598181818184,35.14249090909092,35.24207272727269,35.36093030303032,35.50285454545452,35.46399696969693,35.57958181818184,35.748909090909066,36.032796969697095,36.193499999999965,35.91633030303038
50 day,35.13909400000001,35.107304000000006,35.075496,35.04661,35.019452,34.99045400000001,34.959286000000006,34.92198200000001,34.887376,34.816332,34.72786000000001,34.70902400000001,34.661632000000004,34.651202000000005,34.641619999999996,34.62817999999999,34.62892,34.62629999999999,34.623093999999995,34.63041199999999,34.65138799999999,34.669397999999994,34.72443200000001
50 min,34.86064000000001,34.78633999999999,34.647960000000005,34.5744,34.33358,33.9745,33.97496,33.693120000000015,33.601119999999966,33.62421999999998,34.191360000000024,34.52318,35.16824000000001,35.11708000000001,35.31614000000001,35.427120000000016,35.51056,35.44024000000001,35.67228,35.78427999999999,36.09707999999998,36.18068000000002,35.87314000000001
55 min,34.866672727272736,34.78939999999999,34.646890909090914,34.575399999999995,34.33307272727272,33.97105454545454,33.97332727272728,33.68767272727275,33.60232727272724,33.6222727272727,34.19078181818184,34.525163636363644,35.16540000000002,35.11903636363638,35.31449090909092,35.42530909090911,35.50945454545454,35.43863636363638,35.673927272727276,35.78207272727272,36.09598181818179,36.179872727272745,35.87420000000001
