,2018-12-14,2018-12-17,2018-12-18,2018-12-20,2019-01-03,2019-01-15
1 hr,45.63896666666668,46.03864999999998,45.90451666666668,44.445249999999994,43.16463333333335,51.79431666666668
1 min,45.685,46.0,45.59,44.44,43.02,52.03
1.5 hr,45.69253333333336,46.12013333333332,45.962444444444465,44.442888888888874,43.18243333333333,51.68965555555557
10 day,51.54238,50.46011,49.36388,47.5023,44.2382,48.51299999999999
10 min,45.635,45.948,45.824,44.423500000000004,43.08299999999999,51.96
100 day,57.02541499999998,57.01059499999999,57.00123399999998,56.96010799999999,56.513301999999996,56.263212999999986
125 day,55.437233599999985,55.370656799999985,55.31910479999998,55.20682639999998,54.94848319999999,55.02901599999999
15 min,45.5914,45.92633333333334,45.891,44.437000000000005,43.126999999999995,51.951666666666675
150 day,53.62914933333332,53.66559933333331,53.70336866666665,53.766091999999986,53.96717799999999,54.245588666666656
175 day,51.94049199999999,51.96378114285712,51.981099428571405,52.01793257142856,52.10831314285713,52.471197142857136
2 day,45.767250000000004,45.6676,45.637699999999995,44.696,43.24,51.405
2 hr,45.77163333333336,46.17325833333332,45.996766666666645,44.41439166666667,43.18940833333331,51.74178333333335
2.5 hr,45.81542000000003,46.19974,45.993453333333306,44.46159999999999,43.18392666666664,51.82299333333332
20 day,54.881874999999994,54.20321,53.528535,52.20160500000001,46.80104000000001,46.61537
20 min,45.58704999999999,45.92425,45.92125,44.48775,43.15325,51.930150000000005
200 day,50.80965749999999,50.81169249999999,50.81113749999999,50.80081499999999,50.80831549999999,51.126137500000006
25 min,45.594840000000005,45.9374,45.932599999999994,44.532599999999995,43.1596,51.88372000000001
3 hr,45.817694444444484,46.22005555555556,46.03257222222221,44.489599999999996,43.175255555555545,51.856611111111114
3.5 hr,45.814985714285726,46.24906666666665,46.055190476190475,44.563547619047625,43.1770095238095,51.93338095238094
30 day,56.382709999999996,55.92063333333333,55.41703333333332,54.42146666666667,50.43175666666666,48.257706666666664
30 min,45.61170000000001,45.95233333333333,45.952499999999986,44.540499999999994,43.16210000000001,51.846266666666686
4 hr,45.808874999999986,46.275241666666666,46.06603333333335,44.63885833333334,43.19340833333333,52.036308333333324
4.5 hr,45.83107037037036,46.26831111111112,46.08056666666667,44.6840037037037,43.223862962962954,52.07447777777777
40 day,56.7041025,56.35779500000001,56.0635575,55.40208750000001,52.622325000000004,50.74862249999999
45 min,45.61984444444445,46.00977777777777,45.93013333333334,44.52266666666666,43.15962222222224,51.80864444444445
5 day,48.309520000000006,47.01598,45.9317,45.232119999999995,44.07600000000001,51.092
5 hr,45.868676666666666,46.25240666666666,46.09184666666666,44.7328,43.224123333333324,52.10802333333333
5 min,45.694,45.948,45.704,44.421,43.059999999999995,52.028999999999996
5.5 hr,45.884357575757555,46.2131515151515,46.13000303030301,44.7722,43.21279393939393,52.130284848484834
50 day,57.80401199999999,57.436876000000005,57.074126,56.314544,53.698486,52.475773999999994
50 min,45.63036000000002,46.027199999999986,45.924620000000004,44.5023,43.15776000000002,51.80097999999999
55 min,45.63196363636366,46.03361818181816,45.91229090909093,44.46881818181818,43.157600000000016,51.79780000000001
6 hr,45.89771944444445,46.13375833333332,46.17207222222222,44.80389166666667,43.20625555555554,52.187486111111106
6.5 hr,45.89733333333334,46.043569230769215,46.230512820512864,44.831761538461535,43.220812820512826,52.27389743589743
60 day,58.898338333333314,58.59857666666666,58.308408333333325,57.66562333333332,54.93480499999999,53.34119166666666
70 day,58.94181857142855,58.77350571428569,58.60375857142855,58.25796714285712,56.29837857142856,54.60725714285714
80 day,58.67517374999998,58.56108124999997,58.44386999999997,58.12999249999998,56.808063749999995,55.827596249999985
90 day,57.98205999999999,57.93289555555554,57.8772022222222,57.741586666666656,56.86546222222221,56.202607777777764
Tomorrow,45.842,45.4334,45.1046,43.53,45.28,51.64
