,2019-02-13
1 hr,82.19696666666664
1 min,82.34
1.5 hr,82.26603333333333
10 day,91.21900000000001
10 min,81.8533
100 day,78.46210000000002
125 day,80.74928
15 min,81.86619999999999
150 day,82.4334
175 day,83.25977142857143
2 day,89.36
2 hr,82.21475000000001
2.5 hr,82.28354000000002
20 day,86.09800000000001
20 min,81.87925
200 day,82.402175
25 min,81.88096
3 hr,82.41820000000003
3.5 hr,82.55597142857144
30 day,82.72900000000001
30 min,81.93273333333333
4 hr,82.7697083333333
4.5 hr,82.90986666666666
40 day,80.14750000000001
45 min,82.0872222222222
5 day,91.942
5 hr,82.98422333333333
5 min,81.978
5.5 hr,82.98210000000002
50 day,79.88300000000002
50 min,82.12635999999996
55 min,82.15143636363632
6 hr,83.00359722222221
6.5 hr,83.02342564102565
60 day,78.83216666666668
70 day,78.1194285714286
80 day,77.693875
90 day,77.48344444444446
Tomorrow,81.26
