,2018-12-11,2018-12-12,2018-12-14,2018-12-17,2018-12-18,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-09,2019-01-10,2019-02-05,2019-02-14,2019-02-15
1 hr,20.99966666666667,21.24278333333334,20.24901666666667,19.563216666666662,19.520066666666672,18.70943333333333,18.216383333333333,18.87481666666667,19.38865,19.61828333333333,19.48021666666667,19.861966666666664,20.74666666666667,20.82079999999998,21.86591666666665,21.910950000000003,22.024733333333327
1 min,20.915,21.16,20.07,19.55,19.61,18.59,18.42,19.11,19.52,19.64,19.42,19.88,20.75,20.87,21.89,21.91,21.86
1.5 hr,20.9979,21.26779999999999,20.274288888888897,19.601288888888885,19.54187777777778,18.723722222222218,18.309666666666672,18.824700000000007,19.348044444444444,19.640166666666676,19.49716666666666,19.893422222222227,20.73542222222223,20.83604444444443,21.84509999999998,21.934177777777773,22.09212222222222
10 day,22.014,21.908,21.483,21.215,20.902,20.284999999999997,19.993999999999996,19.522,19.154999999999998,19.163999999999998,19.144999999999996,19.182999999999996,19.770999999999997,19.947000000000003,21.602999999999998,21.604000000000003,21.619000000000003
10 min,20.917,21.1965,20.064,19.5106,19.615599999999997,18.5586,18.261000000000003,19.064,19.4302,19.6055,19.455,19.887,20.737,20.8685,21.854,21.9065,21.895
100 day,21.9074,21.902,21.8821,21.863400000000002,21.843599999999995,21.799199999999995,21.770799999999994,21.721099999999996,21.648699999999995,21.614999999999995,21.577599999999997,21.5487,21.4943,21.483399999999996,21.573099999999997,21.5452,21.5375
125 day,21.82983999999999,21.827519999999993,21.808799999999987,21.794879999999985,21.781039999999983,21.74719999999998,21.72711999999998,21.69591999999998,21.65311999999998,21.63815999999998,21.620239999999985,21.604159999999986,21.571359999999984,21.563199999999988,21.543599999999994,21.487279999999995,21.486479999999997
15 min,20.93166666666667,21.217333333333332,20.090666666666664,19.50406666666667,19.608999999999998,18.588266666666666,18.212,19.041,19.438133333333333,19.599866666666667,19.467866666666666,19.889333333333337,20.741866666666667,20.870333333333335,21.856333333333335,21.90766666666667,21.919
150 day,21.798533333333324,21.775933333333327,21.75446666666666,21.735666666666656,21.720399999999987,21.674399999999988,21.64673333333332,21.60079999999999,21.564199999999985,21.55593333333332,21.547999999999988,21.544999999999987,21.54379999999999,21.541533333333323,21.558733333333315,21.552666666666653,21.552466666666653
175 day,22.193714285714275,22.16879999999999,22.112685714285703,22.080399999999987,22.046399999999988,21.979142857142843,21.943542857142845,21.869542857142843,21.76691428571427,21.734971428571416,21.710857142857133,21.68897142857142,21.638057142857136,21.620114285714276,21.495942857142843,21.531714285714273,21.53542857142856
2 day,21.195,21.035,20.345,19.805,19.575,19.05,18.525,18.835,19.445,19.575,19.525,19.65,20.67,20.810000000000002,21.740000000000002,21.875,21.89
2 hr,20.984516666666654,21.312308333333323,20.304975000000002,19.623799999999985,19.574141666666673,18.705624999999998,18.37064166666668,18.80505000000001,19.330891666666673,19.66348333333334,19.503291666666655,19.91635,20.73976666666668,20.849658333333323,21.830675,21.947641666666662,22.125425
