,2018-12-19,2018-12-20,2018-12-21,2019-01-11,2019-01-14,2019-01-23
1 hr,14.719766666666661,15.479633333333336,14.92904999999999,17.228883333333332,17.141450000000006,17.165399999999995
1 min,14.745,15.47,14.91,17.13,16.71,17.22
1.5 hr,14.7314,15.463377777777778,14.939211111111106,17.234277777777773,17.183744444444446,17.126611111111107
10 day,14.383,14.479,14.523000000000001,16.497999999999998,16.567,16.796
10 min,14.7345,15.440999999999999,14.9291,17.149,16.762,17.264000000000003
100 day,14.494199999999996,14.501699999999996,14.502299999999998,14.712400000000004,14.732400000000002,14.8533
125 day,14.549439999999993,14.554399999999994,14.555039999999995,14.721920000000003,14.7376,14.83336
15 min,14.736333333333336,15.447200000000002,14.941066666666668,17.158,16.875333333333334,17.260400000000004
150 day,13.994266666666663,14.029133333333329,14.06093333333333,14.610066666666668,14.654066666666667,14.824333333333334
175 day,13.413114285714288,13.443742857142858,13.470428571428574,13.94348571428572,13.98428571428572,14.22834285714286
2 day,13.895,15.115,15.185,17.03,16.93,16.855
2 hr,14.726200000000006,15.407016666666665,14.946908333333331,17.23714166666666,17.204983333333338,17.10120833333333
2.5 hr,14.705566666666682,15.415853333333331,14.956306666666672,17.237813333333314,17.221986666666677,17.08906666666667
20 day,14.485000000000003,14.5365,14.554500000000004,15.731499999999997,15.841,16.5075
20 min,14.715250000000001,15.459650000000002,14.9478,17.180500000000002,16.9616,17.257300000000004
200 day,12.853074999999999,12.892174999999998,12.924474999999997,13.422525000000006,13.462575000000006,13.686575000000007
25 min,14.68804,15.468280000000002,14.947440000000002,17.1958,17.013560000000002,17.24836
3 hr,14.68732777777779,15.444333333333336,14.961877777777778,17.2356722222222,17.231983333333346,17.078938888888906
3.5 hr,14.697376190476202,15.469233333333337,14.968138095238096,17.2348333333333,17.232352380952378,17.0709523809524
30 day,14.477333333333332,14.514,14.52866666666667,15.34333333333333,15.412666666666665,15.846
30 min,14.685366666666669,15.473233333333335,14.948033333333333,17.204833333333333,17.046633333333332,17.236300000000004
4 hr,14.692412500000009,15.494570833333333,14.975537500000007,17.23539999999996,17.23937083333334,17.068525000000022
4.5 hr,14.674959259259264,15.527151851851857,14.984996296296307,17.235859259259207,17.24434444444444,17.077355555555574
40 day,14.388000000000002,14.419,14.436750000000004,15.138500000000002,15.19425,15.531
45 min,14.718133333333329,15.483155555555557,14.936111111111103,17.22222222222222,17.103666666666676,17.201200000000004
5 day,14.248,14.437999999999999,14.522,16.773999999999997,16.889999999999997,16.804
5 hr,14.650976666666674,15.54850666666666,14.989223333333351,17.238003333333296,17.241843333333335,17.08744666666668
5 min,14.747,15.452999999999998,14.901999999999997,17.148999999999997,16.721,17.258
5.5 hr,14.604633333333338,15.570203030303023,14.997839393939406,17.231263636363607,17.238575757575756,17.09010303030304
50 day,14.370999999999999,14.394999999999998,14.407200000000003,14.9696,15.021799999999999,15.3202
50 min,14.722319999999995,15.48526,14.932799999999991,17.22496,17.11820000000001,17.188280000000002
55 min,14.721381818181813,15.484727272727275,14.930472727272715,17.227145454545454,17.130981818181827,17.176254545454544
6 hr,14.552372222222228,15.587977777777771,15.001408333333343,17.219580555555524,17.240944444444455,17.08817777777779
6.5 hr,14.506187179487183,15.609425641025634,15.007700000000003,17.203638461538436,17.23670512820513,17.073825641025653
60 day,14.351999999999997,14.373999999999995,14.386,14.841000000000001,14.879833333333332,15.127
70 day,14.383571428571424,14.393571428571423,14.395142857142854,14.762571428571427,14.797714285714282,15.007285714285715
80 day,14.428624999999997,14.437749999999998,14.439749999999998,14.709625000000006,14.737000000000004,14.916374999999999
90 day,14.462999999999997,14.471666666666664,14.472888888888889,14.71066666666667,14.732444444444445,14.864555555555558
Tomorrow,15.47,14.9,15.47,16.71,16.4,17.61
