,2018-12-26,2019-01-17
1 hr,8.039866666666663,8.160133333333329
1 min,8.12,8.17
1.5 hr,8.039566666666659,8.156922222222216
10 day,8.208,8.396
10 min,8.102599999999999,8.159999999999998
100 day,8.945749999999999,8.85875
125 day,8.895800000000003,8.837959999999999
15 min,8.1034,8.158666666666665
150 day,8.842100000000004,8.82616666666667
175 day,8.717057142857144,8.761000000000003
2 day,7.834999999999999,8.165
2 hr,8.032341666666658,8.156816666666654
2.5 hr,8.013506666666657,8.143939999999978
20 day,8.683499999999999,8.143500000000003
20 min,8.08955,8.163499999999999
200 day,8.548975000000002,8.604975000000001
25 min,8.07988,8.1668
3 hr,7.995394444444448,8.12208888888887
3.5 hr,7.984742857142865,8.108576190476171
30 day,8.652333333333333,8.335333333333336
30 min,8.073066666666666,8.168166666666668
4 hr,7.967299999999997,8.097120833333314
4.5 hr,7.942544444444441,8.089329629629615
40 day,8.614999999999998,8.509750000000002
45 min,8.050088888888887,8.163755555555555
5 day,7.895999999999999,8.254
5 hr,7.911939999999995,8.083146666666657
5 min,8.11,8.161999999999999
5.5 hr,7.885624242424238,8.083563636363632
50 day,8.601,8.5228
50 min,8.045579999999998,8.161779999999998
55 min,8.041945454545452,8.161054545454544
6 hr,7.87503333333333,8.091086111111098
6.5 hr,7.862989743589742,8.097182051282033
60 day,8.669,8.517666666666667
70 day,8.808285714285711,8.521571428571432
80 day,8.930437499999998,8.65525
90 day,8.95272222222222,8.765666666666666
Tomorrow,8.18,8.31
