,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2019-01-03,2019-01-04,2019-01-07,2019-01-18,2019-01-23,2019-01-31,2019-02-04,2019-02-06,2019-02-07
1 hr,375.2733333333333,366.87583333333333,359.6230499999999,357.47118333333333,346.69066666666663,358.9587333333335,374.9744333333332,398.41911666666675,397.56651666666676,416.9320000000001,399.91138333333333,428.34388333333334,424.40394999999995,409.8507999999999,405.8201333333333
1 min,375.66,369.0,360.69,356.23,344.43,363.29,372.07,397.56,396.63,418.85,401.21,428.75,425.39,406.56,406.36
1.5 hr,375.6721444444445,367.6287,361.2381333333333,357.43207777777764,346.75677777777776,358.0769000000001,375.4869111111111,398.3333888888888,397.58354444444444,416.7228777777778,399.8126666666668,427.4881444444446,424.41282222222225,409.9571111111109,406.32062222222197
10 day,377.63800000000003,376.27700000000004,375.06700000000006,372.521,369.69800000000004,364.76000000000005,361.08899999999994,364.774,368.81399999999996,405.66700000000003,406.87399999999997,414.86800000000005,416.80100000000004,418.965,418.81800000000004
10 min,374.70500000000004,369.562,360.9367,355.273,346.7047,361.38649999999996,373.71999999999997,397.601,396.85690000000005,417.70599999999996,401.0556,429.985,424.939,407.88550000000004,406.0304
100 day,375.83724999999976,375.7913499999998,375.72234999999984,375.5695499999999,375.3354499999999,374.69445,373.92115000000007,374.2088500000001,374.51065000000017,377.47915000000006,377.75385,378.51205000000004,379.16299999999995,379.61250000000007,379.70000000000005
125 day,371.8104399999997,372.0669999999997,372.32027999999974,372.5143599999997,372.6542799999998,372.97499999999985,373.7163599999999,373.9400399999999,374.14259999999996,377.05044,377.58628000000004,379.8284400000001,380.33780000000013,380.70684000000017,380.96436000000017
15 min,374.2494666666667,369.31280000000004,360.55146666666667,355.8818,346.8458,360.84813333333335,374.3276666666667,397.9396666666667,397.1621333333334,417.5524,400.7837333333334,429.989,424.77940000000007,408.0666666666667,405.99973333333327
150 day,360.8573666666662,361.3143666666663,361.697633333333,362.0191666666663,362.30443333333307,363.0554333333331,365.48463333333314,366.13283333333317,366.7311666666665,372.45596666666665,373.6229666666666,377.1373,378.3180999999999,379.1945666666667,379.54523333333333
175 day,353.4208285714283,353.6548857142854,353.87157142857114,354.04957142857114,354.18122857142833,354.54179999999985,356.0615142857141,356.5265428571427,356.94174285714274,362.6748285714284,363.8755142857141,367.8005999999999,369.3180857142856,370.68522857142847,371.3135714285713
2 day,378.33500000000004,372.25,364.85,358.46500000000003,350.415,351.96500000000003,372.26,384.815,397.09000000000003,418.11,402.98,424.59000000000003,427.775,413.8,406.51
2 hr,376.16910833333327,368.3973166666667,362.57421666666664,357.21547499999986,346.972375,357.66134166666666,375.84297500000014,398.33875,397.5611166666667,416.8147083333334,399.8154250000003,426.6799083333334,424.5825416666667,410.21028333333294,406.59671666666634
