,2018-12-19,2018-12-21,2019-01-02,2019-02-01
1 hr,76.93276666666665,82.46066666666667,84.57405000000001,86.78666666666665
1 min,76.74,82.53,84.65,86.83
1.5 hr,77.31527777777775,82.46161111111113,84.56152222222222,86.78816666666668
10 day,78.293,79.27000000000001,82.66900000000001,83.814
10 min,76.8118,82.5369,84.446,86.80100000000002
100 day,77.00063300000001,76.96265800000002,77.00598000000002,78.341248
125 day,79.85272320000003,79.70187040000002,79.31424880000002,78.34706480000003
15 min,76.79119999999999,82.54493333333333,84.44673333333334,86.80199999999999
150 day,81.52244133333336,81.44696733333336,81.28619000000002,80.29242066666669
175 day,82.50206800000004,82.44032971428574,82.28422914285716,81.74566400000002
2 day,78.81,82.255,85.14500000000001,87.12
2 hr,77.62830000000002,82.3500833333333,84.52130000000001,86.76433333333338
2.5 hr,77.88080000000002,82.32629333333333,84.52843333333331,86.73605333333337
20 day,76.22749999999999,76.922,80.1395,83.7175
20 min,76.76000000000002,82.5162,84.45179999999999,86.7915
200 day,82.68310050000002,82.69316950000002,82.74051250000002,82.565341
25 min,76.75272000000001,82.47796,84.48104,86.78880000000001
3 hr,78.00486666666667,82.31805,84.58504999999997,86.69681111111113
3.5 hr,78.12257142857143,82.32239047619049,84.65465238095234,86.62967142857141
30 day,75.38566666666665,75.94033333333336,78.16033333333333,83.503
30 min,76.75093333333334,82.4498,84.47136666666665,86.78833333333333
4 hr,78.25353750000001,82.34636666666665,84.71402499999996,86.5515291666667
4.5 hr,78.3716851851852,82.34704444444442,84.78741111111107,86.48129629629628
40 day,75.69500000000001,75.89500000000001,77.084,82.172
45 min,76.83604444444443,82.44873333333332,84.51102222222222,86.77108888888888
5 day,78.558,80.224,84.132,85.582
5 hr,78.55694666666663,82.39219999999996,84.87106999999995,86.42618666666665
5 min,76.829,82.59479999999999,84.51299999999999,86.84400000000001
5.5 hr,78.761503030303,82.47445151515149,84.94221515151511,86.3793090909091
50 day,76.081,76.38320000000003,77.04400000000001,80.5614
50 min,76.87201999999998,82.45309999999999,84.52532000000001,86.76258
55 min,76.88832727272728,82.45845454545454,84.54810909090911,86.77472727272726
6 hr,79.01723888888884,82.43848888888881,84.98583611111107,86.38786666666667
6.5 hr,79.2321307692307,82.43679999999993,84.9990025641025,86.43693333333331
60 day,76.20136333333332,76.36981,77.09533333333334,79.431
70 day,76.18050000000001,76.43552142857145,77.07565428571428,79.05114285714285
80 day,76.07739125,76.193385,76.85853125000001,78.85762499999998
90 day,76.29278111111113,76.30751111111114,76.76696111111112,78.64352666666665
Tomorrow,81.97,83.9,84.91,87.52
