,2018-12-12
1 hr,33.83054999999998
1 min,33.6
1.5 hr,33.76168888888887
10 day,31.96
10 min,33.732000000000006
100 day,33.7772
125 day,33.15392
15 min,33.78933333333334
150 day,32.880399999999995
175 day,32.20262857142855
2 day,32.925
2 hr,33.82086666666664
2.5 hr,33.8888933333333
20 day,30.866000000000003
20 min,33.82899999999999
200 day,31.48949999999997
25 min,33.84764
3 hr,33.92002777777775
3.5 hr,33.911571428571406
30 day,32.239333333333335
30 min,33.84336666666667
4 hr,33.90066666666665
4.5 hr,33.884325925925914
40 day,32.602000000000004
45 min,33.83379999999998
5 day,32.528
5 hr,33.857416666666644
5 min,33.654
5.5 hr,33.81548181818179
50 day,33.1126
50 min,33.839019999999984
55 min,33.83765454545453
6 hr,33.77552222222217
6.5 hr,33.70261538461534
60 day,33.67933333333333
70 day,34.263285714285715
80 day,34.481125
90 day,34.21733333333333
Tomorrow,33.82
