,2018-12-18,2018-12-19,2018-12-20,2019-01-03
1 hr,12.43078333333333,11.954049999999999,10.473999999999995,9.731199999999996
1 min,12.4,11.95,10.48,9.78
1.5 hr,12.422111111111116,12.021433333333333,10.18072222222222,9.79325555555555
10 day,13.831,13.597000000000003,13.184000000000001,10.815999999999999
10 min,12.457799999999999,11.971499999999999,10.434000000000003,9.816500000000001
100 day,13.0683,13.041600000000003,13.007900000000005,12.729000000000006
125 day,13.396800000000004,13.382800000000005,13.355680000000005,13.164880000000005
15 min,12.460533333333334,11.962,10.44826666666667,9.806000000000001
150 day,13.204066666666671,13.212733333333338,13.210200000000006,13.194600000000003
175 day,12.647428571428575,12.668342857142857,12.679828571428573,12.764799999999997
2 day,12.754999999999999,12.17,11.21,10.379999999999999
2 hr,12.442250000000003,12.056724999999995,10.088049999999997,9.872149999999994
2.5 hr,12.45924,12.135693333333336,10.151093333333339,9.96277999999999
20 day,13.676999999999998,13.634500000000003,13.5685,12.3235
20 min,12.461599999999999,11.955749999999998,10.465100000000003,9.8036
200 day,12.090150000000001,12.1127,12.1313,12.265349999999998
25 min,12.46408,11.958239999999998,10.475680000000002,9.80648
3 hr,12.487738888888883,12.214338888888884,10.20433333333334,10.051666666666659
3.5 hr,12.50740952380952,12.288685714285705,10.25779047619048,10.12432857142856
30 day,13.353333333333332,13.329333333333334,13.246333333333332,12.723333333333333
30 min,12.465900000000001,11.958866666666664,10.488900000000001,9.778566666666668
4 hr,12.51215833333333,12.337058333333317,10.309733333333334,10.179708333333329
4.5 hr,12.503051851851843,12.360833333333327,10.369448148148148,10.253533333333328
40 day,13.0565,13.035250000000001,12.98775,12.719
45 min,12.452599999999997,11.960466666666663,10.56868888888889,9.722822222222224
5 day,13.440000000000001,12.946000000000002,12.190000000000001,10.632
5 hr,12.482376666666662,12.387039999999992,10.455826666666665,10.311549999999999
5 min,12.435599999999999,11.966999999999999,10.451,9.778
5.5 hr,12.46797878787878,12.403184848484846,10.550399999999994,10.34968181818182
50 day,12.9046,12.9036,12.8708,12.608400000000001
50 min,12.446439999999996,11.958419999999998,10.5666,9.719339999999999
55 min,12.43821818181818,11.950745454545453,10.52781818181818,9.725399999999999
6 hr,12.482399999999995,12.413130555555552,10.640680555555553,10.377624999999998
6.5 hr,12.53067179487179,12.409356410256411,10.725128205128206,10.408041025641024
60 day,12.848833333333337,12.839333333333338,12.805333333333335,12.556500000000002
70 day,12.834857142857146,12.83471428571429,12.803000000000003,12.558428571428575
80 day,12.871375000000004,12.843625000000003,12.800000000000002,12.582500000000005
90 day,12.94155555555556,12.926555555555561,12.896222222222228,12.643000000000004
Tomorrow,11.94,10.48,10.9,10.38
