,2019-02-13
1 hr,0.34178833333333347
1 min,0.341
1.5 hr,0.34098666666666677
10 day,0.29306
10 min,0.34147
100 day,0.4577449800000001
125 day,0.566195184
15 min,0.34065999999999996
150 day,0.6217606533333333
175 day,0.678208257142857
2 day,0.3045
2 hr,0.33993750000000017
2.5 hr,0.3370726666666668
20 day,0.27531530000000004
20 min,0.339745
200 day,0.7269587249999995
25 min,0.338948
3 hr,0.3365905555555556
3.5 hr,0.33619142857142864
30 day,0.2568835333333334
30 min,0.3390266666666667
4 hr,0.33728250000000026
4.5 hr,0.33811111111111125
40 day,0.2400088250000001
45 min,0.3410911111111112
5 day,0.28616
5 hr,0.33943966666666675
5 min,0.34175999999999995
5.5 hr,0.340309696969697
50 day,0.23453746000000014
50 min,0.3414820000000001
55 min,0.3416400000000001
6 hr,0.3406819444444445
6.5 hr,0.34177769230769245
60 day,0.2375295500000001
70 day,0.300449442857143
80 day,0.3553458375000001
90 day,0.4087918555555557
Tomorrow,0.3009
