,2018-12-13,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2019-01-04,2019-01-09,2019-01-14,2019-01-16,2019-01-18,2019-02-08,2019-02-12,2019-02-14,2019-02-15
1 hr,23.884049999999984,22.85458333333334,23.129633333333324,22.79088333333333,21.941933333333335,21.270016666666667,21.387483333333343,22.305299999999995,21.56145,22.487033333333333,22.828266666666664,23.58725,23.814166666666654,22.02049999999999,22.482000000000006
1 min,23.89,22.84,23.1,22.86,21.9,21.28,21.41,22.34,21.67,22.48,22.86,23.73,23.8,21.98,22.54
1.5 hr,23.85839999999999,22.90731111111111,23.118644444444435,22.863066666666672,21.93845555555556,21.321755555555576,21.399711111111117,22.2887,21.552866666666663,22.48891111111111,22.826055555555538,23.575233333333337,23.714011111111105,22.023777777777784,22.479155555555558
10 day,25.072520000000004,24.540799999999997,24.23866,24.008079999999996,23.65674,23.302039999999998,21.366,21.606999999999996,21.844,22.022,22.341,23.248,23.419999999999998,23.332,23.250999999999998
10 min,23.9005,22.804499999999997,23.1575,22.8765,21.857,21.29,21.393,22.310000000000002,21.585,22.4745,22.8065,23.641999999999996,23.8157,21.974,22.502700000000004
100 day,24.88099799999999,24.819254999999995,24.789271999999993,24.761351,24.723648999999995,24.693191,24.426907999999994,24.355483999999997,24.28403099999999,24.23048499999999,24.18047599999998,23.837463999999997,23.79784499999999,23.738693999999995,23.707175999999993
125 day,24.994641599999987,24.95355119999999,24.932648799999992,24.910311999999998,24.881889599999994,24.852936799999995,24.62931359999999,24.543943999999993,24.46226719999999,24.401083999999987,24.344944799999983,24.11442399999999,24.099414399999986,24.069347199999992,24.053951999999992
15 min,23.91466666666667,22.793999999999997,23.170333333333335,22.854333333333336,21.866666666666667,21.28066666666667,21.39833333333333,22.313666666666666,21.575000000000003,22.479000000000003,22.814000000000004,23.619333333333326,23.8394,21.982000000000003,22.50146666666667
150 day,24.87511199999999,24.87462399999999,24.87051199999999,24.864349999999995,24.855015333333323,24.84246599999999,24.717704666666656,24.66879399999999,24.61444533333332,24.570716666666655,24.52712866666665,24.34189799999999,24.31403533333332,24.274086666666655,24.25295399999999
175 day,24.29816857142857,24.334266857142854,24.352314857142858,24.36928,24.381783999999996,24.391925714285705,24.45459199999999,24.48648742857142,24.474733714285694,24.469835428571407,24.473091428571408,24.449841714285697,24.44214971428569,24.41965199999998,24.40525085714284
2 day,24.295299999999997,22.98835,22.829349999999998,22.84425,22.31,21.595,21.125,22.21,22.145,22.384999999999998,22.72,23.525,23.63,22.595,22.245
