,2019-01-09,2019-01-18,2019-02-01
1 hr,119.18965000000003,138.63436666666675,142.56223333333338
1 min,119.78,139.72,143.03
1.5 hr,118.42447777777784,138.55540000000008,142.46842222222224
10 day,102.628,131.04500000000002,135.10399999999998
10 min,119.31699999999998,139.64079999999998,143.31019999999998
100 day,126.09779999999999,124.64720000000001,122.15559999999999
125 day,131.98032,129.92864,128.61448000000001
15 min,119.31746666666665,139.51086666666666,143.15546666666665
150 day,136.41439999999997,135.16266666666664,133.75813333333332
175 day,139.59565714285716,138.79548571428572,137.07222857142858
2 day,124.61,138.125,142.805
2 hr,117.91353333333336,138.56422500000005,142.45690000000002
2.5 hr,117.86434000000001,138.53902666666662,142.46814666666666
20 day,99.52,109.9295,130.96050000000002
20 min,119.50935,139.31265000000002,143.0541
200 day,141.53810000000001,140.78005000000002,139.5708
25 min,119.6584,139.12732000000003,142.94108000000003
3 hr,117.93565000000001,138.43124999999998,142.42309444444447
3.5 hr,118.05335238095242,138.34196666666665,142.55702380952386
30 day,102.88033333333331,107.62033333333333,116.75899999999999
30 min,119.7765,138.98873333333339,142.8435666666667
4 hr,117.99527916666669,138.2153458333333,142.79093333333333
4.5 hr,117.98974074074077,137.91699999999997,142.9007481481482
40 day,105.48149999999998,108.40275000000001,113.70824999999999
45 min,119.76722222222223,138.75480000000007,142.63693333333336
5 day,115.03800000000001,134.156,135.794
5 hr,118.2495366666667,137.64782,142.82289000000003
5 min,119.75699999999999,139.698,143.171
5.5 hr,118.38876363636368,137.49594545454545,142.74693939393947
50 day,109.96839999999999,110.6488,113.14119999999998
50 min,119.61000000000001,138.7227200000001,142.60844000000003
55 min,119.37585454545457,138.67465454545464,142.59767272727277
6 hr,118.69219722222226,137.3790888888889,142.6306416666668
6.5 hr,119.18361794871797,137.36734358974363,142.51940256410262
60 day,111.82266666666663,112.94066666666666,114.49749999999997
70 day,114.84228571428568,114.27285714285712,115.79385714285712
80 day,118.46174999999997,117.225875,116.813375
90 day,122.93155555555553,120.56388888888888,119.24388888888888
Tomorrow,126.22,137.29,146.1
