,2019-02-01
1 hr,31.182566666666677
1 min,31.21
1.5 hr,31.177166666666658
10 day,28.490000000000002
10 min,31.22
100 day,26.01189999999999
125 day,26.881119999999996
15 min,31.214999999999993
150 day,27.434599999999996
175 day,27.799371428571426
2 day,31.225
2 hr,31.18212499999998
2.5 hr,31.22422666666666
20 day,26.792
20 min,31.201249999999995
200 day,28.065074999999993
25 min,31.19439999999999
3 hr,31.245477777777772
3.5 hr,31.245242857142856
30 day,25.697333333333333
30 min,31.1985
4 hr,31.269383333333337
4.5 hr,31.27202592592592
40 day,25.549999999999997
45 min,31.200644444444453
5 day,30.648000000000003
5 hr,31.260819999999985
5 min,31.229000000000003
5.5 hr,31.248575757575743
50 day,25.751199999999997
50 min,31.197780000000016
55 min,31.190981818181836
6 hr,31.24400555555553
6.5 hr,31.23839487179485
60 day,25.733166666666662
70 day,25.557857142857138
80 day,25.435749999999995
90 day,25.64544444444444
Tomorrow,31.81
