,2018-12-12,2018-12-13,2018-12-18,2018-12-31,2019-01-02,2019-01-14,2019-01-17,2019-01-18,2019-01-25,2019-01-28,2019-01-30,2019-01-31,2019-02-01,2019-02-04,2019-02-07,2019-02-12
1 hr,169.71388333333337,172.55168333333333,165.99719999999996,160.95240000000004,160.45215000000002,168.80286666666672,172.84971666666658,172.75266666666667,176.98431666666664,177.59238333333332,178.44799999999995,181.61495000000002,180.25586666666666,181.92726666666667,183.02181666666667,183.35256666666675
1 min,168.97,172.22,165.44,161.91,160.75,169.16,173.51,173.0,177.25,177.62,178.81,182.58,181.15,182.47,183.65,183.27
1.5 hr,169.86933333333337,172.55764444444443,166.13787777777782,160.92000000000004,160.50506666666672,168.78998888888896,172.80243333333334,172.6281333333333,177.20486666666665,177.38643333333331,178.56204444444447,181.58431111111113,180.12403333333333,181.87612222222228,182.93276666666662,183.41111111111118
10 day,169.63199999999998,170.01799999999997,169.341,163.031,162.645,165.19099999999997,168.326,169.337,173.099,173.882,175.673,176.669,177.437,178.37800000000001,180.825,182.49999999999997
10 min,169.2559,172.204,165.8241,161.20229999999998,160.4225,169.03650000000002,173.17170000000002,172.81300000000002,177.05370000000002,177.4993,178.5155,182.16400000000002,181.0515,182.21200000000002,183.69389999999999,183.13029999999998
100 day,160.2584,160.3655,160.56670000000003,160.86210000000003,160.8974,161.69489999999996,162.21119999999996,162.38139999999996,163.15359999999995,163.37749999999997,163.82669999999996,164.07139999999995,164.30099999999996,164.53459999999995,165.25329999999994,165.95689999999996
125 day,160.77607999999995,160.90447999999998,161.12408,161.05952000000002,161.04376,161.13527999999994,161.35743999999997,161.44375999999994,161.91191999999995,162.05231999999995,162.38119999999995,162.54887999999994,162.74039999999994,162.93215999999993,163.53623999999988,164.1934399999999
15 min,169.36846666666668,172.2802,165.89333333333335,161.23873333333333,160.25613333333334,168.91433333333333,173.08913333333334,172.82793333333333,177.00846666666666,177.53586666666664,178.52700000000002,182.01626666666667,180.97066666666666,182.15099999999998,183.66759999999996,183.1128666666667
150 day,160.37406666666664,160.4425333333333,160.6211333333333,160.8717333333333,160.88539999999995,161.29513333333327,161.57059999999996,161.67759999999993,162.15219999999994,162.2658666666666,162.48579999999993,162.6080666666666,162.72066666666657,162.83753333333325,163.2183999999999,163.59079999999992
175 day,160.80485714285712,160.8078857142857,160.79742857142855,160.64782857142853,160.6188571428571,160.88137142857136,161.12359999999995,161.2042285714285,161.5742285714285,161.68777142857135,161.92988571428566,162.05994285714277,162.1962285714285,162.33628571428562,162.77199999999988,163.1998857142856
2 day,170.13,170.595,165.025,162.19,161.32,169.475,173.015,173.255,176.9,177.445,178.785,180.67000000000002,181.83499999999998,181.8,182.535,183.59
2 hr,170.02549166666668,172.54105833333332,166.3636833333333,161.07555000000005,160.45166666666668,168.84560833333347,172.71100000000007,172.64027499999992,177.35420833333333,177.20178333333328,178.65278333333333,181.58252499999995,180.00928333333331,181.89514166666677,182.8835666666667,183.39327500000007
