,2019-01-09,2019-01-16
1 hr,29.95711666666667,29.93633333333334
1 min,29.9,29.87
1.5 hr,29.96707777777776,29.97728888888891
10 day,27.598000000000003,29.252
10 min,29.877000000000002,29.8565
100 day,28.732114000000006,28.781327
125 day,28.417520000000014,28.41715040000001
15 min,29.905666666666672,29.86466666666667
150 day,29.002612666666682,29.011908666666677
175 day,28.94090228571429,29.012692571428577
2 day,29.87,29.935000000000002
2 hr,29.97388333333332,29.99700000000003
2.5 hr,29.973539999999982,30.006100000000036
20 day,27.678500000000003,27.903
20 min,29.92100000000001,29.8705
200 day,28.996446500000015,28.97461550000001
25 min,29.925400000000018,29.88099999999999
3 hr,29.9740333333333,30.01699444444447
3.5 hr,29.970866666666648,30.029614285714302
30 day,28.748353333333338,28.57333333333333
30 min,29.934500000000018,29.88766666666665
4 hr,29.969087499999976,30.03492500000002
4.5 hr,29.972914814814796,30.043525925925945
40 day,29.17568,29.0476
45 min,29.950600000000012,29.90544444444445
5 day,28.607999999999997,29.896000000000004
5 hr,29.979993333333315,30.053440000000002
5 min,29.865,29.845000000000006
5.5 hr,29.98247878787876,30.06353636363636
50 day,29.155078,29.373126
50 min,29.95284000000001,29.91060000000001
55 min,29.955400000000004,29.922727272727283
6 hr,29.992674999999984,30.081894444444455
6.5 hr,29.99700769230768,30.092782051282065
60 day,29.058714999999996,29.127159999999996
70 day,28.970581428571425,29.077788571428567
80 day,28.844312500000008,28.962646249999995
90 day,28.714916666666674,28.815963333333336
Tomorrow,30.17,30.07
