,2018-12-11,2018-12-12,2018-12-13,2018-12-31,2019-01-02,2019-01-03,2019-01-17
1 hr,113.97753333333335,115.42238333333333,111.29091666666665,102.06051666666666,104.1265,105.68878333333332,121.45698333333333
1 min,113.66,114.84,111.02,102.81,104.61,105.83,121.32
1.5 hr,114.09981111111114,115.57598888888887,111.23761111111111,101.82832222222221,104.19661111111108,105.7519222222222,121.47600000000003
10 day,117.6008,117.46838999999997,116.68087999999997,103.05016,102.70469,102.52349,110.91735000000003
10 min,113.54189999999998,115.06350000000002,111.12950000000001,102.474,104.304,105.81680000000001,121.20149999999998
100 day,114.039591,114.001538,113.952065,113.22075799999993,113.15928599999992,113.10391499999993,112.70194699999995
125 day,116.39327359999997,116.31402159999996,116.20245119999997,114.08217999999997,113.91071519999994,113.75219599999996,112.68931519999997
15 min,113.54026666666667,115.13166666666667,111.14233333333331,102.48666666666668,104.27866666666667,105.84653333333333,121.31073333333332
150 day,118.30125866666664,118.20774866666666,118.087964,116.23078733333328,116.0851406666666,115.93720533333328,114.87576333333328
175 day,120.11508057142854,119.9808594285714,119.8231034285714,117.89893371428566,117.76975657142853,117.64807999999996,116.72796628571427
2 day,113.42825,113.74685,112.43764999999999,101.9042,103.1985,104.61725,116.3752
2 hr,114.10158333333335,115.70028333333336,111.22966666666666,101.76518333333328,104.22829999999996,105.79035833333337,121.50255000000007
2.5 hr,114.0235666666667,115.81683333333335,111.34635999999999,101.84159999999996,104.18625999999995,105.91345333333336,121.56594666666669
20 day,116.53500500000003,116.58379,116.35729499999998,109.18403500000002,108.24668000000001,107.418345,106.72042000000002
20 min,113.58440000000003,115.20275000000001,111.15424999999998,102.51500000000001,104.22749999999999,105.79989999999998,121.3869
200 day,123.58670299999996,123.40987449999997,123.24207149999997,120.54399499999995,120.29726199999996,120.06167549999995,118.51172199999998
25 min,113.66092000000002,115.22940000000003,111.19331999999999,102.47720000000001,104.208,105.75971999999997,121.50071999999999
3 hr,114.12531111111117,115.90538888888894,111.47885000000005,101.90578888888884,104.13473333333327,106.1247888888889,121.4849888888889
3.5 hr,114.20759047619048,115.91788095238101,111.65599047619052,101.89417142857138,104.07726190476187,106.33793809523812,121.41368095238096
30 day,115.27686000000001,115.34378,115.32585999999999,111.73606999999998,111.35210333333332,110.95286999999999,108.58467999999999
30 min,113.76760000000003,115.25150000000002,111.25843333333331,102.43983333333334,104.16319999999999,105.74609999999997,121.54746666666665
4 hr,114.26286250000001,115.93561250000003,111.79892499999997,101.86029166666661,104.03860416666666,106.44394583333336,121.29541666666665
4.5 hr,114.39940000000001,115.91142592592595,111.97458518518515,101.77379629629621,104.06605925925922,106.5131740740741,121.22912962962963
40 day,113.77531500000005,113.8752825,113.865805,112.232045,112.06602999999998,111.93461249999999,110.94398999999999
45 min,113.93682222222222,115.31000000000002,111.34173333333331,102.20662222222222,104.11084444444445,105.72108888888886,121.53262222222222
5 day,115.06702,114.59908,113.49596,101.94106000000001,102.75148000000002,102.89086,112.69748000000001
5 hr,114.53300000000006,115.87658666666675,112.14424333333334,101.7185399999999,104.02615999999995,106.49433333333337,121.15120333333334
5 min,113.58600000000001,114.96300000000001,111.174,102.58400000000002,104.396,105.8176,121.298
5.5 hr,114.66743333333339,115.83313333333345,112.32523636363636,101.71403636363623,103.95362121212119,106.40322424242424,121.05845151515155
50 day,113.65737600000003,113.695942,113.654086,111.63980399999997,111.41740199999997,111.28644999999997,111.73115999999999
50 min,113.98734000000002,115.34530000000001,111.33246,102.14735999999999,104.10662,105.71837999999998,121.50438
55 min,113.9822181818182,115.38254545454545,111.31510909090908,102.09265454545454,104.10327272727274,105.70074545454544,121.47525454545453
6 hr,114.70420555555562,115.69748333333342,112.4769166666667,101.72711944444434,103.8445083333333,106.29553055555549,120.71089722222224
6.5 hr,114.7612512820514,115.55356923076928,112.6380358974359,101.74898974358965,103.67474871794869,106.1921051282051,120.38058974358971
60 day,113.96888666666668,113.90559499999999,113.80153666666666,111.77988833333332,111.60330333333332,111.46264166666666,111.22493333333331
70 day,114.40381142857142,114.3993757142857,114.31952285714284,112.12420285714285,111.91269999999996,111.74005428571425,111.38474285714284
80 day,114.69669999999996,114.67052999999996,114.59149499999997,112.81224499999996,112.63733374999995,112.47945874999996,111.63721624999998
90 day,114.27002777777776,114.33085777777774,114.35218222222218,113.19582666666659,113.0399088888888,112.90023555555548,112.30589111111108
Tomorrow,114.3442,110.5311,108.4204,104.0398,105.1947,106.7478,123.8521
