,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-14,2019-01-15,2019-01-16,2019-01-17,2019-01-18,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-05,2019-02-06,2019-02-07,2019-02-08,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15
1 hr,66.16140000000003,66.53996666666666,66.81321666666665,65.28868333333335,64.36453333333334,64.98643333333331,64.00315,62.46610000000001,61.67264999999998,62.719766666666665,64.24964999999999,64.12625,61.64151666666665,63.70406666666667,63.653983333333336,63.813216666666676,64.25461666666669,63.31245,63.503099999999975,64.07291666666667,63.98663333333338,64.18588333333332,64.52575,65.10603333333333,66.39776666666668,65.15205000000002,66.94278333333331,66.78434999999999,66.99451666666667,68.04076666666666,68.98878333333336,68.13994999999998,69.17806666666665,68.90413333333332,68.90993333333334,69.69545000000004,70.02476666666668,69.92788333333333,70.38386666666665,70.93746666666667,70.54383333333332
1 min,65.92,66.11,66.9,65.33,64.49,64.91,64.05,62.15,61.39,63.09,64.44,64.32,61.52,63.57,63.58,63.89,64.18,63.8,63.37,64.07,63.77,64.28,64.71,65.49,66.44,63.75,67.1,66.91,67.02,68.14,67.08,68.08,69.39,68.84,69.14,69.76,69.98,69.74,70.51,70.81,70.73
1.5 hr,66.13576666666671,66.52579999999998,66.74577777777776,65.247,64.46824444444444,65.03487777777772,64.23867777777777,62.42091111111112,61.7499222222222,62.594088888888905,64.2591222222222,64.13386666666663,61.73879999999998,63.715788888888895,63.6466666666667,63.83771111111108,64.2406888888889,63.272788888888854,63.47860000000001,64.05703333333331,63.99741111111115,64.18206666666666,64.51891111111114,65.10136666666668,66.34527777777781,65.2312777777778,66.93173333333333,66.7611888888889,67.00802222222222,68.0262222222222,69.01208888888888,68.16163333333331,69.20892222222223,68.8895333333333,68.89696666666667,69.69383333333334,70.02331111111114,69.9473777777778,70.31464444444444,70.93195555555556,70.5118444444444
10 day,66.06322,66.0682,66.07714999999999,65.92395,65.70012,65.44345999999999,65.1858,64.74807999999999,64.34219999999999,63.56924,62.83407000000001,62.81915,62.481910000000006,62.574419999999996,62.79626,63.12653,63.23695,63.28967,63.28768,63.25584999999999,63.20113,63.474709999999995,63.58713,63.768190000000004,64.04773000000002,64.13329,64.42179000000002,64.73715000000001,65.10224,65.50712999999999,65.94185999999999,66.32287000000001,67.00232000000001,67.27881,67.75242,68.05325,68.39698000000001,68.70279000000001,68.97417,69.27955,69.57491
10 min,66.002,66.30850000000001,66.8888,65.34,64.3654,65.144,64.151,62.0928,61.545399999999994,62.98199999999999,64.1735,64.20009999999999,61.54600000000001,63.648900000000005,63.659000000000006,63.74399999999999,64.20380000000002,63.602999999999994,63.3919,64.04169999999999,63.8596,64.165,64.53240000000001,65.1865,66.33,64.7668,66.95220000000002,66.7595,66.89099999999999,68.1143,68.6755,68.1152,69.17349999999999,68.87780000000001,69.03049999999999,69.62190000000001,69.9788,69.76849999999999,70.45340000000002,70.86330000000001,70.5273
100 day,57.32714099999996,57.48473899999997,57.647343999999975,57.79452799999997,57.92863499999998,58.06888799999997,58.19370799999998,58.30198299999998,58.39788299999997,58.60973599999999,58.973143999999984,59.10291999999998,59.201278999999985,59.44372999999998,59.556250999999975,59.66977499999998,59.78351299999998,59.88752999999997,59.98440399999997,60.087548999999974,60.19928599999999,60.317680999999986,60.43936299999999,60.56573199999999,60.70165599999999,60.818788999999995,60.960784,61.097425999999984,61.23466799999999,61.380379999999974,61.521835999999986,61.656562999999984,61.92931799999999,62.07389199999999,62.22215799999998,62.37790899999999,62.537841,62.690425999999995,62.847049,62.997077,63.135712000000005
125 day,55.95231599999996,56.03036159999997,56.11390719999997,56.18409359999997,56.24570559999997,56.35185519999997,56.463738399999976,56.55554719999997,56.64586719999997,56.84199919999999,57.21070879999998,57.339204799999976,57.446754399999975,57.68127359999997,57.79122799999997,57.90545199999997,58.021278399999964,58.122674399999966,58.22655119999997,58.33340559999996,58.43881439999997,58.546788799999966,58.66148639999997,58.77947359999997,58.90589519999997,59.01532959999997,59.144802399999975,59.26726079999997,59.39279759999997,59.52331679999996,59.65737279999997,59.79315519999997,60.062901599999975,60.20436719999998,60.34941919999997,60.49642239999998,60.64859119999999,60.79646479999999,60.94424399999999,61.093396799999994,61.23921359999999
15 min,66.04199999999999,66.36733333333335,66.89886666666668,65.29533333333333,64.32966666666667,65.16000000000001,64.15100000000001,62.139199999999995,61.615333333333325,62.944599999999994,64.21833333333333,64.18973333333332,61.592999999999996,63.69393333333333,63.66906666666668,63.73813333333332,64.2292,63.54566666666666,63.43546666666666,64.07626666666665,63.89913333333334,64.16426666666668,64.5236,65.1648,66.36733333333335,64.87126666666667,66.94946666666668,66.78266666666667,66.88313333333332,68.10920000000002,68.81773333333334,68.12413333333333,69.15913333333333,68.87253333333334,69.0228,69.63526666666668,69.98086666666667,69.79119999999999,70.47766666666668,70.89126666666668,70.55553333333334
150 day,55.967058666666624,56.03196599999995,56.09804999999995,56.15621133333329,56.20951999999995,56.26902266666663,56.31948066666663,56.356943999999956,56.389629333333296,56.460833999999984,56.593572666666624,56.6452313333333,56.67674799999996,56.77588066666664,56.823944666666634,56.88283866666665,56.93402733333331,56.982361999999966,57.0318473333333,57.08682733333331,57.13975133333332,57.19782666666665,57.25338066666666,57.31292133333332,57.37863866666665,57.43177266666666,57.53462266666664,57.64669399999996,57.755631999999984,57.875731333333306,57.99759866666665,58.122804666666646,58.39286066666663,58.530467333333306,58.671906666666644,58.81846133333331,58.96419199999999,59.10229533333332,59.24205933333332,59.38585733333332,59.528068
175 day,56.13419085714284,56.18149314285712,56.23149714285712,56.27704571428569,56.315637714285685,56.35282114285712,56.38505999999997,56.406385142857104,56.42445199999997,56.461116571428555,56.55967085714281,56.600426285714256,56.62727657142854,56.695958285714255,56.73161714285711,56.77316685714284,56.81335028571427,56.858906857142834,56.90560114285712,56.94767314285713,56.98926799999999,57.032533142857126,57.08003885714285,57.12804171428571,57.184090285714284,57.231318285714295,57.294656571428575,57.35405085714285,57.41396,57.480404,57.545780000000015,57.613119428571444,57.74475828571428,57.81295657142857,57.88668628571429,57.96249771428572,58.044229142857155,58.12324114285716,58.20569771428574,58.29784514285716,58.38088285714288
