,2018-12-13,2018-12-18,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-03,2019-01-16
1 hr,54.188216666666676,52.121250000000025,51.134600000000006,50.12435000000001,50.674633333333354,51.70993333333332,51.30181666666667,54.443249999999985
1 min,54.16,52.16,51.05,50.07,50.82,51.81,51.3,54.43
1.5 hr,54.162322222222244,52.11233333333337,51.14486666666667,50.168144444444444,50.60391111111113,51.687966666666654,51.315144444444435,54.4559333333333
10 day,54.187329999999996,53.14719,52.55136,52.2084,51.69567000000001,51.16987000000001,51.069,53.775
10 min,54.241200000000006,52.215500000000006,51.02909999999999,50.1213,50.806900000000006,51.72959999999999,51.30319999999999,54.4193
100 day,58.786315999999985,58.468797,58.237562,58.111467999999995,57.869788,57.560174,57.35318899999999,56.778126000000015
125 day,59.44417679999999,59.185466399999996,59.00426879999999,58.90773679999998,58.721895199999985,58.48091599999999,58.32646159999998,57.753254399999996
15 min,54.24606666666667,52.21413333333333,51.04560000000001,50.11986666666667,50.7926,51.74299999999998,51.31313333333334,54.41606666666666
150 day,60.26068533333331,60.00689733333331,59.827290666666656,59.730324666666654,59.53527933333332,59.28059666666667,59.12591533333334,58.51403
175 day,60.837161142857106,60.6432074285714,60.497843428571414,60.41656914285713,60.25111542857142,60.01960571428572,59.87403371428571,59.354910857142855
2 day,53.5092,52.05935,51.3,50.519999999999996,50.224999999999994,51.685,51.555,54.32
2 hr,54.1443166666667,52.143525000000025,51.10732499999998,50.1958,50.571991666666676,51.695849999999986,51.32416666666666,54.4520333333333
2.5 hr,54.15241333333336,52.159700000000015,51.10167333333331,50.22862000000001,50.532720000000005,51.710773333333336,51.33283999999999,54.44090666666666
20 day,54.55749000000001,54.08529000000001,53.78786500000001,53.571965,53.13052500000001,52.534490000000005,52.10809500000001,52.4615
20 min,54.236599999999996,52.205,51.0707,50.109500000000004,50.78875000000001,51.75379999999998,51.31410000000001,54.41429999999999
200 day,61.19587149999997,61.03469649999998,60.90657599999998,60.83507099999997,60.68956699999998,60.4911415,60.36483949999998,59.95201549999999
25 min,54.21888000000002,52.1958,51.098320000000015,50.08860000000001,50.7796,51.75083999999998,51.316359999999996,54.41524
3 hr,54.14901111111114,52.177666666666696,51.10582222222221,50.236405555555585,50.48852777777778,51.72431111111112,51.343044444444445,54.428399999999996
3.5 hr,54.14391904761909,52.19691428571431,51.117061904761854,50.24833809523813,50.46399523809523,51.728566666666694,51.36600952380954,54.41785714285716
30 day,55.20468333333334,54.79578000000001,54.43101333333335,54.17422666666667,53.72660666666666,53.335829999999994,53.079860000000004,52.824556666666666
30 min,54.21243333333335,52.183099999999996,51.11593333333335,50.0858,50.76220000000001,51.74729999999998,51.32109999999999,54.41516666666667
4 hr,54.13921250000005,52.208250000000014,51.115904166666624,50.26854583333337,50.44180000000001,51.72854583333334,51.3797125,54.41722500000001
4.5 hr,54.145992592592656,52.20313333333334,51.112918518518484,50.3116740740741,50.40040740740742,51.72216666666667,51.39246296296297,54.422444444444466
40 day,55.341725,54.96003,54.71088500000003,54.602442500000016,54.380735,54.125897499999994,53.864085,53.3547725
45 min,54.20615555555557,52.149977777777785,51.143955555555564,50.092333333333315,50.71524444444446,51.718044444444445,51.311088888888875,54.433199999999985
5 day,53.215059999999994,52.771339999999995,51.88766,51.353739999999995,50.620000000000005,50.986000000000004,51.51800000000001,54.33399999999999
5 hr,54.14676333333337,52.198863333333335,51.126959999999954,50.34052333333336,50.34425333333336,51.71735666666668,51.38548000000001,54.42758000000001
5 min,54.2284,52.193000000000005,51.038,50.1218,50.84,51.742999999999995,51.291999999999994,54.4254
5.5 hr,54.14983030303035,52.2077484848485,51.14733636363633,50.37545454545455,50.293854545454586,51.72056666666669,51.36809696969697,54.42994848484849
50 day,56.015992000000004,55.52092200000001,55.203356000000014,55.051850000000016,54.77656600000001,54.402724,54.181824000000006,53.958558000000004
50 min,54.19836000000002,52.14118000000002,51.14536000000001,50.10153999999999,50.70038000000002,51.714439999999996,51.30727999999999,54.43815999999999
55 min,54.19260000000001,52.13090909090912,51.139654545454555,50.11365454545455,50.68743636363637,51.711927272727266,51.30467272727272,54.44150909090907
6 hr,54.16001944444449,52.22100555555558,51.17394722222218,50.40618333333333,50.25250833333337,51.72983333333336,51.36717499999999,54.43403888888889
6.5 hr,54.16619230769235,52.233235897435925,51.20599230769227,50.42767948717946,50.232156410256444,51.739466666666665,51.37976666666665,54.43575641025643
60 day,57.010043333333336,56.51078666666668,56.14776833333335,55.94304000000002,55.56113333333335,55.06616666666668,54.778935000000004,54.210391666666666
70 day,57.564402857142866,57.206127142857156,56.94333571428573,56.79182714285716,56.48309142857144,56.0433242857143,55.73338857142858,54.75844857142858
80 day,58.07554875000001,57.74626500000003,57.48387250000002,57.333905,57.033902499999996,56.661443750000004,56.43898624999999,55.62564500000002
90 day,58.371546666666674,58.05143222222224,57.84276111111112,57.72678555555556,57.51638,57.217112222222234,57.00434666666667,56.240905555555564
Tomorrow,52.7196,51.61,50.05,49.58,51.11,51.8,52.85,54.74
