,2018-12-12,2018-12-18,2018-12-19,2018-12-20,2019-02-01,2019-02-04,2019-02-12
1 hr,49.716833333333355,47.17761666666668,46.27625,44.71966666666664,49.18746666666667,49.51945000000003,50.73763333333332
1 min,49.49,47.2,46.22,44.7,49.18,49.64,50.69
1.5 hr,49.71991111111114,47.12701111111111,46.461955555555555,44.762388888888864,49.15586666666666,49.537844444444495,50.70914444444444
10 day,51.03373,48.661170000000006,48.15807,47.50117000000001,48.79899999999999,48.83,49.346999999999994
10 min,49.52850000000001,47.288,46.271499999999996,44.51299999999999,49.1885,49.53149999999999,50.678
100 day,57.378468000000005,56.846003,56.705692,56.5502,52.717905999999985,52.60037299999999,51.831030999999996
125 day,58.6261408,58.04934000000001,57.8920808,57.7296624,54.354625599999984,54.27726959999998,53.81683279999999
15 min,49.574533333333335,47.284666666666666,46.25033333333332,44.54066666666667,49.18733333333333,49.50533333333333,50.670333333333325
150 day,59.59660399999999,59.174325333333314,59.05591666666665,58.92462066666665,55.62346066666665,55.53901933333332,55.019509333333325
175 day,60.63956399999998,60.078466857142836,59.93836399999999,59.79443999999999,56.92203028571427,56.83985657142857,56.35341371428573
2 day,48.602599999999995,46.69245,46.36995,45.11965,48.370000000000005,49.42,50.19
2 hr,49.73314166666668,47.142125,46.56168333333333,44.714291666666654,49.14611666666667,49.57107500000004,50.721500000000006
2.5 hr,49.757993333333324,47.18233333333334,46.71943999999999,44.73877999999998,49.15564000000001,49.5639066666667,50.739126666666664
20 day,52.04885,50.79211000000001,50.435874999999996,50.05781,47.910999999999994,48.092499999999994,48.9845
20 min,49.626650000000005,47.26225,46.211999999999996,44.594500000000004,49.185999999999986,49.498000000000005,50.68175
200 day,62.31314149999997,61.82144049999997,61.68161299999998,61.533403999999976,57.85817499999998,57.757873,57.213204000000005
25 min,49.65076,47.243,46.20400000000001,44.6528,49.1828,49.4942,50.690119999999986
3 hr,49.780599999999986,47.22216666666667,46.821044444444425,44.76145555555553,49.143916666666684,49.54838888888892,50.73768888888885
3.5 hr,49.787890476190476,47.23630952380953,46.90659999999995,44.795542857142834,49.1238476190476,49.54822380952385,50.73533809523807
30 day,52.648860000000006,51.85436333333335,51.60000333333335,51.28412333333335,46.88576333333333,47.01097333333333,48.10433333333334
30 min,49.6603,47.23783333333334,46.20090000000001,44.67466666666666,49.17956666666667,49.49633333333334,50.69993333333333
4 hr,49.79066250000001,47.24452916666669,46.96019999999996,44.82997083333332,49.12622499999998,49.56015833333338,50.747879166666635
4.5 hr,49.791292592592605,47.23335925925926,46.989014814814794,44.861685185185166,49.081462962962945,49.555903703703756,50.750433333333305
40 day,52.8417,52.09177250000001,51.9062125,51.70874500000001,47.329615000000004,47.2977475,47.405620000000006
45 min,49.6842888888889,47.213977777777785,46.25866666666668,44.720666666666666,49.19760000000001,49.51533333333334,50.73195555555556
5 day,49.190059999999995,47.77108,47.12608,46.332240000000006,48.624,48.715999999999994,49.75599999999999
5 hr,49.80349666666668,47.219139999999996,47.019593333333326,44.91587666666665,49.033943333333305,49.544103333333396,50.7411733333333
5 min,49.486000000000004,47.246,46.273999999999994,44.56099999999999,49.19,49.592,50.687
5.5 hr,49.80316666666667,47.22202727272728,47.03402424242424,44.988515151515145,48.996118181818154,49.54022424242431,50.71137878787874
50 day,53.74488600000001,52.782758000000015,52.526348,52.257436000000006,48.448302000000005,48.380933999999996,48.026854
50 min,49.699300000000015,47.20728,46.2757,44.72919999999999,49.19704000000001,49.517400000000016,50.74175999999999
55 min,49.70972727272729,47.192672727272736,46.27227272727273,44.72363636363635,49.190145454545465,49.51909090909093,50.74087272727272
6 hr,49.77794166666668,47.23904166666668,47.03871666666668,45.06327777777776,48.966669444444406,49.52807777777784,50.68502777777776
6.5 hr,49.73488717948717,47.24275641025641,47.04931538461541,45.135017948717966,48.89618717948713,49.51872820512827,50.66849487179484
60 day,55.012674999999994,54.04386500000001,53.78041,53.494133333333345,49.37006333333332,49.30548833333332,48.869350000000004
70 day,56.05404,55.21739571428572,54.99583,54.73712428571429,49.8606257142857,49.808252857142854,49.58850714285714
80 day,56.78718500000001,56.09642500000001,55.89796625,55.6718475,50.57138499999999,50.458082499999996,50.03236875
90 day,57.09665666666667,56.55971555555556,56.413296666666675,56.25045,51.65783111111109,51.523931111111104,50.8080288888889
Tomorrow,48.3248,45.8837,44.3556,43.3236,49.64,49.81,51.15
