,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-07,2019-01-16,2019-01-18,2019-01-22,2019-01-23,2019-01-28,2019-02-12
1 hr,20.214016666666673,22.29085,20.678099999999997,20.115416666666672,18.277100000000008,18.5437,18.09188333333333,16.70991666666667,17.61741666666667,17.102266666666665,19.521849999999993,20.784166666666668,22.855699999999995,21.264349999999997,21.80551666666667,23.250750000000004,23.844999999999988
1 min,20.51,22.32,20.47,20.33,18.205,18.51,18.36,16.87,17.85,17.1,19.59,20.8,22.93,21.35,21.81,23.28,23.8
1.5 hr,20.04033333333334,22.29331111111111,20.68227777777778,20.049166666666675,18.381911111111112,18.709288888888892,18.06445555555556,16.763988888888893,17.55140000000002,17.12781111111111,19.497811111111112,20.803444444444434,22.77595555555556,21.31441111111111,21.780488888888897,23.256633333333337,23.83415555555553
10 day,26.142000000000003,25.822999999999997,25.233,24.602999999999998,23.692,22.101999999999997,21.072999999999997,20.124,18.933,17.829,17.565,19.709999999999997,20.630000000000003,20.807000000000002,21.045,21.784000000000002,22.515
10 min,20.304399999999998,22.332100000000004,20.559900000000006,20.240699999999997,18.1983,18.424999999999997,18.2488,16.8501,17.860000000000003,17.028600000000004,19.546,20.772,22.859700000000004,21.2545,21.8079,23.264699999999998,23.8187
100 day,31.993900000000007,31.873300000000004,31.7388,31.63,31.497300000000006,31.272199999999998,31.169399999999996,31.051499999999997,30.817299999999996,30.4448,29.8848,28.943,28.640299999999996,28.483800000000002,28.326700000000002,27.843100000000003,25.187100000000004
125 day,31.562799999999992,31.52439999999999,31.481359999999988,31.42415999999999,31.35975999999999,31.21735999999999,31.12295999999999,31.043199999999985,30.871199999999988,30.61919999999999,30.245519999999992,29.516640000000002,29.32184,29.221360000000004,29.146000000000004,28.957040000000003,28.282320000000002
15 min,20.288266666666665,22.343733333333333,20.593666666666667,20.1888,18.19946666666667,18.41533333333333,18.190266666666666,16.804733333333335,17.822133333333333,17.043733333333332,19.569666666666663,20.770733333333336,22.846466666666668,21.265666666666668,21.815133333333332,23.26713333333333,23.819799999999997
150 day,29.852333333333323,29.840866666666656,29.81866666666665,29.800266666666655,29.774866666666657,29.748466666666662,29.73099999999999,29.70253333333332,29.655133333333325,29.60119999999999,29.566933333333335,29.511666666666656,29.45633333333332,29.426399999999987,29.38846666666666,29.297199999999993,28.85
175 day,28.699771428571413,28.70645714285713,28.70159999999998,28.6926857142857,28.673599999999986,28.63102857142856,28.599542857142843,28.563371428571415,28.513771428571417,28.45782857142856,28.400285714285705,28.321999999999992,28.308742857142846,28.29479999999999,28.287371428571422,28.312457142857145,28.467714285714287
2 day,23.255,21.43,21.395,20.41,19.285,19.075000000000003,18.43,17.61,17.299999999999997,17.21,18.785,20.729999999999997,22.14,22.14,21.585,23.174999999999997,23.240000000000002
2 hr,19.92474166666668,22.40175833333333,20.70575000000001,20.032116666666674,18.482750000000003,18.833966666666665,17.996866666666673,16.79415833333334,17.519625000000026,17.098191666666672,19.52199166666668,20.81336666666666,22.725925000000007,21.389899999999994,21.777891666666687,23.26821666666667,23.80461666666665
2.5 hr,19.850380000000012,22.461773333333337,20.758820000000014,20.028993333333343,18.549266666666675,18.927326666666666,17.950413333333344,16.823479999999993,17.49823333333335,17.07992000000001,19.54051333333334,20.802953333333324,22.68764000000001,21.43700666666666,21.760413333333343,23.267419999999998,23.752146666666665
20 day,25.9055,25.750999999999998,25.476999999999997,25.171999999999997,24.738999999999997,24.066999999999997,23.764499999999995,23.343499999999995,22.537499999999998,21.215999999999998,19.319,18.728999999999996,19.035500000000003,19.186,19.433000000000003,20.245500000000003,22.292
20 min,20.26775,22.316599999999998,20.62675,20.165749999999996,18.207550000000005,18.426099999999998,18.162950000000002,16.72765,17.79735,17.076800000000002,19.559299999999997,20.776799999999998,22.82885,21.2845,21.81305,23.270349999999997,23.843199999999996
200 day,27.811549999999983,27.823149999999984,27.82199999999998,27.82249999999998,27.804799999999982,27.744249999999983,27.71999999999998,27.689199999999982,27.628749999999986,27.559799999999985,27.515449999999987,27.495399999999986,27.507649999999984,27.50784999999999,27.50734999999999,27.51419999999999,27.584299999999995
25 min,20.2964,22.29632,20.62972,20.15004,18.218880000000002,18.441759999999995,18.14988,16.68592,17.769479999999998,17.09624,19.552159999999997,20.789039999999996,22.82152,21.2656,21.81016,23.272719999999996,23.851919999999996
3 hr,19.762772222222228,22.460749999999997,20.80612222222223,20.03715000000001,18.623511111111117,18.973394444444434,17.935416666666676,16.851288888888877,17.44360000000001,17.07250555555557,19.545572222222233,20.7866722222222,22.66691666666668,21.47694999999999,21.723000000000013,23.232355555555575,23.702227777777775
3.5 hr,19.62478571428572,22.422295238095227,20.863109523809527,20.034338095238105,18.697176190476192,19.001957142857133,17.912338095238102,16.874219047619032,17.364571428571445,17.06420476190478,19.5439761904762,20.779757142857125,22.64108571428572,21.519571428571428,21.693433333333346,23.207533333333345,23.67169047619047
30 day,26.221000000000004,26.160000000000004,25.97666666666667,25.776333333333337,25.456333333333337,24.883666666666667,24.58033333333333,24.203666666666663,23.581333333333326,22.724333333333327,21.697999999999997,20.383333333333336,20.05766666666667,19.815000000000005,19.66333333333334,19.65333333333334,21.199333333333335
30 min,20.305600000000002,22.275266666666663,20.638266666666663,20.140700000000002,18.221233333333334,18.452499999999993,18.138033333333333,16.66176666666667,17.747566666666668,17.106800000000003,19.544499999999996,20.786199999999997,22.826366666666665,21.259033333333335,21.8123,23.27683333333333,23.852266666666665
4 hr,19.494929166666676,22.37625416666667,20.90015833333334,20.046012499999996,18.803687500000002,19.026687499999994,17.890770833333345,16.90062083333332,17.301925000000015,17.052916666666682,19.523904166666682,20.77427083333331,22.61287500000001,21.57018749999999,21.664725000000008,23.182229166666673,23.632
4.5 hr,19.386570370370382,22.35626296296296,20.921825925925933,20.076911111111105,18.876196296296293,19.04357407407407,17.900800000000007,16.97158518518517,17.23160000000001,17.0319888888889,19.517833333333357,20.77549999999998,22.576074074074086,21.64385185185185,21.67338148148149,23.15532962962963,23.594592592592594
40 day,25.89225,25.803749999999997,25.647,25.5225,25.3365,25.07325,24.924,24.745749999999997,24.398999999999997,23.789499999999997,22.826499999999996,21.734,21.551250000000003,21.475250000000006,21.388250000000006,21.195750000000007,20.438250000000004
45 min,20.2804,22.274822222222223,20.668466666666664,20.1248888888889,18.25448888888889,18.51402222222222,18.11715555555556,16.645244444444444,17.678400000000007,17.09,19.519355555555553,20.774,22.860999999999997,21.258422222222222,21.815600000000003,23.27259999999999,23.848488888888884
5 day,25.640000000000004,24.766,23.131999999999998,21.93,20.380000000000003,19.438,19.014,18.318,17.666,17.34,17.834,20.567999999999998,21.228,21.419999999999998,21.652,22.34,22.538000000000004
5 hr,19.319736666666692,22.372976666666663,20.94709666666668,20.09342000000001,18.941280000000006,19.062953333333326,17.95272,17.02669666666666,17.16113000000001,17.016270000000006,19.49672000000003,20.774149999999985,22.52860333333335,21.708493333333326,21.680813333333337,23.14923,23.55738
5 min,20.4024,22.331,20.521800000000002,20.32,18.1986,18.464999999999996,18.334,16.894,17.8836,17.036,19.558999999999997,20.786,22.8644,21.293,21.822000000000003,23.282999999999994,23.798800000000004
5.5 hr,19.302136363636382,22.33785151515151,20.97093636363638,20.099615151515167,18.98245151515152,19.09405151515151,18.029190909090897,17.088296969696952,17.107200000000013,17.013651515151523,19.456815151515187,20.766854545454528,22.472603030303045,21.741481818181818,21.68396060606061,23.109190909090916,23.52091818181818
50 day,26.352600000000006,25.906399999999998,25.737,25.5858,25.3766,25.0956,24.958799999999997,24.821999999999992,24.500399999999996,23.983800000000002,23.4522,22.765400000000003,22.544400000000007,22.422600000000006,22.295400000000004,22.09240000000001,21.39720000000001
50 min,20.25972,22.27904,20.667039999999997,20.127800000000008,18.264660000000003,18.532359999999997,18.107380000000003,16.665499999999998,17.656820000000003,17.09334,19.51374,20.779200000000007,22.86142,21.2561,21.811340000000005,23.264539999999997,23.846119999999992
55 min,20.238436363636367,22.282072727272727,20.674763636363632,20.120454545454553,18.26876363636364,18.535181818181815,18.097618181818184,16.688090909090906,17.636636363636367,17.09569090909091,19.51790909090909,20.78209090909091,22.854872727272724,21.256127272727273,21.80825454545455,23.257363636363635,23.845181818181807
6 hr,19.311955555555574,22.26834166666666,21.023366666666682,20.10787222222223,19.021902777777786,19.124927777777767,18.10206388888888,17.1581222222222,17.045847222222232,17.031497222222228,19.40682500000004,20.778544444444428,22.411852777777785,21.76709444444445,21.678500000000003,23.065502777777784,23.49575277777777
6.5 hr,19.317638461538476,22.16517948717948,21.087889743589763,20.11846410256411,19.040410256410265,19.173115384615368,18.152189743589734,17.252756410256392,17.020948717948727,17.063892307692313,19.33018205128209,20.780164102564086,22.349597435897444,21.809387179487178,21.6718717948718,23.023725641025635,23.47067179487179
60 day,29.334666666666674,28.8535,28.353,27.907000000000004,27.51633333333334,26.78933333333334,26.39266666666667,25.972333333333335,25.116,24.293,23.726499999999998,23.134000000000004,23.06066666666667,23.011333333333337,22.974833333333336,22.906666666666673,22.11783333333334
70 day,31.613857142857146,31.353,31.02728571428571,30.681714285714282,30.29642857142857,29.545285714285715,29.150857142857145,28.756857142857143,27.848714285714287,26.46728571428572,25.131571428571434,23.477285714285717,23.364142857142856,23.309428571428572,23.282285714285713,23.167857142857148,22.81185714285715
80 day,32.177875000000014,32.04537500000001,31.890500000000003,31.711000000000002,31.496500000000005,31.041499999999996,30.808249999999994,30.55012499999999,30.02874999999999,29.075124999999996,27.702625,25.319500000000005,24.850875000000006,24.591000000000005,24.337500000000006,23.561500000000006,23.042625000000008
90 day,32.137777777777785,32.06455555555556,31.961111111111112,31.846555555555558,31.71644444444445,31.417444444444445,31.253666666666668,31.06611111111111,30.706222222222223,30.168555555555557,29.336777777777773,27.72588888888889,27.20977777777778,26.93644444444445,26.6848888888889,25.786777777777786,23.382
Tomorrow,22.32,20.47,20.35,18.22,19.64,18.35,16.87,16.72,17.68,17.41,19.43,21.36,21.36,21.81,22.18,23.25,23.7
