,2018-12-17,2018-12-18,2018-12-20,2019-02-01,2019-02-04,2019-02-05
1 hr,23.51024999999999,23.53209999999999,22.877916666666675,23.41793333333334,23.597166666666663,24.13878333333334
1 min,23.51,23.51,22.87,23.46,23.68,24.1
1.5 hr,23.538488888888875,23.525488888888876,22.858700000000002,23.428988888888902,23.57132222222222,24.12274444444443
10 day,24.241999999999997,24.082,23.772,24.217999999999996,24.093,24.035000000000004
10 min,23.490500000000004,23.548099999999998,22.866500000000002,23.527499999999996,23.649999999999995,24.124000000000002
100 day,26.007299999999987,26.030299999999983,26.06829999999998,25.89649999999999,25.842399999999984,25.798799999999982
125 day,25.245199999999993,25.26071999999999,25.26999999999999,25.68895999999998,25.69175999999998,25.69607999999998
15 min,23.48186666666667,23.5534,22.8912,23.517666666666667,23.642999999999994,24.131999999999994
150 day,24.63966666666666,24.649666666666658,24.659599999999987,25.086999999999982,25.095799999999983,25.109333333333314
175 day,24.484457142857142,24.482342857142847,24.471885714285705,24.59485714285712,24.60582857142855,24.61879999999998
2 day,23.73,23.509999999999998,23.07,23.725,23.585,23.9
2 hr,23.54448333333334,23.527875000000012,22.80305,23.428533333333345,23.565941666666685,24.11175000000001
2.5 hr,23.55434666666667,23.535893333333348,22.794786666666678,23.43195999999999,23.57391333333336,24.087713333333326
20 day,25.484500000000004,25.277,24.806999999999995,24.247,24.240000000000002,24.2425
20 min,23.467100000000002,23.5498,22.906650000000003,23.4985,23.644249999999992,24.140049999999995
200 day,24.44405,24.435749999999995,24.410899999999998,24.401299999999978,24.396899999999977,24.39519999999998
25 min,23.461280000000006,23.54404,22.908720000000002,23.479599999999994,23.642239999999994,24.14523999999999
3 hr,23.564711111111112,23.55314444444446,22.806627777777788,23.43282222222221,23.574127777777807,24.068033333333332
3.5 hr,23.57065714285715,23.56274285714288,22.827680952380963,23.43974285714285,23.563709523809557,24.048200000000005
30 day,26.024333333333335,25.925,25.71299999999999,23.898333333333333,23.913000000000004,23.95366666666667
30 min,23.461766666666676,23.543533333333325,22.904200000000003,23.467499999999998,23.635366666666663,24.145699999999987
4 hr,23.587962500000003,23.576804166666665,22.84189583333334,23.457204166666674,23.55190833333336,24.03427916666666
4.5 hr,23.610218518518515,23.573674074074077,22.849288888888886,23.454166666666676,23.53788518518521,24.022014814814817
40 day,26.326000000000004,26.227500000000003,26.004499999999997,23.944250000000004,23.933000000000007,23.908250000000006
45 min,23.486666666666668,23.540377777777767,22.895044444444444,23.432222222222222,23.614577777777775,24.141822222222217
5 day,23.924,23.79,23.424,23.88,23.866,23.848
5 hr,23.62785333333333,23.555400000000002,22.857319999999998,23.457086666666665,23.524150000000027,24.011593333333327
5 min,23.491000000000003,23.535999999999998,22.843,23.544,23.663999999999998,24.098
5.5 hr,23.63120606060605,23.554518181818192,22.876639393939378,23.467984848484843,23.496406060606077,23.997333333333323
50 day,26.4822,26.414799999999996,26.266199999999994,24.44980000000001,24.37160000000001,24.29500000000001
50 min,23.495399999999997,23.540739999999985,22.89400000000001,23.42542,23.607219999999998,24.141540000000006
55 min,23.503363636363627,23.536199999999987,22.88763636363637,23.421290909090914,23.601290909090903,24.14003636363637
6 hr,23.629186111111103,23.559650000000012,22.90143888888887,23.485697222222214,23.459388888888906,23.985691666666654
6.5 hr,23.62846153846153,23.5714871794872,22.907853846153813,23.51816666666666,23.439984615384613,23.972402564102538
60 day,26.61283333333333,26.54583333333333,26.393999999999995,24.911666666666676,24.868500000000008,24.83333333333334
70 day,26.824285714285708,26.75285714285714,26.58957142857142,25.229285714285723,25.176285714285722,25.125571428571433
80 day,26.714124999999996,26.69874999999999,26.64899999999999,25.471125000000004,25.431875000000005,25.399000000000004
90 day,26.410555555555547,26.415444444444432,26.403999999999986,25.663333333333327,25.619111111111103,25.580555555555545
Tomorrow,23.52,23.26,23.07,23.7,24.1,23.92
