,2019-01-02,2019-01-09,2019-01-16
1 hr,31.181966666666657,23.51981666666667,23.020299999999995
1 min,31.29,23.92,22.97
1.5 hr,31.24043333333333,23.511344444444447,23.08102222222222
10 day,29.750999999999998,29.497999999999998,26.395000000000003
10 min,31.270300000000002,23.6555,23.003
100 day,30.468400000000003,30.387499999999996,30.018099999999993
125 day,30.698719999999998,30.611199999999997,30.290239999999997
15 min,31.264866666666666,23.561666666666664,23.009333333333334
150 day,32.291333333333334,31.731800000000003,31.013400000000015
175 day,33.870285714285714,33.57891428571429,33.08588571428573
2 day,30.494999999999997,27.915,22.93
2 hr,31.232624999999988,23.469766666666672,23.12485
2.5 hr,31.241693333333338,23.46461333333333,23.161700000000007
20 day,30.7315,29.770999999999997,28.073
20 min,31.25015,23.5263,23.022
200 day,35.3816,34.9773,34.27165000000001
25 min,31.226520000000004,23.515640000000005,23.02436
3 hr,31.250144444444455,23.465683333333335,23.192750000000014
3.5 hr,31.22482857142858,23.471966666666663,23.217114285714295
30 day,31.203999999999994,30.884999999999998,29.28600000000001
30 min,31.193533333333335,23.519900000000003,23.01746666666667
4 hr,31.17838333333334,23.468854166666663,23.233737500000014
4.5 hr,31.154129629629647,23.452937037037024,23.277940740740753
40 day,30.794249999999998,30.710249999999995,30.00175000000001
45 min,31.16359999999999,23.51242222222223,23.0036888888889
5 day,29.752,29.244,23.546000000000003
5 hr,31.132606666666675,23.39006666666665,23.304300000000012
5 min,31.28,23.744,22.987000000000002
5.5 hr,31.092618181818203,23.36036969696968,23.314566666666675
50 day,30.235399999999995,30.3266,29.91440000000001
50 min,31.16493999999999,23.51272000000001,23.008360000000007
55 min,31.170145454545448,23.51201818181819,23.01432727272727
6 hr,31.011594444444466,23.341008333333306,23.313061111111125
6.5 hr,30.892261538461565,23.328912820512798,23.290215384615394
60 day,30.3815,30.28633333333333,29.595333333333336
70 day,30.171714285714284,30.168714285714284,29.812
80 day,30.165875000000007,30.100749999999998,29.699624999999997
90 day,30.420666666666662,30.205,29.746888888888893
Tomorrow,29.07,24.21,22.75
