,2019-01-08,2019-01-10,2019-02-04,2019-02-06,2019-02-08,2019-02-11
1 hr,12.846516666666666,10.723116666666657,12.33340000000001,11.976433333333343,7.574216666666666,8.289700000000002
1 min,12.8,10.98,12.296,12.02,7.7,8.31
1.5 hr,12.83637777777776,10.71896666666667,12.341311111111114,11.9598888888889,7.604755555555553,8.28556666666666
10 day,11.398,11.521,11.495,11.667,11.008000000000001,10.737
10 min,12.824200000000001,10.9,12.290099999999999,12.018900000000002,7.679,8.3095
100 day,13.45265,13.36445,12.662850000000002,12.609850000000002,12.474150000000002,12.410350000000001
125 day,13.655319999999998,13.584359999999997,13.239880000000001,13.207480000000002,13.102920000000001,13.04428
15 min,12.843133333333332,10.844599999999998,12.301400000000001,12.021733333333335,7.6656,8.307333333333334
150 day,14.0106,13.93513333333333,13.4639,13.427233333333332,13.328766666666665,13.277899999999999
175 day,14.275371428571423,14.217257142857134,13.823199999999995,13.777199999999993,13.689371428571423,13.64291428571428
2 day,12.775,10.99,12.39,11.925,8.015,8.02
2 hr,12.854925000000003,10.706916666666672,12.337058333333324,11.926908333333332,7.625283333333331,8.308358333333324
2.5 hr,12.858206666666668,10.680086666666671,12.301493333333335,11.909239999999993,7.643499999999996,8.330213333333335
20 day,11.296499999999998,11.224499999999999,11.523500000000002,11.438500000000001,11.141000000000002,10.988000000000001
20 min,12.8479,10.809449999999996,12.314300000000001,12.0173,7.6452,8.3015
200 day,14.827949999999998,14.716349999999995,14.138049999999996,14.066049999999995,13.966449999999993,13.921549999999991
25 min,12.85164,10.784959999999996,12.325040000000003,12.007680000000002,7.61936,8.2982
3 hr,12.849994444444455,10.656494444444453,12.281077777777789,11.909983333333338,7.674316666666662,8.347288888888892
3.5 hr,12.83913809523811,10.648080952380953,12.272704761904773,11.9103380952381,7.706838095238097,8.368152380952383
30 day,11.465666666666666,11.444666666666667,11.305666666666667,11.425000000000002,11.267666666666667,11.192000000000002
30 min,12.852466666666666,10.765466666666665,12.328533333333336,12.004633333333338,7.600666666666666,8.296666666666665
4 hr,12.831325000000017,10.633125000000001,12.27879583333335,11.914170833333333,7.729662500000005,8.388333333333334
4.5 hr,12.80331481481483,10.631337037037039,12.281303703703722,11.92408148148148,7.748896296296306,8.383533333333334
40 day,11.325999999999999,11.256124999999999,11.352250000000002,11.367500000000003,11.182750000000002,11.08425
45 min,12.851466666666667,10.738044444444444,12.330800000000004,11.981911111111115,7.569333333333334,8.297066666666666
5 day,12.06,11.892,11.834,12.064000000000002,10.436000000000002,9.64
5 hr,12.77512000000002,10.637799999999997,12.28086333333335,11.930739999999998,7.755666666666676,8.388203333333333
5 min,12.822000000000003,10.97,12.3012,12.018,7.695,8.306000000000001
5.5 hr,12.734672727272741,10.64107878787879,12.284712121212143,11.923318181818184,7.778760606060622,8.383966666666666
50 day,11.7276,11.649799999999997,11.411200000000001,11.4548,11.3232,11.261599999999998
50 min,12.852920000000001,10.731139999999998,12.332320000000006,11.979420000000006,7.567099999999999,8.295960000000001
55 min,12.850018181818184,10.726581818181812,12.332254545454553,11.97740000000001,7.569763636363635,8.29167272727273
6 hr,12.720380555555572,10.634000000000004,12.307127777777797,11.904699999999998,7.795455555555571,8.366913888888886
6.5 hr,12.72129743589745,10.62075897435898,12.334412820512837,11.903410256410252,7.809566666666681,8.336289743589742
60 day,12.072,11.975999999999997,11.435,11.363499999999998,11.217749999999999,11.189666666666664
70 day,12.525214285714286,12.355642857142856,11.672142857142859,11.645,11.504428571428571,11.443714285714284
80 day,12.902687500000003,12.8074375,11.963375000000001,11.913625,11.767249999999999,11.697749999999997
90 day,13.217944444444447,13.073833333333333,12.383722222222225,12.283722222222224,12.085722222222222,11.993722222222221
Tomorrow,10.99,11.38,11.83,8.31,8.32,8.95
