,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-26,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-22,2019-01-24,2019-01-25,2019-01-30,2019-02-04
1 hr,0.13893666666666663,0.09220333333333337,0.12183999999999996,0.10424333333333337,0.08256333333333332,0.07952500000000004,0.08359833333333332,0.21972,0.26305000000000006,0.2894949999999999,0.24667999999999987,0.24272000000000007,0.29315499999999994,0.3786449999999999,0.42337833333333336,0.3121299999999999,0.2748150000000001
1 min,0.1305,0.0842,0.1212,0.1031,0.0843,0.0809,0.0886,0.229,0.2797,0.2978,0.2476,0.2438,0.295,0.3782,0.4144,0.3161,0.2725
1.5 hr,0.1397655555555556,0.0947866666666667,0.12262222222222217,0.10537555555555558,0.08224111111111111,0.07931111111111117,0.08316777777777769,0.2263033333333333,0.26367666666666667,0.2872477777777777,0.24526222222222202,0.24274222222222216,0.29299888888888886,0.3840266666666666,0.42018888888888867,0.31527222222222206,0.27695000000000025
10 day,0.32748,0.2968,0.27027,0.24001,0.21166999999999997,0.18182,0.10023,0.10394,0.12133000000000001,0.14267,0.15932,0.17579000000000003,0.24416,0.26788,0.28632,0.33783,0.34917
10 min,0.13365000000000002,0.08063000000000001,0.11970999999999998,0.1018,0.08485999999999999,0.08071000000000002,0.08484,0.22487,0.27182000000000006,0.2958299999999999,0.24624000000000001,0.2419,0.29752000000000006,0.37655000000000005,0.4223299999999999,0.31401,0.27284
100 day,1.2490729999999994,1.2324729999999995,1.2167839999999994,1.2006419999999993,1.1849079999999994,1.1693229999999994,1.1213939999999996,1.0598779999999994,1.0446749999999996,1.0301749999999996,1.0150549999999996,0.9997929999999997,0.8511709999999999,0.8191659999999998,0.8039099999999999,0.7591209999999999,0.7169890000000001
125 day,1.3705383999999994,1.3566983999999995,1.3425471999999996,1.3269135999999997,1.3120063999999998,1.2975383999999996,1.2579151999999998,1.2058223999999993,1.1934199999999995,1.1803799999999993,1.1674039999999992,1.1543943999999995,1.0353367999999996,1.0135727999999995,1.0031279999999996,0.9723367999999996,0.9403111999999997
15 min,0.1352266666666667,0.08204000000000002,0.11897333333333333,0.1022066666666667,0.08517333333333334,0.08048000000000002,0.08455333333333334,0.23228666666666664,0.2687800000000001,0.2948333333333333,0.24700666666666668,0.24202000000000004,0.29728666666666675,0.3781400000000001,0.42366666666666664,0.3104466666666667,0.27305333333333337
150 day,1.4276153333333332,1.4155486666666668,1.4040893333333333,1.3929613333333333,1.381872,1.3713486666666665,1.3405960000000001,1.3005853333333333,1.2917166666666666,1.2831166666666667,1.27417,1.2652619999999999,1.1721806666666665,1.152244,1.1412733333333334,1.1113473333333332,1.0834593333333333
175 day,1.465156,1.4548131428571427,1.4447622857142854,1.4345668571428571,1.4244902857142856,1.4143845714285712,1.3850537142857142,1.3477302857142857,1.3398428571428571,1.3324714285714285,1.3248028571428572,1.317053142857143,1.2494405714285715,1.2321805714285716,1.2244057142857145,1.202126285714286,1.179879428571429
