,2018-12-18,2018-12-20,2018-12-26,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-23,2019-01-31,2019-02-01,2019-02-14
1 hr,110.21325000000002,110.23528333333324,110.26963333333339,110.31989999999998,110.37214999999999,110.37551666666666,110.37596666666667,110.4800833333333,110.55566666666678,110.35086666666672,110.46098333333337
1 min,110.22,110.24,110.26,110.31,110.36,110.38,110.36,110.48,110.56,110.35,110.45
1.5 hr,110.21043333333336,110.23559999999989,110.26835555555566,110.31709999999993,110.37264444444445,110.37552222222224,110.37622222222217,110.47827777777769,110.55710000000012,110.3517111111112,110.45787777777787
10 day,109.94406000000001,109.96916000000002,110.00534,110.05857999999998,110.07255,110.08851999999999,110.10249999999999,110.22528000000003,110.29213999999999,110.30492,110.401
10 min,110.21459999999999,110.2329,110.2644,110.31149999999998,110.36380000000001,110.37559999999999,110.3765,110.48299999999999,110.55299999999997,110.351,110.46000000000001
100 day,109.52971700000008,109.54782900000009,109.57495000000011,109.61203500000009,109.62149500000008,109.63105700000007,109.64071800000006,109.74574199999999,109.80467499999995,109.81469699999998,109.90601499999998
125 day,109.42959200000006,109.44686960000007,109.4728720000001,109.50846000000008,109.51741440000008,109.52660880000008,109.53580320000006,109.63745120000004,109.69469440000002,109.70440000000004,109.79141920000002
15 min,110.21393333333332,110.23319999999998,110.26406666666666,110.31099999999996,110.36646666666667,110.37573333333333,110.37733333333335,110.48299999999998,110.55366666666664,110.35099999999997,110.46000000000002
150 day,109.32882200000003,109.34605600000005,109.3721593333334,109.40685066666673,109.4156913333334,109.42466600000004,109.4336533333334,109.53333933333337,109.58844266666667,109.59776000000002,109.68144800000002
175 day,109.23168914285718,109.24810342857147,109.27295600000004,109.30704685714286,109.31571371428574,109.32455199999998,109.33333371428571,109.42996742857142,109.48426514285717,109.49359371428575,109.57535657142859
2 day,109.99725000000001,110.02265,110.0426,110.0975,110.12245,110.1574,110.1724,110.2622,110.34205,110.36600000000001,110.435
2 hr,110.20939999999993,110.2362749999999,110.26934166666678,110.31718333333328,110.37281666666671,110.37559999999999,110.37637499999992,110.4776416666666,110.55790833333337,110.3542166666668,110.45620833333354
2.5 hr,110.20883999999987,110.23655333333329,110.27017333333342,110.31695333333327,110.37158666666673,110.37595333333324,110.3778799999999,110.47816666666661,110.55717999999996,110.35641333333345,110.45540666666692
20 day,109.89078000000002,109.91327000000001,109.94677500000003,109.99529499999998,110.008305,110.022815,110.03582999999999,110.16938,110.23924999999997,110.25062999999996,110.34657000000001
20 min,110.21385000000001,110.234,110.26565000000001,110.31194999999998,110.36785,110.37454999999997,110.37700000000002,110.48379999999997,110.55369999999996,110.35074999999998,110.46000000000001
200 day,109.13876300000004,109.15497450000004,109.17912500000004,109.21230800000001,109.220791,109.22942399999998,109.23788499999999,109.33097,109.3827425,109.39161150000001,109.47165299999999
25 min,110.21348000000002,110.23423999999997,110.26692000000001,110.31239999999998,110.36908,110.37495999999999,110.37632000000002,110.48399999999998,110.55415999999995,110.35079999999996,110.46000000000002
3 hr,110.20816666666661,110.23652777777788,110.2710555555557,110.31639444444434,110.37016666666682,110.37606111111108,110.37889444444424,110.47916111111113,110.5568388888889,110.35726666666692,110.45469444444481
3.5 hr,110.20789047619041,110.23637619047643,110.27158095238113,110.31594761904752,110.36945238095261,110.37608095238096,110.37969999999966,110.47981428571435,110.55649523809528,110.35740952380976,110.45444285714336
30 day,109.8355666666667,109.8585166666667,109.89278333333338,109.93905333333335,109.95137000000003,109.96402333333336,109.97634666666667,110.1069933333333,110.17902666666666,110.19126999999999,110.29316666666669
30 min,110.21390000000001,110.23466666666663,110.26756666666668,110.31346666666667,110.36936666666665,110.3753,110.37616666666668,110.48339999999997,110.55429999999997,110.35086666666663,110.46066666666668
4 hr,110.20769999999993,110.23647916666694,110.27211250000013,110.31553333333325,110.36881666666692,110.3760791666667,110.38014583333297,110.48016250000006,110.55628750000007,110.35751250000024,110.45424166666726
4.5 hr,110.20755555555549,110.23759259259279,110.2724370370372,110.31532592592588,110.36834074074102,110.3760370370371,110.38051851851817,110.48067407407419,110.5565074074075,110.35754074074097,110.4543518518525
40 day,109.787545,109.80855500000003,109.83945500000007,109.88308750000002,109.89481250000003,109.90703750000003,109.91951250000002,110.0475725,110.11727249999997,110.12946749999996,110.23452000000002
45 min,110.21364444444445,110.23484444444439,110.26953333333337,110.31748888888889,110.37122222222222,110.37544444444444,110.37591111111111,110.48173333333327,110.55480000000003,110.35093333333332,110.4607777777778
5 day,109.97406000000001,110.00234,110.03662,110.08851999999999,110.10848000000001,110.12446,110.13644,110.25022000000001,110.3161,110.32968000000001,110.424
5 hr,110.20720999999995,110.23812000000018,110.27285666666677,110.31524999999996,110.36799000000028,110.37574666666677,110.38084666666629,110.48085333333349,110.55736333333334,110.35849666666688,110.45473333333393
5 min,110.21399999999998,110.2358,110.26500000000001,110.31300000000002,110.364,110.377,110.374,110.484,110.55499999999999,110.35,110.458
5.5 hr,110.20627575757575,110.23821515151525,110.2731030303031,110.31502727272724,110.36780000000019,110.3749212121214,110.38106969696929,110.48113333333343,110.55792727272726,110.35938787878823,110.45479393939449
50 day,109.74099799999998,109.76078399999999,109.79106600000003,109.83364800000003,109.84454600000005,109.85604400000004,109.86734400000003,109.990048,110.05913199999999,110.071074,110.17401799999999
50 min,110.21334,110.23515999999992,110.26970000000004,110.31854,110.37165999999999,110.37537999999999,110.37592000000001,110.48107999999995,110.55522000000006,110.35084000000002,110.46088000000003
55 min,110.21356363636366,110.23534545454537,110.26978181818188,110.31938181818181,110.37190909090909,110.3753818181818,110.3761090909091,110.48041818181814,110.55545454545464,110.35085454545458,110.46080000000003
6 hr,110.20527500000003,110.23800555555562,110.27319166666659,110.31554166666669,110.36677500000022,110.3742583333336,110.38128055555515,110.48140277777792,110.55823888888887,110.35986944444473,110.4552916666671
6.5 hr,110.20463589743596,110.23787692307695,110.27255641025631,110.31610000000002,110.36460000000015,110.37358974359007,110.38151282051243,110.48106666666689,110.55810256410248,110.36025897435917,110.45515641025666
60 day,109.69660333333334,109.71645166666669,109.74556833333337,109.78585166666669,109.7962566666667,109.80699666666668,109.81773666666666,109.93608333333334,110.0018083333333,110.0134183333333,110.11611
70 day,109.65330857142858,109.67173571428573,109.70009142857148,109.7400928571429,109.75031000000004,109.76095571428574,109.77160142857146,109.88501999999998,109.94953428571428,109.96056999999999,110.0588357142857
80 day,109.61193875000001,109.63036750000003,109.65814125000009,109.69603125000003,109.70571375000004,109.71564750000002,109.72558125000003,109.8372525,109.89920124999996,109.90984999999998,110.0059675
90 day,109.57137777777783,109.58940888888895,109.61662666666676,109.65348666666672,109.66311777777784,109.67297222222227,109.68282666666671,109.7897122222222,109.85101666666664,109.8614922222222,109.95495666666666
Tomorrow,110.0127,110.0526,110.0925,110.1424,110.1724,110.1724,110.1624,110.3021,110.37,110.37,110.47
