,2018-12-13
1 hr,8.030699999999998
1 min,7.91
1.5 hr,8.03074444444444
10 day,8.110750000000001
10 min,8.008500000000002
100 day,9.811125999999996
125 day,9.314820799999998
15 min,8.015666666666668
150 day,9.149100666666667
175 day,9.249700571428573
2 day,8.0225
2 hr,8.02280833333333
2.5 hr,8.017579999999999
20 day,8.280375
20 min,8.012850000000002
200 day,9.502138
25 min,8.010280000000002
3 hr,8.014177777777775
3.5 hr,8.014295238095238
30 day,8.489166666666666
30 min,8.011233333333335
4 hr,8.016008333333344
4.5 hr,8.017007407407426
40 day,8.840625
45 min,8.016488888888889
5 day,7.916500000000001
5 hr,8.017920000000018
5 min,7.987
5.5 hr,8.018748484848508
50 day,9.134699999999999
50 min,8.021139999999999
55 min,8.026672727272725
6 hr,8.019338888888917
6.5 hr,8.020846153846188
60 day,9.368916666666662
70 day,9.700214285714281
80 day,10.024062499999996
90 day,10.04522333333333
Tomorrow,7.96
