,2018-12-19
1 hr,10.768166666666668
1 min,10.47
1.5 hr,10.797988888888893
10 day,11.363000000000001
10 min,10.629999999999999
100 day,13.814700000000006
125 day,13.676640000000003
15 min,10.672666666666666
150 day,12.8413
175 day,12.344857142857142
2 day,10.74
2 hr,10.81736666666667
2.5 hr,10.832893333333356
20 day,11.8735
20 min,10.667000000000002
200 day,11.817275
25 min,10.666400000000001
3 hr,10.842188888888922
3.5 hr,10.831366666666677
30 day,12.139333333333331
30 min,10.676666666666668
4 hr,10.817445833333318
4.5 hr,10.805692592592578
40 day,12.485999999999999
45 min,10.735555555555555
5 day,10.884
5 hr,10.796456666666653
5 min,10.568000000000001
5.5 hr,10.790021212121195
50 day,12.747200000000003
50 min,10.748199999999999
55 min,10.758909090909091
6 hr,10.79074166666665
6.5 hr,10.800710256410241
60 day,12.974000000000006
70 day,13.48614285714286
80 day,13.836375000000004
90 day,13.859888888888895
Tomorrow,10.64
