,2019-01-04,2019-01-14,2019-01-31,2019-02-15
1 hr,57.46545,56.61850000000002,61.27636666666663,60.37734999999999
1 min,57.665,56.42,61.48,60.43
1.5 hr,57.48586666666666,56.654499999999985,61.34675555555553,60.39524444444444
10 day,54.444,57.20700000000001,58.19799999999999,60.117
10 min,57.66850000000001,56.43649999999999,61.40599999999999,60.31570000000001
100 day,63.961900000000036,63.30860000000004,61.88220000000004,61.16690000000001
125 day,67.5336,66.30968000000003,63.93312000000003,62.64168000000003
15 min,57.65033333333334,56.487333333333325,61.37846666666667,60.35446666666666
150 day,71.1887333333333,69.80286666666667,67.1798666666667,65.44453333333337
175 day,74.23022857142854,73.0062857142857,70.64005714285715,68.67754285714287
2 day,55.489999999999995,57.555,59.74,60.72
2 hr,57.50208333333334,56.67666666666667,61.38456666666666,60.350958333333324
2.5 hr,57.51850666666665,56.74245333333334,61.371499999999976,60.33136666666665
20 day,58.0,56.657000000000004,58.086,59.229499999999994
20 min,57.612,56.53649999999999,61.35275,60.37585
200 day,77.42549999999997,75.94779999999999,73.51585,71.62444999999998
25 min,57.5872,56.55960000000001,61.34879999999999,60.39348
3 hr,57.58063333333333,56.806461111111126,61.370699999999964,60.29013333333332
3.5 hr,57.66768095238094,56.85206190476189,61.3412571428571,60.278366666666656
30 day,59.675666666666665,59.08533333333333,56.981,59.011
30 min,57.54633333333334,56.574166666666684,61.34966666666666,60.39690000000001
4 hr,57.72192083333333,56.870279166666656,61.26861249999995,60.27384999999999
4.5 hr,57.70645185185184,56.891818518518505,61.189025925925876,60.2918333333333
40 day,60.580499999999994,59.8985,58.58075,57.813250000000004
45 min,57.48933333333332,56.59300000000003,61.29755555555553,60.3628
5 day,54.79,58.612,59.188,61.025999999999996
5 hr,57.70827666666668,56.88538999999997,61.14429333333327,60.32070999999996
5 min,57.677,56.404999999999994,61.414,60.348
5.5 hr,57.666669696969684,56.88375757575754,61.11723636363628,60.35316060606059
50 day,60.872400000000006,60.7588,59.3362,58.7628
50 min,57.48034,56.60060000000003,61.28193999999998,60.362519999999996
55 min,57.47194545454544,56.609181818181845,61.2747636363636,60.36810909090909
6 hr,57.5747333333333,56.86163611111107,61.0236138888888,60.37965555555555
6.5 hr,57.40700769230767,56.87604871794865,60.8794205128204,60.40387179487178
60 day,60.98400000000001,60.70250000000001,60.08849999999999,59.395999999999994
70 day,61.9357142857143,61.03914285714288,60.23542857142858,60.01414285714284
80 day,62.58212500000002,62.07425000000003,60.47725000000001,60.23174999999999
90 day,63.306888888888906,62.48533333333338,61.39044444444447,60.39822222222222
Tomorrow,59.64,57.0,60.74,NULL
