,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-14,2019-01-15,2019-01-16,2019-01-17,2019-01-18,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-05,2019-02-06,2019-02-07,2019-02-08,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15
1 hr,6.285166666666666,6.358833333333334,6.228033333333334,6.193683333333332,6.115900000000001,6.130700000000003,6.004116666666666,5.9141499999999985,5.59975,5.6579333333333315,5.687000000000003,5.832549999999996,5.952633333333332,6.171916666666665,6.233750000000002,6.318083333333335,6.0538,6.053600000000005,6.065066666666667,5.957316666666669,5.963633333333333,6.016416666666662,6.043333333333336,6.076200000000001,5.8472166666666645,5.7970333333333315,5.739133333333334,5.8172333333333315,5.7370000000000045,5.7920833333333315,5.9744333333333355,5.854650000000001,5.96515,6.072999999999998,5.958549999999996,5.8993333333333275,5.914150000000002,5.871166666666668,5.874249999999999,5.905899999999995,5.929883333333337,6.004800000000001
1 min,6.27,6.31,6.24,6.17,6.12,6.15,6.01,5.89,5.58,5.73,5.7,5.89,5.94,6.18,6.23,6.34,6.055,6.065,6.07,5.96,5.98,6.02,6.05,6.05,5.86,5.83,5.735,5.82,5.75,5.78,5.92,5.84,5.97,6.02,5.96,5.91,5.93,5.87,5.89,5.91,5.92,6.03
1.5 hr,6.286888888888887,6.37055555555555,6.226133333333338,6.193622222222224,6.121166666666666,6.1294,6.029755555555555,5.911933333333333,5.609999999999998,5.642288888888891,5.679744444444445,5.83805555555555,5.957511111111109,6.177011111111114,6.235888888888891,6.310444444444443,6.051166666666667,6.046322222222224,6.063988888888885,5.9616000000000025,5.9566111111111075,6.027088888888885,6.045444444444446,6.084200000000004,5.847322222222222,5.778744444444445,5.742422222222223,5.818344444444439,5.739111111111116,5.781555555555551,5.984444444444446,5.887777777777777,5.956766666666663,6.067199999999998,5.959777777777772,5.899011111111101,5.919444444444446,5.8689555555555595,5.87683333333333,5.905099999999995,5.928211111111115,5.999088888888893
10 day,6.22519,6.24714,6.252130000000001,6.237160000000001,6.226180000000001,6.209220000000001,6.1922500000000005,6.14634,6.08347,5.96172,5.80505,5.783099999999999,5.76214,5.77711,5.81004,5.885890000000002,5.94078,5.97471,6.008640000000001,6.03159,6.05853,6.070500000000001,6.081480000000001,6.06951,6.032590000000001,5.9816899999999995,5.950749999999999,5.925800000000001,5.89387,5.872909999999999,5.866919999999999,5.84796,5.8409699999999996,5.85693,5.8698999999999995,5.88387,5.89607,5.90825,5.92543,5.92465,5.93485,5.94108
10 min,6.2635,6.33,6.2285,6.177999999999999,6.114500000000001,6.155499999999999,6.005,5.898999999999999,5.5845,5.708499999999999,5.703700000000001,5.8725,5.944000000000001,6.167499999999999,6.244,6.332500000000001,6.048,6.0649999999999995,6.067,5.9505,5.976,6.012,6.0435,6.055000000000001,5.8459,5.8229999999999995,5.744000000000001,5.812099999999999,5.746,5.7825,5.9079999999999995,5.862,5.976999999999999,6.0355,5.955500000000001,5.8995,5.9205,5.8614999999999995,5.874499999999999,5.904000000000001,5.925,6.024499999999998
100 day,6.509512999999999,6.5018769999999995,6.493344,6.485504000000001,6.475574000000002,6.465347000000001,6.455016000000001,6.444283000000002,6.430257000000003,6.404993000000004,6.371185000000004,6.360950000000003,6.350556000000004,6.342805000000003,6.335653000000003,6.329699000000002,6.321449000000002,6.312900000000002,6.304052,6.294205999999999,6.284758999999999,6.275112999999999,6.266762999999998,6.257814999999999,6.246273999999999,6.234831999999998,6.221495999999999,6.209255999999999,6.195919999999998,6.181985999999999,6.171341999999998,6.159600999999998,6.149754999999996,6.127475999999997,6.1161359999999965,6.103300999999999,6.091583999999997,6.079863999999995,6.068743999999996,6.058021999999995,6.047399999999994,6.038176999999994
125 day,6.6179032000000015,6.609646400000002,6.599160800000002,6.587638400000001,6.577068800000003,6.5664216000000035,6.557520000000002,6.547740000000004,6.536201600000002,6.517979200000003,6.492603200000003,6.486005600000003,6.4785344000000045,6.472103200000003,6.465753600000004,6.4606008000000035,6.452894400000004,6.444789600000004,6.436764800000002,6.428260000000002,6.4197552000000035,6.411092800000002,6.402590400000003,6.394326400000003,6.384386400000003,6.375480000000003,6.364582400000005,6.3537656000000045,6.343345600000005,6.333561600000005,6.324975200000004,6.316944000000004,6.309314400000003,6.296126400000004,6.289212800000003,6.280944800000005,6.272647200000003,6.264068000000002,6.255888800000003,6.247629600000002,6.240008800000002,6.2329496
15 min,6.267666666666668,6.338333333333335,6.229333333333333,6.177666666666666,6.110333333333332,6.158666666666667,6.002,5.903666666666667,5.577999999999999,5.698999999999999,5.7031333333333345,5.858999999999998,5.9479999999999995,6.167666666666666,6.245,6.3293333333333335,6.0473333333333334,6.061333333333333,6.066333333333334,5.950666666666667,5.972933333333333,6.011666666666668,6.043666666666667,6.058666666666666,5.847933333333334,5.818,5.742,5.812533333333333,5.744666666666666,5.79,5.908666666666666,5.858333333333333,5.973666666666667,6.046000000000001,5.957999999999999,5.9,5.922666666666666,5.863,5.8696666666666655,5.905333333333334,5.930000000000001,6.024666666666667
150 day,6.677964000000003,6.675128000000003,6.671428000000003,6.667461333333337,6.662764000000005,6.658134000000005,6.65224066666667,6.645748000000005,6.636729333333338,6.619090666666671,6.595358666666671,6.588336000000004,6.580651333333339,6.574629333333338,6.569138666666672,6.564314666666672,6.557826666666672,6.550808000000004,6.543590000000003,6.535176666666669,6.527095333333337,6.5189480000000035,6.510736000000004,6.502059333333338,6.490726666666671,6.478929333333337,6.467660000000006,6.456591333333338,6.447377333333338,6.4382293333333385,6.430809333333338,6.42371866666667,6.419416000000004,6.409553333333337,6.40405666666667,6.3984920000000045,6.39228066666667,6.384939333333336,6.377600000000004,6.370392666666669,6.363120000000004,6.35618266666667
175 day,6.622766857142857,6.623122857142857,6.622909142857143,6.622580000000001,6.621965714285717,6.621465714285718,6.62033771428572,6.618581714285721,6.6153422857142905,6.60897828571429,6.598987428571432,6.596721714285717,6.595024000000004,6.594751428571431,6.594423428571432,6.594893714285718,6.5935405714285755,6.592300571428574,6.591060571428573,6.58811542857143,6.5843765714285745,6.580638857142858,6.577526285714287,6.573556000000001,6.568160571428572,6.562878857142857,6.5567428571428605,6.550892000000004,6.544301142857148,6.537880571428577,6.532032000000005,6.525499428571433,6.520163428571433,6.510232000000006,6.504782285714291,6.4987057142857205,6.492131428571434,6.485270857142862,6.478809142857148,6.472177142857147,6.465886857142862,6.4597137142857175
2 day,6.2172,6.27705,6.2671,6.19225,6.132350000000001,6.122400000000001,6.0725,5.94275,5.7282,5.60845,5.7033000000000005,5.7931,5.90785,6.04255,6.18225,6.2721,6.1923,6.05255,6.0575,5.99765,5.95275,5.98765,6.022600000000001,6.0376,5.937799999999999,5.832999999999999,5.783099999999999,5.7730999999999995,5.7730999999999995,5.7332,5.818,5.8629,5.892849999999999,6.0176,5.98265,5.9178,5.90395,5.895,5.880000000000001,5.9,5.91,5.975
2 hr,6.279841666666663,6.377033333333325,6.2193500000000155,6.191466666666666,6.124774999999998,6.131799999999999,6.045941666666672,5.899350000000001,5.620258333333327,5.634416666666671,5.673716666666661,5.841966666666667,5.963275000000002,6.181833333333345,6.240674999999999,6.311708333333339,6.0496416666666635,6.045916666666658,6.055583333333325,5.964891666666674,5.9522166666666685,6.030849999999988,6.043633333333326,6.094283333333336,5.850733333333336,5.773349999999999,5.746383333333332,5.819550000000001,5.745241666666668,5.776249999999994,5.988116666666668,5.918324999999998,5.947316666666656,6.056891666666659,5.9651749999999995,5.895399999999991,5.918016666666659,5.87054166666667,5.881116666666661,5.900358333333328,5.931166666666676,5.995566666666673
