,2019-01-16,2019-02-07
1 hr,26.723549999999996,7.323216666666666
1 min,26.69,7.18
1.5 hr,26.787866666666666,7.450533333333332
10 day,30.391,22.325
10 min,26.624999999999993,7.198400000000001
100 day,34.711000000000006,31.939700000000002
125 day,35.611119999999985,33.64504
15 min,26.573999999999998,7.204733333333334
150 day,36.00559999999998,34.789266666666656
175 day,33.979428571428556,34.171599999999984
2 day,28.245,14.765
2 hr,26.895783333333327,7.565099999999999
2.5 hr,27.06856666666666,7.636613333333331
20 day,27.61050000000001,24.933500000000002
20 min,26.627,7.19955
200 day,31.257199999999994,32.22674999999999
25 min,26.6852,7.20308
3 hr,27.230972222222217,7.68406111111111
3.5 hr,27.38168095238094,7.727766666666668
30 day,26.912000000000013,26.233
30 min,26.71666666666666,7.204866666666665
4 hr,27.542054166666652,7.764975000000002
4.5 hr,27.702418518518506,7.775144444444444
40 day,28.331250000000004,25.419500000000006
45 min,26.778555555555553,7.277844444444444
5 day,30.131999999999998,20.076
5 hr,27.842409999999983,7.778019999999998
5 min,26.713,7.1486
5.5 hr,27.937312121212134,7.77872727272727
50 day,29.063400000000012,26.35160000000001
50 min,26.767099999999996,7.30356
55 min,26.714999999999996,7.316563636363637
6 hr,28.044383333333336,7.720277777777775
6.5 hr,28.178982051282052,7.620164102564096
60 day,29.73116666666667,27.22133333333334
70 day,30.52614285714286,28.05385714285715
80 day,32.51950000000001,28.81525000000001
90 day,34.09777777777778,30.027222222222232
Tomorrow,26.61,7.42
