,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2019-01-02,2019-01-16,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-02-04,2019-02-12
1 hr,9.087549999999998,8.814666666666664,8.499749999999997,8.442033333333331,8.143983333333331,8.129449999999999,8.516066666666664,9.272033333333324,10.63535000000001,10.991533333333336,10.879700000000003,10.792816666666672,10.557766666666664,11.066766666666657
1 min,9.05,8.79,8.51,8.42,8.12,8.14,8.55,9.25,10.73,11.03,10.85,10.77,10.63,11.1
1.5 hr,9.086011111111121,8.825544444444446,8.51293333333332,8.442166666666662,8.189566666666668,8.122255555555558,8.526622222222214,9.269422222222211,10.618711111111129,10.981244444444448,10.867333333333344,10.805633333333335,10.549788888888877,11.064822222222212
10 day,9.755999999999998,9.608,9.431000000000001,9.231,9.053,8.878,8.294999999999998,8.998000000000001,9.375,9.562999999999999,9.745999999999999,9.920000000000002,10.514,10.809
10 min,9.0455,8.794,8.502500000000001,8.445500000000001,8.1211,8.142500000000002,8.514,9.262,10.6685,11.0152,10.854,10.77,10.5965,11.062000000000001
100 day,10.887000000000002,10.857300000000002,10.829900000000002,10.8,10.766000000000002,10.7345,10.5307,10.2852,10.190199999999999,10.1838,10.1752,10.1654,10.123700000000001,10.0775
125 day,11.047600000000003,11.025120000000003,10.999360000000003,10.972000000000001,10.943200000000003,10.914240000000001,10.7352,10.514240000000003,10.433840000000002,10.43072,10.425360000000003,10.421040000000003,10.404480000000003,10.384880000000004
15 min,9.0542,8.794333333333332,8.495000000000001,8.4448,8.124733333333333,8.141,8.512866666666666,9.259666666666668,10.666333333333332,11.015133333333333,10.861,10.772866666666664,10.590066666666669,11.06733333333334
150 day,11.14646666666667,11.128133333333336,11.107933333333337,11.087133333333336,11.064333333333337,11.04086666666667,10.88926666666667,10.70606666666667,10.641066666666669,10.635600000000002,10.629800000000003,10.62306666666667,10.602200000000003,10.571866666666672
175 day,11.20274285714286,11.188000000000002,11.170857142857146,11.15354285714286,11.135314285714289,11.116742857142858,10.986971428571431,10.838742857142861,10.78531428571429,10.78234285714286,10.778400000000005,10.773200000000003,10.751942857142861,10.731371428571434
2 day,9.2,8.915,8.645,8.46,8.275,8.14,8.42,9.125,10.11,10.875,10.94,10.809999999999999,10.665,10.955
2 hr,9.089800000000006,8.832066666666671,8.520408333333314,8.450483333333336,8.213591666666664,8.111225000000006,8.53170833333332,9.266766666666658,10.606891666666677,10.97976666666667,10.87008333333335,10.818566666666657,10.55436666666665,11.06505833333332
2.5 hr,9.10277333333334,8.839553333333335,8.533399999999974,8.45462666666667,8.24972666666667,8.115580000000012,8.53276666666666,9.26604666666666,10.60372666666667,10.984199999999998,10.875393333333358,10.820146666666648,10.554493333333319,11.072779999999973
20 day,10.013,9.9235,9.814,9.716000000000001,9.608,9.521000000000004,8.862999999999998,8.6465,9.013500000000002,9.143,9.268,9.3885,9.8145,10.364499999999998
20 min,9.060149999999998,8.79125,8.48825,8.440100000000001,8.1218,8.14775,8.512649999999999,9.2604,10.668749999999998,11.0066,10.873749999999998,10.777899999999997,10.5791,11.072000000000006
200 day,11.19475,11.183800000000002,11.170900000000001,11.156900000000002,11.142050000000005,11.127550000000001,11.025900000000004,10.923950000000007,10.880700000000004,10.878550000000004,10.876250000000004,10.873050000000003,10.857450000000005,10.830550000000006
25 min,9.062319999999998,8.790999999999999,8.486200000000002,8.43868,8.12188,8.154000000000002,8.51372,9.261920000000002,10.66772,10.994599999999998,10.882479999999997,10.781119999999996,10.572479999999999,11.074800000000005
3 hr,9.112722222222237,8.848811111111118,8.546155555555524,8.46475000000001,8.276872222222229,8.114583333333343,8.53126111111111,9.262705555555552,10.597366666666671,10.981005555555553,10.875933333333355,10.821683333333313,10.554583333333326,11.074655555555529
3.5 hr,9.127271428571445,8.862314285714291,8.559523809523787,8.470204761904771,8.302161904761904,8.118666666666675,8.526580952380954,9.259842857142853,10.586509523809536,10.978033333333327,10.872023809523826,10.820199999999994,10.556576190476186,11.075128571428552
