,2018-12-11,2018-12-13
1 hr,19.22745,19.340049999999984
1 min,19.24,19.22
1.5 hr,19.218755555555564,19.315166666666652
10 day,19.541,19.408
10 min,19.256,19.267000000000003
100 day,18.361999999999995,18.409199999999995
125 day,17.706639999999997,17.797999999999995
15 min,19.259999999999998,19.279666666666667
150 day,17.040399999999995,17.114533333333327
175 day,16.451999999999998,16.521314285714283
2 day,19.060000000000002,19.305
2 hr,19.20381666666668,19.297374999999978
2.5 hr,19.188060000000007,19.300379999999986
20 day,19.595499999999998,19.5815
20 min,19.2575,19.293249999999997
200 day,16.086149999999996,16.142799999999998
25 min,19.2528,19.297399999999996
3 hr,19.200244444444458,19.301149999999993
3.5 hr,19.21782857142859,19.30850952380952
30 day,19.425,19.54
30 min,19.252666666666666,19.30816666666667
4 hr,19.225850000000012,19.303283333333333
4.5 hr,19.235903703703713,19.30788148148149
40 day,19.215249999999997,19.262999999999998
45 min,19.241066666666676,19.340666666666657
5 day,18.978,19.072
5 hr,19.25214333333334,19.32215000000001
5 min,19.246,19.23
5.5 hr,19.260948484848484,19.330457575757585
50 day,19.032599999999995,19.03579999999999
50 min,19.243740000000006,19.33985999999999
55 min,19.235945454545462,19.340236363636354
6 hr,19.271091666666663,19.344891666666665
6.5 hr,19.27318717948717,19.357566666666663
60 day,18.934333333333328,18.96916666666666
70 day,18.808428571428568,18.844142857142852
80 day,18.681874999999998,18.721999999999998
90 day,18.530333333333328,18.590333333333326
Tomorrow,19.39,18.77
